Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
followfood MSC Rotbarsch Filets,Keine Marke,"€ 6,99",,"1 kg = 19,42 €","3-6 Stück, ohne Haut, tiefgefroren, 360 g Packung, (1 kg = 19,42 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/followfood-msc-rotbarsch-filets.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,tag_ultra_processed,tag_whole_food"
King Prawns,Escal,"€ 3,49",,"1 kg = 13,96 €","verschiedene Sorten, tiefgefroren, 250 g Packung, (1 kg = 13,96 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/escal-king-prawns.jpg,"cat_tiefkuehl,diet_vegetarian,tag_ultra_processed"
Göteborger Heringstopf,Keine Marke,"€ 1,19",,"1 kg = 11,90 €","Heringsfilethappen, weiße und rote Zwiebeln sowie Gewürzgurken, in mild-pikantem Dressing, verfeinert mit grünen Pfefferkörnern, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/g-teborger-heringstopf.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_whole_food"
Bernard Matthews Filetstreifen,Keine Marke,"€ 1,99",,"1 kg = 15,92 €","verschiedene Sorten, 125 g Packung, (1 kg = 15,92 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/bernard-matthews-filetstreifen.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_ultra_processed,tag_whole_food"
Rotbarschfilet,Keine Marke,"€ 1,99",,"1 kg = 19,90 €","natur, ideal zum Braten und Dünsten, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/rotbarschfilet.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_high_protein,tag_proteinreich,tag_whole_food"
Heilbutt Endstücke,Keine Marke,"€ 1,99",,"1 kg = 19,90 €","geräuchert, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/heilbutt-endst-cke.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_ultra_processed,tag_whole_food"
Saibling,Keine Marke,"€ 1,69",,"1 kg = 16,90 €","ausgenommen, ideal zum Braten, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/saibling.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food"
Teewurst,Rügenwalder Mühle,"€ 1,79",,"1 kg = 17,90 €","verschiedene Sorten, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/r-genwalder-m-hle-teewurst.jpg,"cat_fleisch_wurst,sub_fleischersatz,sub_wurst,tag_ultra_processed"
Wiltmann Salami,Keine Marke,"€ 1,29",,Kein Mengenpreis,verschiedene Sorten Ausgenommen Bio Salami 80 g.,Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/wiltmann-salami.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_wurst,tag_ultra_processed,tag_whole_food"
Ring- oder Kordelsalami,Aoste,"€ 3,99",,"1 kg = 15,96 €","luftgetrocknet Je nach Verfügbarkeit des Marktes., 250 g Packung, (1 kg = 15,96 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/aoste-ring-oder-kordelsalami.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed"
Bauernschätze Salami,Keine Marke,"€ 1,99",,"1 kg = 19,90 €","herzhaft, kräftig gewürzt, in Scheiben oder 250 g Stücke, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/bauernsch-tze-salami.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_wurst,tag_ultra_processed,tag_whole_food"
Bauernschätze Cabanossi,Keine Marke,"€ 1,59",,"1 kg = 15,90 €","herzhaft, deftig im Geschmack, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/bauernsch-tze-cabanossi.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_wurst,tag_ultra_processed"
Salami St Georg,Keine Marke,"€ 1,79",,"1 kg = 17,90 €","nach überlieferter Rezeptur hergestellt, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/salami-st-georg.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_frisches_gemuese,sub_tk_fertiggerichte,sub_wurst,tag_ultra_processed,tag_whole_food"
Mailänder Salami,Keine Marke,"€ 1,99",,"1 kg = 19,90 €","voll ausgereift, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/mail-nder-salami.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_wurst,tag_ultra_processed,tag_whole_food"
Lachsschinken,Keine Marke,"€ 1,59",,"1 kg = 15,90 €","roh, mild im Geschmack, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/lachsschinken.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_schwein,sub_wurst,tag_proteinreich,tag_ultra_processed,tag_whole_food"
Räucherbauchfleisch,Keine Marke,"€ 1,29",,"1 kg = 12,90 €","ohne Rippen, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/r-ucherbauchfleisch.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,tag_whole_food"
Käsewürstchen,Keine Marke,"€ 1,19",,"1 kg = 11,90 €","herzhaft, deftig im Geschmack, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/k-sew-rstchen.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_wurst,tag_ultra_processed,tag_whole_food"
Italienischer Rosmarin Schinken,Keine Marke,"€ 1,79",,"1 kg = 17,90 €","gegart, saftige Scheiben, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/italienischer-rosmarin-schinken.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_proteinreich,tag_ultra_processed,tag_whole_food"
Fleischkäse Pizza-Art,Keine Marke,"€ 1,19",,"1 kg = 11,90 €","herzhaft gewürzt, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/fleischk-se-pizza-art.jpg,"cat_fleisch_wurst,sub_kaese,sub_milchprodukte,tag_ultra_processed"
Bierwurst,Keine Marke,"€ 1,29",,"1 kg = 12,90 €","in Blasen, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/bierwurst.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_frisches_obst,sub_wurst,tag_ultra_processed,tag_whole_food"
Delikatess Leberwurst,Keine Marke,"€ 0,99",,"1 kg = 9,90 €","mit Kalbfleisch, im Golddarm, zart und cremig, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/delikatess-leberwurst.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_wurst,tag_ultra_processed,tag_whole_food"
Hähnchenbrust Florenz,Keine Marke,"€ 1,89",,Kein Mengenpreis,100 g,Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/h-hnchenbrust-florenz.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food"
Knackwurst,Keine Marke,"€ 0,89",,"1 kg = 8,90 €","zart geräuchert, deftig gewürzt, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/knackwurst.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_wurst,tag_ultra_processed,tag_whole_food"
Berger Schinken,Keine Marke,"€ 1,49",,"1 kg = 18,63 €","verschiedene Sorten, 80 g Packung, (1 kg = 18,63 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/berger-schinken.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_schwein,sub_wurst,tag_ultra_processed,tag_whole_food"
Rinderrouladen -schmorbraten oder -gulasch,Keine Marke,"€ 1,79",,"1 kg = 17,90 €","aus der Keule, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/rinderrouladen-schmorbraten-oder-gulasch.jpg,"cat_fleisch_wurst,sub_rind,tag_ultra_processed,tag_whole_food"
Schweinesaft- Krustenbraten,Keine Marke,"€ 5,90",,"1 kg = 59,00 €","aus der Schulter, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/schweinesaft-krustenbraten.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_schwein,tag_whole_food"
Hähnchenbrustfilet,Keine Marke,"€ 0,99",,"1 kg = 10,90 €","natur,  Hkl. A auch in gewürzt erhältlich, 100 g = 1,09 €, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/h-hnchenbrustfilet.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_whole_food"
Rinderhackfleisch,Keine Marke,"€ 1,39",,Kein Mengenpreis,100 g,Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/rinderhackfleisch.jpg,"cat_fleisch_wurst,sub_hackfleisch,sub_rind,tag_proteinreich,tag_ultra_processed,tag_whole_food"
Rinderroulade,Keine Marke,"€ 1,99",,"1 kg = 19,90 €","aus der Oberschale, dem besten Stück der Keule, natur, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/rinderroulade.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_rind,tag_proteinreich,tag_ultra_processed,tag_whole_food"
Schweineschäufele,Keine Marke,"€ 0,65",,"1 kg = 6,50 €","mit Schwarte, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/schweinesch-ufele.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_schwein,tag_ultra_processed,tag_whole_food"
Bauernschätze Schweinekammbraten,Keine Marke,"€ 1,11",,"1 kg = 11,10 €","ohne Knochen, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/bauernsch-tze-schweinekammbraten.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_schwein,tag_whole_food"
Bauernschätze Schweinekammsteaks,Keine Marke,"€ 1,19",,"1 kg = 12,90 €","natur auch in gewürzt erhältlich, 100 g = 1,29 €, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/bauernsch-tze-schweinekammsteaks.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_schwein,tag_whole_food"
Bauernschätze Putenunterkeule oder Putenflügel,Keine Marke,"€ 0,69",,Kein Mengenpreis,100 g,Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/bauernsch-tze-putenunterkeule-oder-putenfl-gel.jpg,"cat_fleisch_wurst,sub_gefluegel,tag_ultra_processed"
Frisches Puten Geschnetzeltes,Keine Marke,"€ 9,99",,"1 kg = 12,49 €","aus dem Putenbrustfilet geschnitten, 800 g XXL SB-Packung, (1 kg = 12,49 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/frisches-puten-geschnetzeltes.jpg,"cat_fleisch_wurst,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_whole_food"
Cevapcici,Keine Marke,"€ 6,99",,"1 kg = 17,48 €","vom Rind, gewürzt, 400 g SB-Packung, (1 kg = 17,48 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/cevapcici.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food"
