Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Le Rustique französischer Camembert,"€ 2,79",Kein Mengenpreis,verschiedene Sorten und Fettstufen,2026-01-12,2026-01-17,images_edeka/le-rustique-franz-sischer-camembert.jpg
Milram Reibekäse oder Alternative,"€ 1,49","1 kg = 9,93 €","verschiedene Sorten und Fettstufen, 150 g Packung, (1 kg = 9,93 €)",2026-01-12,2026-01-17,images_edeka/milram-reibek-se-oder-alternative.jpg
Andechser Natur Bio Joghurt,"€ 1,79","1 kg = 3,58 €","verschiedene Sorten und Fettstufen, 500 g Glas + 0,15 Pfand, (1 kg = 3,58 €)",2026-01-12,2026-01-17,images_edeka/andechser-natur-bio-joghurt.jpg
Ehrmann High Protein Mousse oder Pudding mit ChocSplits,"€ 1,29",Kein Mengenpreis,"verschiedene Sorten, 20 g Protein Je nach Verfügbarkeit des Marktes.",2026-01-12,2026-01-17,images_edeka/ehrmann-high-protein-mousse-oder-pudding-mit-chocsplits.jpg
Zott Monte,"€ 1,49","1 kg = 3,73 €","verschiedene Sorten, 400 g Packung/Becher, (1 kg = 3,73 €)",2026-01-12,2026-01-17,images_edeka/zott-monte.jpg
Dr Oetker Löffelglück Grütze,"€ 0,99","1 kg = 6,19 €","verschiedene Sorten, 160 g Becher, (1 kg = 6,19 €)",2026-01-12,2026-01-17,images_edeka/dr-oetker-l-ffelgl-ck-gr-tze.jpg
EDEKA Bio WWF H-Vollmilch,"€ 1,15","1 l = 1,15 €","3,8 % Fett, 1 Liter Packung, (1 l = 1,15 €)",2026-01-12,2026-01-17,images_edeka/edeka-bio-wwf-h-vollmilch.jpg
EDEKA Bio WWF Naturjoghurt,"€ 0,99","1 kg = 1,98 €","verschiedene Fettstufen, 500 g Becher, (1 kg = 1,98 €)",2026-01-12,2026-01-17,images_edeka/edeka-bio-wwf-naturjoghurt.jpg
Bregenzer Wälder Wäldergold Käse,"€ 3,99","1 kg = 26,60 €","verschiedene Sorten, 50 % Fett i. Tr., 150 g Packung, (1 kg = 26,60 €)",2026-01-12,2026-01-17,images_edeka/bregenzer-w-lder-w-ldergold-k-se.jpg
Switzerland Le Gruy re AOP,"€ 2,79",Kein Mengenpreis,"schweizer Hartkäse aus Rohmilch, 49 % Fett i. Tr., fruchtig, 100 g",2026-01-12,2026-01-17,images_edeka/switzerland-le-gruy-re-aop.jpg
Bergader Bavaria blu Bonifaz,"€ 1,79",Kein Mengenpreis,"deutscher Weichkäse oder -zubereitung, verschiedene Sorten und Fettstufen, 100 g",2026-01-12,2026-01-17,images_edeka/bergader-bavaria-blu-bonifaz.jpg
Milram Käse,"€ 0,99",Kein Mengenpreis,"deutscher Schnittkäse, verschiedene Sorten und Fettstufen, 100 g",2026-01-12,2026-01-17,images_edeka/milram-k-se.jpg
Westland Old Amsterdam,"€ 1,79",Kein Mengenpreis,"holländischer Schnittkäse, verschiedene Sorten und Fettstufen, auch als SB Stück erhältlich, 100 g",2026-01-12,2026-01-17,images_edeka/westland-old-amsterdam.jpg
Rama 100 Natürliche Zutaten,"€ 1,29","1 kg = 3,23 €","60 % Fett, vegan, 400 g Becher, (1 kg = 3,23 €)",2026-01-12,2026-01-17,images_edeka/rama-100-nat-rliche-zutaten.jpg
Danone YoPRO,"€ 0,99","1 kg = 6,19 €","verschiedene Sorten, cremiger Skyr 15 g Protein pro Becher, 160 g Becher, (1 kg = 6,19 €)",2026-01-12,2026-01-17,images_edeka/danone-yopro.jpg
Ehrmann Frische oder Schwarzwaldmilch Haltbare Protein Milch,"€ 1,79","1 l = 1,79 €","0,9 % Fett, 60/75 g Protein je Liter, 1 Liter Packung, (1 l = 1,79 €)",2026-01-12,2026-01-17,images_edeka/ehrmann-frische-oder-schwarzwaldmilch-haltbare-protein-milch.jpg
Mevgal Griechischer Joghurt,"€ 0,99","1 kg = 6,60/4,95 €","aus Schaf-, Kuh- oder Ziegenmilch, verschiedene Sorten und Fettstufen, 150/200 g Becher, (1 kg = 6,60/4,95 €)",2026-01-12,2026-01-17,images_edeka/mevgal-griechischer-joghurt.jpg
Just Food Trinkmahlzeit,"€ 2,99","1 l = 5,98 €","verschiedene Sorten, 500 ml Flasche, (1 l = 5,98 €)",2026-01-12,2026-01-17,images_edeka/just-food-trinkmahlzeit.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 48,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,
Mövenpick,"€ 13,99","1 kg = 13,99 €","verschiedene Sorten oder Eilles Caffè Crema ganze Bohnen, 1000 g Packung, (1 kg = 13,99 €)",2026-01-12,2026-01-17,images_edeka/m-venpick.jpg
Meßmer Kräuter- oder Früchtetee,"€ 1,59",Kein Mengenpreis,"verschiedene Sorten, 20/25er",2026-01-12,2026-01-17,images_edeka/me-mer-kr-uter-oder-fr-chtetee.jpg
Dallmayr capsa,"€ 2,59","1 kg = 46,25 €","verschiedene Sorten, 10er Für die Verwendung in Nespresso?* Kaffeemaschinen geeignet. *Markenzeichen eines Dritt-Unternehmens., 56 g Packung, (1 kg = 46,25 €)",2026-01-12,2026-01-17,images_edeka/dallmayr-capsa.jpg
EDEKA Herzstücke Röstkaffee,"€ 5,99","1 kg = 11,98 €","gemahlen, verschiedene Sorten 100% Arabica, 500 g Packung, (1 kg = 11,98 €)",2026-01-12,2026-01-17,images_edeka/edeka-herzst-cke-r-stkaffee.jpg
Melitta Kaffee,"€ 6,99","1 kg = 13,98 €","verschiedene Sorten, 500 g Packung, (1 kg = 13,98 €)",2026-01-12,2026-01-17,images_edeka/melitta-kaffee.jpg
Nissin Demae Ramen,"€ 0,59","1 kg = 5,90 €","verschiedene Sorten, 100 g Packung, (1 kg = 5,90 €)",2026-01-12,2026-01-17,images_edeka/nissin-demae-ramen.jpg
Pasta Rey 1851 italienische Pasta,"€ 0,99","1 kg = 1,98 €","verschiedene Ausformungen, 500 g Packung, (1 kg = 1,98 €)",2026-01-12,2026-01-17,images_edeka/pasta-rey-1851-italienische-pasta.jpg
EDEKA Bio Natives Olivenöl extra,"€ 5,99","1 l = 7,99 €","750 ml Flasche, (1 l = 7,99 €)",2026-01-12,2026-01-17,images_edeka/edeka-bio-natives-oliven-l-extra.jpg
EDEKA Bio Tomatensauce,"€ 1,59","1 l = 4,54 €","verschiedene Sorten, 350 ml Glas, (1 l = 4,54 €)",2026-01-12,2026-01-17,images_edeka/edeka-bio-tomatensauce.jpg
Maggi Guten Appetit Suppe,"€ 0,69",Kein Mengenpreis,verschiedene Sorten,2026-01-12,2026-01-17,images_edeka/maggi-guten-appetit-suppe.jpg
Ben s Original Express Reis,"€ 1,49","1 kg = 6,77 €","verschiedene Sorten Ausgenommen Paella Chorizo & Gemüse., 220 g Packung, (1 kg = 6,77 €)",2026-01-12,2026-01-17,images_edeka/ben-s-original-express-reis.jpg
EDEKA Bio Pesto,"€ 2,29","1 kg = 12,05 €","verschiedene Sorten, 190 g Glas, (1 kg = 12,05 €)",2026-01-12,2026-01-17,images_edeka/edeka-bio-pesto.jpg
Hengstenberg Altmeister Essig,"€ 0,99","1 l = 1,32 €","verschiedene Sorten, 750 ml Flasche, (1 l = 1,32 €)",2026-01-12,2026-01-17,images_edeka/hengstenberg-altmeister-essig.jpg
Hengstenberg Mildessa Genießer Rotkohl,"€ 1,49","1 kg = 3,73 €","verschiedene Sorten, 400 g Packung, (1 kg = 3,73 €)",2026-01-12,2026-01-17,images_edeka/hengstenberg-mildessa-genie-er-rotkohl.jpg
Odenwald Apfel Frucht,"€ 1,79","1 kg = 5,04 €","verschiedene Sorten, 355 g Glas, (1 kg = 5,04 €)",2026-01-12,2026-01-17,images_edeka/odenwald-apfel-frucht.jpg
Kühne Gurken,"€ 1,79",Kein Mengenpreis,verschiedene Sorten oder Dänischer Gurken Salat,2026-01-12,2026-01-17,images_edeka/k-hne-gurken.jpg
alpro Soya-Joghurt- oder Skyr-Alternative,"€ 1,69","1 kg = 4,23 €","verschiedene Sorten, vegan, 400 g Becher, (1 kg = 4,23 €)",2026-01-12,2026-01-17,images_edeka/alpro-soya-joghurt-oder-skyr-alternative.jpg
alpro Soya oder Hafer Drink,"€ 1,49",Kein Mengenpreis,"verschiedene Sorten, haltbar, vegan",2026-01-12,2026-01-17,images_edeka/alpro-soya-oder-hafer-drink.jpg
iglo Veggie Love,"€ 2,99","1 kg = 7,48 €","verschiedene Sorten, vegan, tiefgefroren, 400 g Packung, (1 kg = 7,48 €)",2026-01-12,2026-01-17,images_edeka/iglo-veggie-love.jpg
Oreo O S Cereal,"€ 3,49","1 kg = 9,97 €","350 g Packung, (1 kg = 9,97 €)",2026-01-12,2026-01-17,images_edeka/oreo-o-s-cereal.jpg
Corny Protein Soft,"€ 1,79","1 kg = 39,78 €","verschiedene Sorten, 45 g Riegel, (1 kg = 39,78 €)",2026-01-12,2026-01-17,images_edeka/corny-protein-soft.jpg
Frankenmehl Weizenmehl,"€ 1,99","1 kg = 0,80 €","Type 405, 2,5 kg Packung, (1 kg = 0,80 €)",2026-01-12,2026-01-17,images_edeka/frankenmehl-weizenmehl.jpg
Dr Oetker Original Pudding,"€ 0,79",Kein Mengenpreis,verschiedene Sorten,2026-01-12,2026-01-17,images_edeka/dr-oetker-original-pudding.jpg
IronMaxx Collagen Bar,"€ 1,29","1 kg = 32,25 €","verschiedene Sorten, 40 g Riegel, (1 kg = 32,25 €)",2026-01-12,2026-01-17,images_edeka/ironmaxx-collagen-bar.jpg
Bürger Maultaschen,"€ 1,49",Kein Mengenpreis,verschiedene Sorten Ausgenommen Maultaschen gerollt 340 g.,2026-01-12,2026-01-17,images_edeka/b-rger-maultaschen.jpg
Golden Toast,"€ 1,19","1 kg = 2,38 €","verschiedene Sorten Ausgenommen Dinkel 500 g., 500 g Packung, (1 kg = 2,38 €)",2026-01-12,2026-01-17,images_edeka/golden-toast.jpg
EDEKA Bio WWF Frische Tortelloni,"€ 1,99",Kein Mengenpreis,verschiedene Sorten oder Gnocchi,2026-01-12,2026-01-17,images_edeka/edeka-bio-wwf-frische-tortelloni.jpg
Flame Baked Pita Brot,"€ 1,79","1 kg = 4,26 €","rund, zum Fertigbacken, vegan, 4er, 420 g Packung, (1 kg = 4,26 €)",2026-01-12,2026-01-17,images_edeka/flame-baked-pita-brot.jpg
Fränkisches Sauerkraut,"€ 1,99","1 kg = 3,98 €","fix und fertig, gebunden, 500 g Packung, (1 kg = 3,98 €)",2026-01-12,2026-01-17,images_edeka/fr-nkisches-sauerkraut.jpg
EDEKA Herzstücke Protein Wraps,"€ 1,49","1 kg = 4,66 €","Weizen-Tortillas, 8er, vegan, 320 g Packung, (1 kg = 4,66 €)",2026-01-12,2026-01-17,images_edeka/edeka-herzst-cke-protein-wraps.jpg
Sweet-Peppacaps-Kirschpaprika,"€ 1,99","1 kg = 19,90 €","gefüllt mit Frischkäsezubereitung, (1 kg = 19,90 €)",2026-01-12,2026-01-17,images_edeka/sweet-peppacaps-kirschpaprika.jpg
Rügenwalder Mühle Veganes Mühlen Pfannengericht,"€ 2,79",Kein Mengenpreis,verschiedene Sorten,2026-01-12,2026-01-17,images_edeka/r-genwalder-m-hle-veganes-m-hlen-pfannengericht.jpg
endori Vegane Fleischersatzprodukte,"€ 2,49","1 kg = 15,56/11,32 €","verschiedene Sorten, 160-220 g Packung, (1 kg = 15,56/11,32 €)",2026-01-12,2026-01-17,images_edeka/endori-vegane-fleischersatzprodukte.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 83,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,
Frosta Fertiggericht,"€ 2,79",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-12,2026-01-17,images_edeka/frosta-fertiggericht.jpg
