Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Bernard Matthews Hähnchensteaks,"€ 5,29","1 kg = 15,90 €","mit Joghurt verfeinert, verschiedene Marinaden und Gewichte, z. B. 330 g SB-Packung, (1 kg = 15,90 €)",2026-01-12,2026-01-17,images_edeka/bernard-matthews-h-hnchensteaks.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Söhnlein Brillant Sekt Sparkling,"€ 2,69","1 l = 3,59 €","verschiedene Sorten oder Alkoholfrei Je nach Verfügbarkeit des Marktes., 0,75 Liter Flasche, (1 l = 3,59 €)",2026-01-12,2026-01-17,images_edeka/s-hnlein-brillant-sekt-sparkling.jpg
albi Saft Nektar oder Fruchtsaftgetränk,"€ 1,49","1 l = 1,49 €","verschiedene Sorten, 1 Liter Packung, (1 l = 1,49 €)",2026-01-12,2026-01-17,images_edeka/albi-saft-nektar-oder-fruchtsaftgetr-nk.jpg
Coca-Cola Mezzo Mix Fanta Sprite oder Lift,"€ 11,99","1 l = 1,00 €","verschiedene Sorten *koffeinhaltige Limonade, 12 x 1 Liter Kasten + 3,30 Pfand, (1 l = 1,00 €)",2026-01-12,2026-01-17,images_edeka/coca-cola-mezzo-mix-fanta-sprite-oder-lift.jpg
Augustiner Helles Vollbier,"€ 16,99","1 l = 1,70 €","20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,70 €)",2026-01-12,2026-01-17,images_edeka/augustiner-helles-vollbier.jpg
Bad Brückenauer Kondrauer oder Rhön Sprudel Mineralwasser,"€ 5,99","1 l = 0,50 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 12 x 1 Liter Kasten + 3,30 Pfand, (1 l = 0,50 €)",2026-01-12,2026-01-17,images_edeka/bad-br-ckenauer-kondrauer-oder-rh-n-sprudel-mineralwasser.jpg
Bad Brückenauer Kondrauer oder Rhön Sprudel Mineralwasser,"€ 5,99","1 l = 0,50 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 12 x 1 Liter Kasten + 3,30 Pfand, (1 l = 0,50 €)",2026-01-12,2026-01-17,images_edeka/bad-br-ckenauer-kondrauer-oder-rh-n-sprudel-mineralwasser.jpg
Kulmbacher Bier,"€ 10,99","1 l = 1,10 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 24 x 0,33/20 x 0,5 Liter Kasten + 3,42/3,10 Pfand, (1 l = 1,10 €)",2026-01-12,2026-01-17,images_edeka/kulmbacher-bier.jpg
Weingenuss Dornfelder Rotwein,"€ 1,00","1 l = 1,33 €","aus Deutschland, verschiedene Sorten, 0,75 Liter Flasche, (1 l = 1,33 €)",2026-01-12,2026-01-17,images_edeka/weingenuss-dornfelder-rotwein.jpg
Metaxa 5 Stern,"€ 10,99","1 l = 15,70 €","griechische Spirituose oder Ouzo, 38/40 % Vol. Je nach Verfügbarkeit des Marktes., 0,7 Liter Flasche, (1 l = 15,70 €)",2026-01-12,2026-01-17,images_edeka/metaxa-5-stern.jpg
Martini aromatisiertes weinhaltiges Getränk oder Alkoholfrei,"€ 7,99","1 l = 10,65 €","verschiedene Sorten, 14,5/15 % Vol., 0,75 Liter Flasche, (1 l = 10,65 €)",2026-01-12,2026-01-17,images_edeka/martini-aromatisiertes-weinhaltiges-getr-nk-oder-alkoholfrei.jpg
Freixenet Medera o Mia oder Mia Alkoholfrei Wein,"€ 2,99","1 l = 3,99 €","aus Spanien, verschiedene Sorten Je nach Verfügbarkeit des Marktes., 0,75 Liter Flasche, (1 l = 3,99 €)",2026-01-12,2026-01-17,images_edeka/freixenet-medera-o-mia-oder-mia-alkoholfrei-wein.jpg
Michel Schneider Wein oder Alkoholfrei,"€ 3,99","1 l = 5,32 €","aus der Pfalz/Rheinhessen, verschiedene Sorten Je nach Verfügbarkeit des Marktes., 0,75 Liter Flasche, (1 l = 5,32 €)",2026-01-12,2026-01-17,images_edeka/michel-schneider-wein-oder-alkoholfrei.jpg
Fürst Uranov Premium Vodka No 5,"€ 4,99","1 l = 9,98 €","40 % Vol., 0,5 Liter Flasche, (1 l = 9,98 €)",2026-01-12,2026-01-17,images_edeka/f-rst-uranov-premium-vodka-no-5.jpg
Stroh Original Rum,"€ 12,99","1 l = 25,98 €","80 % Vol., 0,5 Liter Flasche, (1 l = 25,98 €)",2026-01-12,2026-01-17,images_edeka/stroh-original-rum.jpg
Osborne Solera Veterano,"€ 9,99","1 l = 14,27 €","30 % Vol., 0,7 Liter Flasche, (1 l = 14,27 €)",2026-01-12,2026-01-17,images_edeka/osborne-solera-veterano.jpg
Baileys Irish Cream Likör,"€ 9,99","1 l = 19,98/14,27 €","verschiedene Sorten, 15,7/17 % Vol. Je nach Verfügbarkeit des Marktes., 0,5/0,7 Liter Flasche, (1 l = 19,98/14,27 €)",2026-01-12,2026-01-17,images_edeka/baileys-irish-cream-lik-r.jpg
Paulaner Spezi,"€ 9,48","1 l = 2,39 €","Coffeinhaltige Orangenlimonade mit Cola Nur solange der Vorrat reicht., 12 x 0,33 Liter Packung + 3,00 Pfand, (1 l = 2,39 €)",2026-01-12,2026-01-17,images_edeka/paulaner-spezi.jpg
Booster Energy Drink,"€ 0,69","1 l = 2,09 €","verschiedene Sorten, 0,33 Liter Dose + 0,25 Pfand, (1 l = 2,09 €)",2026-01-12,2026-01-17,images_edeka/booster-energy-drink.jpg
Capri-Sun,"€ 3,29","1 l = 1,65 €","verschiedene Sorten, 10 x 0,2 Liter Packung, (1 l = 1,65 €)",2026-01-12,2026-01-17,images_edeka/capri-sun.jpg
Vöslauer natürliches Mineralwasser,"€ 0,79","1 l = 0,53 €","verschiedene Sorten, 1,5 Liter Flasche + 0,25 Pfand, (1 l = 0,53 €)",2026-01-12,2026-01-17,images_edeka/v-slauer-nat-rliches-mineralwasser.jpg
Volvic Vitamin,"€ 1,29","1 l = 1,72 €","verschiedene Sorten, 0,75 Liter Flasche + 0,25 Pfand, (1 l = 1,72 €)",2026-01-12,2026-01-17,images_edeka/volvic-vitamin.jpg
hohes C Super Shots,"€ 1,99","1 l = 6,03 €","verschiedene Sorten, 0,33 Liter Flasche + 0,25 Pfand, (1 l = 6,03 €)",2026-01-12,2026-01-17,images_edeka/hohes-c-super-shots.jpg
Vitamin Well,"€ 1,69","1 l = 3,38 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 0,5 Liter Flasche + 0,25 Pfand, (1 l = 3,38 €)",2026-01-12,2026-01-17,images_edeka/vitamin-well.jpg
Booster Energy Drink 4 Life,"€ 0,69","1 l = 1,38 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 0,5 Liter Dose + 0,25 Pfand, (1 l = 1,38 €)",2026-01-12,2026-01-17,images_edeka/booster-energy-drink-4-life.jpg
innocent Der Smoothie Shot oder Saft,"€ 1,49",Kein Mengenpreis,verschiedene Sorten,2026-01-12,2026-01-17,images_edeka/innocent-der-smoothie-shot-oder-saft.jpg
Krombacher Bier,"€ 12,49","1 l = 1,25 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 24 x 0,33/20 x 0,5 Liter Kasten + 3,42/3,10 Pfand, (1 l = 1,25 €)",2026-01-12,2026-01-17,images_edeka/krombacher-bier.jpg
Budweiser Budvar Bier,"€ 4,49","1 l = 2,27 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 6 x 0,33 Liter Packung + 0,48 Pfand, (1 l = 2,27 €)",2026-01-12,2026-01-17,images_edeka/budweiser-budvar-bier.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Ritter Sport Nuss oder Kakao Klasse Schokolade,"€ 1,69","1 kg = 16,90 €","verschiedene Sorten, 100 g Tafel, (1 kg = 16,90 €)",2026-01-12,2026-01-17,images_edeka/ritter-sport-nuss-oder-kakao-klasse-schokolade.jpg
Milka Party Mix oder Favourites,"€ 2,99",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/milka-party-mix-oder-favourites.jpg
Nestl After Eight,"€ 2,29","1 kg = 11,45 €","200 g Packung, (1 kg = 11,45 €)",2026-01-12,2026-01-17,images_edeka/nestl-after-eight.jpg
Snickers oder Mars,"€ 1,99",Kein Mengenpreis,5er,2026-01-12,2026-01-17,images_edeka/snickers-oder-mars.jpg
kinder bueno,"€ 2,29",Kein Mengenpreis,"verschiedene Sorten, 6er",2026-01-12,2026-01-17,images_edeka/kinder-bueno.jpg
funny-frisch Chipsfrisch,"€ 1,99","1 kg = 9,26 €","verschiedene Sorten, 215 g Packung, (1 kg = 9,26 €)",2026-01-12,2026-01-17,images_edeka/funny-frisch-chipsfrisch.jpg
Storck Knoppers,"€ 1,79","1 kg = 8,95 €","verschiedene Sorten, 8er, 200 g Packung, (1 kg = 8,95 €)",2026-01-12,2026-01-17,images_edeka/storck-knoppers.jpg
Storck Knoppers NussRiegel,"€ 1,79","1 kg = 8,95 €","verschiedene Sorten, 5er, 200 g Packung, (1 kg = 8,95 €)",2026-01-12,2026-01-17,images_edeka/storck-knoppers-nussriegel.jpg
Lorenz Saltletts Cracker,"€ 1,49","1 kg = 14,90/9,93 €","verschiedene Sorten, Mini Brezel oder Mini Bagel, 100/150 g Packung, (1 kg = 14,90/9,93 €)",2026-01-12,2026-01-17,images_edeka/lorenz-saltletts-cracker.jpg
Ferrero Rocher,"€ 2,99","1 kg = 14,95 €","200 g Packung, (1 kg = 14,95 €)",2026-01-12,2026-01-17,images_edeka/ferrero-rocher.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Perwoll Feinwaschmittel,"€ 4,99",Kein Mengenpreis,verschiedene Sorten,2026-01-12,2026-01-17,images_edeka/perwoll-feinwaschmittel.jpg
Zewa Ultra Toilettenpapier,"€ 3,99",Kein Mengenpreis,"verschiedene Sorten, 4-lagig, 8 x 135/150 Blatt Packung",2026-01-12,2026-01-17,images_edeka/zewa-ultra-toilettenpapier.jpg
finish Powerball Maschinengeschirr-Reiniger,"€ 7,99",Kein Mengenpreis,verschiedene Sorten,2026-01-12,2026-01-17,images_edeka/finish-powerball-maschinengeschirr-reiniger.jpg
Sagrotan Reiniger oder Reinigungstücher,"€ 2,79",Kein Mengenpreis,verschiedene Sorten Biozidprodukte vorsichtig verwenden. Vor Gebrauch stets Etikett und Produktinformation lesen.,2026-01-12,2026-01-17,images_edeka/sagrotan-reiniger-oder-reinigungst-cher.jpg
Tena discreet Hygiene-Einlagen,"€ 2,99",Kein Mengenpreis,verschiedene Größen,2026-01-12,2026-01-17,images_edeka/tena-discreet-hygiene-einlagen.jpg
Softis Taschentücher,"€ 2,49",Kein Mengenpreis,"super-soft, 30 x 9er Packung",2026-01-12,2026-01-17,images_edeka/softis-taschent-cher.jpg
schauma Shampoo oder Spülung,"€ 1,49",Kein Mengenpreis,verschiedene Sorten Ausgenommen Xtra und Kids.,2026-01-12,2026-01-17,images_edeka/schauma-shampoo-oder-sp-lung.jpg
Palmolive Duschbad,"€ 0,99","1 l = 3,96 €","verschiedene Sorten, 250 ml Flasche, (1 l = 3,96 €)",2026-01-12,2026-01-17,images_edeka/palmolive-duschbad.jpg
Fa Deospray,"€ 1,29","1 l = 8,60 €","verschiedene Sorten, 150 ml Dose, (1 l = 8,60 €)",2026-01-12,2026-01-17,images_edeka/fa-deospray.jpg
Odol-med 3 Zahncreme,"€ 1,99","1 l = 26,53 €","verschiedene Sorten Ausgenommen Extreme und Junior., 75 ml Packung, (1 l = 26,53 €)",2026-01-12,2026-01-17,images_edeka/odol-med-3-zahncreme.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
EDEKA Herzstücke Feine Pastete für Hunde,"€ 0,40","1 kg = 2,67 €","verschiedene Sorten Ausgenommen Sensitiv., 150 g Schale, (1 kg = 2,67 €)",2026-01-12,2026-01-17,images_edeka/edeka-herzst-cke-feine-pastete-f-r-hunde.jpg
Dokas Hunde-Snacks,"€ 1,49","1 kg = 21,29 €","verschiedene Sorten, 70 g Packung, (1 kg = 21,29 €)",2026-01-12,2026-01-17,images_edeka/dokas-hunde-snacks.jpg
whiskas Katzennahrung,"€ 3,99","1 kg = 3,91 €","verschiedene Sorten, 12er, 1,02 kg Multipackung, (1 kg = 3,91 €)",2026-01-12,2026-01-17,images_edeka/whiskas-katzennahrung.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Weißbrot,"€ 1,19","1 kg = 2,16 €","Abbildung ähnlich., 500 g Laib, (1 kg = 2,16 €)",2026-01-12,2026-01-17,images_edeka/wei-brot.jpg
Roggenbrötchen,"€ 0,39",Kein Mengenpreis,"Abbildung ähnlich., Stück",2026-01-12,2026-01-17,images_edeka/roggenbr-tchen.jpg
Laugenstange,"€ 0,25",Kein Mengenpreis,"Abbildung ähnlich., Stück",2026-01-12,2026-01-17,images_edeka/laugenstange.jpg
Käsezwirbel,"€ 0,99",Kein Mengenpreis,"mit Salami Abbildung ähnlich., Stück",2026-01-12,2026-01-17,images_edeka/k-sezwirbel.jpg
Apfelberliner,"€ 0,99",Kein Mengenpreis,"aus Hefeteig mit Apfelfruchtfüllung und Äpfeln Abbildung ähnlich., Stück",2026-01-12,2026-01-17,images_edeka/apfelberliner.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
