Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
EDEKA Bio WWF Bananen,"€ 1,49",Kein Mengenpreis,"Herkunft siehe Auszeichnung, 1 kg",2026-01-05,2026-01-10,images_edeka/edeka-bio-wwf-bananen.jpg
Gut Günstig Speisekartoffeln,"€ 1,49","1 kg = 0,60 €","vorwiegend festkochend, Sorte siehe Etikett, aus Deutschland Abbildung ähnlich., 2,5 kg Netz, (1 kg = 0,60 €)",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-speisekartoffeln.jpg
Gut Günstig Mini Pflaumentomaten,"€ 1,11","1 kg = 2,22 €","Herkunft siehe Etikett, Kl. I, 500 g Packung, (1 kg = 2,22 €)",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-mini-pflaumentomaten.jpg
Gut Günstig Tafeltrauben rot,"€ 1,69","1 kg = 3,38 €","Sorte und Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 3,38 €)",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-tafeltrauben-rot.jpg
EDEKA Bio Zitronen,"€ 0,99","1 kg = 1,98 €","Sorte siehe Etikett, aus Italien/Spanien, Kl. II, 500 g Netz, (1 kg = 1,98 €)",2026-01-05,2026-01-10,images_edeka/edeka-bio-zitronen.jpg
Mein Beerenglück Heidelbeeren,"€ 2,99","1 kg = 5,98 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 5,98 €)",2026-01-05,2026-01-10,images_edeka/mein-beerengl-ck-heidelbeeren.jpg
EDEKA Heimatliebe Fränkisches Salatrio mit Wurzelballen,"€ 1,00",Kein Mengenpreis,"länger frisch dank Wurzelballen, Stück",2026-01-05,2026-01-10,images_edeka/edeka-heimatliebe-fr-nkisches-salatrio-mit-wurzelballen.jpg
Fränkische Mini-Gurken,"€ 2,99","1 kg = 5,98 €","Kl. I Abbildung ähnlich., 500 g Netz, (1 kg = 5,98 €)",2026-01-05,2026-01-10,images_edeka/fr-nkische-mini-gurken.jpg
EDEKA Bio WWF Champignons weiß oder braun,"€ 1,99","1 kg = 9,95 €","Herkunft siehe Etikett, Kl. II, 200 g Packung, (1 kg = 9,95 €)",2026-01-05,2026-01-10,images_edeka/edeka-bio-wwf-champignons-wei-oder-braun.jpg
Spitzpaprika rot,"€ 1,99","1 kg = 3,98 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 3,98 €)",2026-01-05,2026-01-10,images_edeka/spitzpaprika-rot.jpg
EDEKA Bio WWF Tafeltrauben hell,"€ 2,99","1 kg = 7,48 €","Sorte und Herkunft siehe Etikett, Kl. II, 400 g Packung, (1 kg = 7,48 €)",2026-01-05,2026-01-10,images_edeka/edeka-bio-wwf-tafeltrauben-hell.jpg
Gut Günstig Blutorangen,"€ 1,99","1 kg = 1,99 €","Sorte siehe Etikett, aus Italien, Kl. I, 1 kg Netz, (1 kg = 1,99 €)",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-blutorangen.jpg
Gut Günstig Avocados,"€ 1,00",Kein Mengenpreis,"Sorte siehe Auszeichnung, aus Israel, Kl. I, Stück",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-avocados.jpg
Endiviensalat,"€ 1,49",Kein Mengenpreis,"aus Italien, Kl. I, Stück",2026-01-05,2026-01-10,images_edeka/endiviensalat.jpg
Gut Günstig Mango Kent,"€ 1,00",Kein Mengenpreis,"aus Peru, Kl. I, Stück",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-mango-kent.jpg
Kanzi Tafeläpfel rot,"€ 1,00","1 kg = 1,92 €","Sorte siehe Etikett, aus Deutschland, Kl. I, 520 g Packung, (1 kg = 1,92 €)",2026-01-05,2026-01-10,images_edeka/kanzi-tafel-pfel-rot.jpg
EDEKA Herzstücke Snackmöhren,"€ 0,99","1 kg = 3,96 €","aus Deutschland, Kl. I, 250 g Packung, (1 kg = 3,96 €)",2026-01-05,2026-01-10,images_edeka/edeka-herzst-cke-snackm-hren.jpg
Fränkische Tafeläpfel rot,"€ 1,99","1 kg = 1,33 €","Sorte siehe Etikett, vom Obsthof Zörner aus Bibergau, Kl. I, 1,5 kg Packung, (1 kg = 1,33 €)",2026-01-05,2026-01-10,images_edeka/fr-nkische-tafel-pfel-rot.jpg
Zespri Jumbo Kiwi Gold,"€ 1,29",Kein Mengenpreis,"aus Italien, Kl. I, Stück",2026-01-05,2026-01-10,images_edeka/zespri-jumbo-kiwi-gold.jpg
EDEKA Herzstücke Snackmöhren,"€ 0,99","1 kg = 3,96","aus Deutschland, Kl. I, 250 g Packung, (1 kg = 3,96)",2026-01-05,2026-01-10,images_edeka/edeka-herzst-cke-snackm-hren.jpg
Gut Günstig Mini Pflaumentomaten,"€ 1,11","1 kg = 2,22","Herkunft siehe Etikett, Kl. I, 500 g Packung, (1 kg = 2,22)",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-mini-pflaumentomaten.jpg
Gut Günstig Speisekartoffeln,"€ 1,49","1 kg = 0,60","vorwiegend festkochend, Sorte siehe Etikett, aus Deutschland, 2,5 kg Netz, (1 kg = 0,60)",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-speisekartoffeln.jpg
Gut Günstig Tafeltrauben rot,"€ 1,69","1 kg = 3,38","Sorte und Herkunft siehe Etikett, Kl. I, kernlos, 500 g Packung, (1 kg = 3,38)",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-tafeltrauben-rot.jpg
EDEKA Bio Zitronen,"€ 0,99","1 kg = 1,98","Sorte siehe Etikett, aus Italien/Spanien, Kl. II, 500 g Netz, (1 kg = 1,98)",2026-01-05,2026-01-10,images_edeka/edeka-bio-zitronen.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-05,2026-01-10,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 26,"€ ,00",Kein Mengenpreis,,2026-01-05,2026-01-10,
Philadelphia Frischkäse oder -zubereitung,"€ 1,00",Kein Mengenpreis,verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes.,2026-01-05,2026-01-10,images_edeka/philadelphia-frischk-se-oder-zubereitung.jpg
müller Joghurt mit der Ecke,"€ 0,39",Kein Mengenpreis,verschiedene Sorten,2026-01-05,2026-01-10,images_edeka/m-ller-joghurt-mit-der-ecke.jpg
Landliebe Landkäse Scheiben,"€ 1,59","1 kg = 10,60 €","verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes., 150 g Packung, (1 kg = 10,60 €)",2026-01-05,2026-01-10,images_edeka/landliebe-landk-se-scheiben.jpg
Berchtesgadener Land Haltbare Bergbauern Milch,"€ 0,99","1 l = 0,99 €","verschiedene Fettstufen, 1 Liter Packung, (1 l = 0,99 €)",2026-01-05,2026-01-10,images_edeka/berchtesgadener-land-haltbare-bergbauern-milch.jpg
Zott Bayerntaler,"€ 0,99",Kein Mengenpreis,"deutscher Schnittkäse, verschiedene Fettstufen, nussig-mild Je nach Verfügbarkeit des Marktes., 100 g",2026-01-05,2026-01-10,images_edeka/zott-bayerntaler.jpg
