Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Gut & Günstig Clementinen,Keine Marke,€ 1.99,Kein vorheriger Preis,"1 kg = 1,99 €","Sorte siehe Etikett, aus Italien/Spanien, Kl. I, 1 kg Netz, (1 kg = 1,99 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/gut-g-nstig-clementinen.jpg
Gut & Günstig Salatgurke,Keine Marke,€ 0.79,Kein vorheriger Preis,,"aus den Niederlanden/Spanien, Kl. I, Stück",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/gut-g-nstig-salatgurke.jpg
San Lucar Zitrone,Keine Marke,€ 0.90,Kein vorheriger Preis,,"aus Spanien, Kl. I,, Stück",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/san-lucar-zitrone.jpg
Mein Beerenglück Heidelbeeren,Keine Marke,€ 3.99,Kein vorheriger Preis,"1 kg = 7,98 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung,, (1 kg = 7,98 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/mein-beerengl-ck-heidelbeeren.jpg
Edeka Bio Mini Pflaumentomaten,Keine Marke,€ 1.49,Kein vorheriger Preis,"1 kg = 5,96 €","aus Spanien, Kl. II, 250 g Packung,, (1 kg = 5,96 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-bio-mini-pflaumentomaten.jpg
Rosenkohl,Keine Marke,€ 0.88,Kein vorheriger Preis,"1 kg = 1,17 €","aus den Niederlanden, Kl. I Abbildung ähnlich., 750 g Netz, (1 kg = 1,17 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/rosenkohl.jpg
Zucchini,Keine Marke,€ 0.79,Kein vorheriger Preis,,"aus Spanien/Italien, Kl. I, Stück",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/zucchini.jpg
EDEKA Herzstücke Magic Star Tafeläpfel,Keine Marke,€ 2.99,Kein vorheriger Preis,"1 kg = 1,99 €","Sorte siehe Etikett, aus Deutschland, Kl. I, 1,5 kg Packung, (1 kg = 1,99 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-herzst-cke-magic-star-tafel-pfel.jpg
EDEKA Bio WWF Champignons weiß oder braun,Keine Marke,€ 1.99,Kein vorheriger Preis,"1 kg = 9,95 €","Herkunft siehe Etikett, Kl. II, 200 g Packung, (1 kg = 9,95 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-bio-wwf-champignons-wei-oder-braun.jpg
Edeka Herzstücke Beste Lese TafeltraubenMix,Keine Marke,€ 2.49,Kein vorheriger Preis,"1 kg = 4,98 €","Sorte siehe Etikett, aus Italien, Kl. I, 500 g Packung, (1 kg = 4,98 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-herzst-cke-beste-lese-tafeltraubenmix.jpg
EDEKA Bio WWF Bananen,Keine Marke,€ 1.99,Kein vorheriger Preis,,"Herkunft siehe Auszeichnung, 1 kg",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-bio-wwf-bananen.jpg
Edeka Bio Rispentomaten,Keine Marke,€ 1.49,Kein vorheriger Preis,"1 kg = 2,98 €","aus Spanien, Kl. II, 500 g Packung, (1 kg = 2,98 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-bio-rispentomaten.jpg
Ananas,Keine Marke,€ 1.99,Kein vorheriger Preis,"1 st = 1,99 €","aus Costa Rica/Ghana, Kl. I, Stück, (1 st = 1,99 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/ananas.jpg
EDEKA Herzstücke Apeel Riesenorangen,Keine Marke,€ 3.99,Kein vorheriger Preis,"1 kg = 2,00 €","Sorte siehe Etikett, aus Spanien, Kl. I, 2 kg Netz, (1 kg = 2,00 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-herzst-cke-apeel-riesenorangen.jpg
"Kaki ""Roja Brillante""",Keine Marke,€ 1.00,Kein vorheriger Preis,"1 kg = 3,33 €","aus Spanien, Kl. I, 300 g Packung, (1 kg = 3,33 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/kaki-roja-brillante.jpg
EDEKA Herzstücke Mini Rispentomaten,Keine Marke,€ 1.99,Kein vorheriger Preis,"1 kg = 4,98 €","Maus den Niederlanden, Kl. I, 400 g Packung, (1 kg = 4,98 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-herzst-cke-mini-rispentomaten.jpg
Mini Romanasalat,Keine Marke,€ 0.99,Kein vorheriger Preis,,"aus Spanien, Kl. I Abbildung ähnlich., 2er Packung",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/mini-romanasalat.jpg
Edeka Herzstücke Mini Pflaumentomaten,Keine Marke,€ 1.99,Kein vorheriger Preis,"1 kg = 7,96 €","Herkunft siehe Etikett, Kl. I,, 250 g Becher, (1 kg = 7,96 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-herzst-cke-mini-pflaumentomaten.jpg
Mein Beerenglück Heidelbeeren,Keine Marke,€ 3.99,Kein vorheriger Preis,"1 kg = 7,98","Herkunft siehe Etikett, Kl. I, 500 g Packung, (1 kg = 7,98)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/mein-beerengl-ck-heidelbeeren.jpg
Gut & Günstig Salatgurke,Keine Marke,€ 0.79,Kein vorheriger Preis,,"aus den Niederlanden/ Spanien, Kl. I, Stück",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/gut-g-nstig-salatgurke.jpg
2 Netze EDEKA Herzstücke Speisekartoffeln,Keine Marke,€ 4.00,Kein vorheriger Preis,"1 kg = 0,80","verschiedene Kocheigenschaften, Sorte siehe Etikett, aus Deutschland, à 2,5 kg, (1 kg = 0,80)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/2-netze-edeka-herzst-cke-speisekartoffeln.jpg
Gut & Günstig Clementinen,Keine Marke,€ 1.99,Kein vorheriger Preis,,"Sorte siehe Etikett, aus Spanien/ Italien, Kl. I, 1 kg Netz",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/gut-g-nstig-clementinen.jpg
EDEKA Herzstücke Mini Pflaumentomaten,Keine Marke,€ 1.99,Kein vorheriger Preis,"1 kg = 7,96","Herkunft siehe Etikett, Kl. I, 250 g Becher, (1 kg = 7,96)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-herzst-cke-mini-pflaumentomaten.jpg
Alle Angebote finden Sie im Prospekt,Keine Marke,?,Kein vorheriger Preis,,,Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt_25,Keine Marke,?,Kein vorheriger Preis,,,Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,
Ehrmann Grand Dessert,Keine Marke,€ 0.55,Kein vorheriger Preis,"1 kg = 2,89 €","verschiedene Sorten, 190 g Becher, (1 kg = 2,89 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/ehrmann-grand-dessert.jpg
Weihenstephan Butter oder Die Streichzarte,Keine Marke,€ 1.69,Kein vorheriger Preis,"1 kg = 6,76 €","verschiedene Sorten, 250 g Stück/Becher, (1 kg = 6,76 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/weihenstephan-butter-oder-die-streichzarte.jpg
Philadelphia Frischkäse oder -zubereitung,Keine Marke,€ 1.11,Kein vorheriger Preis,"1 kg = 5,55-11,10 €","verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes., 100-200 g Becher/Packung, (1 kg = 5,55-11,10 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/philadelphia-frischk-se-oder-zubereitung.jpg
kerrygold Original Irischer Käse,Keine Marke,€ 1.49,Kein vorheriger Preis,"1 kg = 9,93-12,42","verschiedene Sorten und Fettstufen *Nur solange der Vorrat reicht., 120*-150 g Packung, (1 kg = 9,93-12,42)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/kerrygold-original-irischer-k-se.jpg
Le Rustique französischer Camembert,Keine Marke,€ 2.79,Kein vorheriger Preis,"1 kg = 11,63/11,16 €","verschiedene Sorten und Fettstufen, 240/250 g Packung, (1 kg = 11,63/11,16 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/le-rustique-franz-sischer-camembert.jpg
EDEKA Bio WWF Naturjoghurt,Keine Marke,€ 1.15,Kein vorheriger Preis,"1 kg = 2,30 €","verschiedene Sorten und Fettstufen, 500 g Becher, (1 kg = 2,30 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-bio-wwf-naturjoghurt.jpg
EDEKA Bio WWF Mozzarella,Keine Marke,€ 1.29,Kein vorheriger Preis,"1 kg = 10,32 €","45 % Fett i. Tr., 200 g Packung (Abtropfgewicht 125 g), (1 kg = 10,32 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-bio-wwf-mozzarella.jpg
Patros,Keine Marke,€ 1.99,Kein vorheriger Preis,"1 kg = 11,06-15,31 €","verschiedene Sorten und Fettstufen, 130-180 g Packung, (1 kg = 11,06-15,31 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/patros.jpg
miree Frischkäsezubereitung,Keine Marke,€ 1.11,Kein vorheriger Preis,"1 kg = 8,22/7,40 €","verschiedene Sorten und Fettstufen, 135/150 g Becher, (1 kg = 8,22/7,40 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/miree-frischk-sezubereitung.jpg
EDEKA Bio WWF Speisequark,Keine Marke,€ 1.19,Kein vorheriger Preis,"1 kg = 4,76 €","40 % Fett, 250 g Becher, (1 kg = 4,76 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/edeka-bio-wwf-speisequark.jpg
"Weideglück Gouda, Tilsiter, Edamer oder Butterkäse",Keine Marke,€ 0.88,Kein vorheriger Preis,,"deutscher Schnittkäse, 30-48 % Fett i. Tr., mild bis pikant, 100 g",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/weidegl-ck-gouda-tilsiter-edamer-oder-butterk-se.jpg
Fol Epi,Keine Marke,€ 1.79,Kein vorheriger Preis,,"französischer Schnittkäse, 50 % Fett i. Tr., nussig-mild und zart, 100 g",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/fol-epi.jpg
Géramont Der Cremige oder Frische,Keine Marke,€ 1.79,Kein vorheriger Preis,,"französischer Weichkäse, verschiedene Fettstufen Je nach Bevorratung des Marktes., 100 g",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/g-ramont-der-cremige-oder-frische.jpg
Switzerland Appenzeller,Keine Marke,€ 1.99,Kein vorheriger Preis,,"schweizer Hartkäse mit Rohmilch, 48 % Fett i. Tr., mild würzig, auch als SB-Stück erhältlich, 100 g",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/switzerland-appenzeller.jpg
Castello Käsescheiben,Keine Marke,€ 1.79,Kein vorheriger Preis,"1 kg = 12,79/11,93 €","verschiedene Sorten und Fettstufen, 140/150 g Packung, (1 kg = 12,79/11,93 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/castello-k-sescheiben.jpg
Danone Activia Joghurt,Keine Marke,€ 1.59,Kein vorheriger Preis,"1 kg = 3,46 €","verschiedene Sorten und Fettstufen, 4er, 460 g Packung, (1 kg = 3,46 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/danone-activia-joghurt.jpg
Yakult,Keine Marke,€ 2.99,Kein vorheriger Preis,"1 l = 7,67 €","verschiedene Sorten, 6er, 390 ml Packung, (1 l = 7,67 €)",Nein,Gültig vom 17.11.2025 bis zum 22.11.2025,2025-11-17,2025-11-22,images_edeka/yakult.jpg
