Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Eis-Zimtsterne,GOURMET FINEST CUISINE,"€ 1,69","€ 2,29",Kein Mengenpreis,-26 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_034.png
Birnen oder Pfirsiche,GOURMET FINEST CUISINE,"€ 1,59","€ 2,29","Verschiedene Sorten, halbe Früchte,
je 580-ml-Glas, Abtropfgewicht 330 g, kg-Preis 4.82 / Abtropfgewicht",-30 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_035.png
Herzhafte Edelsalami,GUT DREI EICHEN,"€ 1,29","€ 1,69","Je 150-g-Packung, kg-Preis 8.60",-23 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_041.png
Geflügel-Fleischwurst,GÜLDENHOF,"€ 2,19","€ 2,69","Je 2 x 250 g = 500-g-Packung, kg-Preis 4.38",-18 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_042.png
Kaffeekapseln,BARISSIMO,"€ 2,99","€ 4,29","Lungo Classico oder Lungo Intenso, je 20 Kapseln, je 110-g-Packung, kg-Preis 27.18",-30 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_043.png
Kaffeekapseln,BARISSIMO,"€ 2,99","€ 4,29","Espresso Intenso, je 20 Kapseln,
je 104-g-Packung, kg-Preis 28.75",-30 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_044.png
Walnusskerne,FARMER NATURALS,"€ 2,49","€ 3,59","Naturbelassen, je 200-g-Packung,
kg-Preis 12.45",-30 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_045.png
Bio-Honig,BIO,"€ 2,99","€ 3,85","Cremig oder flüssig, je 500-g-Glas,
kg-Preis 5.98",-22 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_046.png
High-Protein-Mousse,MILSANI,"€ 0,89","€ 1,29","Vanille oder Schokolade, je 200-g-Becher,
kg-Preis 4.45",-31 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_047.png
Blätterteig-Minis,GOURMET FINEST CUISINE,"€ 1,79","€ 2,99","Neu, verschiedene Sorten, je 300-g-Packung,
kg-Preis 5.97",-40 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_048.png
Frische Pasta,GOURMET FINEST CUISINE,"€ 1,49","€ 2,29","Frischer Eiernudelteig, verschiedene Sorten,
je 250-g-Packung, kg-Preis 5.96",-34 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_049.png
Spanische entsteinte Oliven,KING’S CROWN,"€ 0,99","€ 1,29","Geschwärzt, je 320-g-Glas, Abtropfgewicht
170 g, kg-Preis 5.82 / Abtropfgewicht",-23 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_050.png
Spanische entsteinte Oliven,KING’S CROWN,"€ 0,99","€ 1,29","Grün, je 320-g-Glas, Abtropfgewicht 160 g,
kg-Preis 6.19 / Abtropfgewicht",-23 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_051.png
Mayonnaise,DELIKATO,"€ 1,19","€ 1,69",Kein Mengenpreis,-29 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_052.png
Riffel-Chips,SUN SNACKS,"€ 1,11","€ 1,49","Salz oder Chili-Paprika, je 200-g-Packung,
kg-Preis 5.55",-25 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_053.png
Naturtrüber Apfeldirektsaft,RIO D’ORO,"€ 1,15","€ 1,39",Kein Mengenpreis,-17 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_054.png
Glühwein,Keine Marke,"€ 0,99","€ 1,45",Kein Mengenpreis,-31 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_055.png
Herzhafte Edelsalami,GUT DREI EICHEN,"€ 1,29","€ 1,69","Je 150-g-Packung, kg-Preis 8.60",-23 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_061.png
Geflügel-Fleischwurst,GÜLDENHOF,"€ 2,19","€ 2,69","Je 2 x 250 g = 500-g-Packung, kg-Preis 4.38",-18 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_062.png
