Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Metzgerfrisch Puten-Hacksteaks,2 19,"€ 2,19",Kein vorheriger Preis,1 kg = 6.84,,Nein,,,,images_lidl/lidl_offer_44.jpg
Frisches Schlachtpaket,5 49,"€ 5,49",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_45.jpg
Metzgerfrisch Frische Puten-Brustschnitzel,3 99 5 29,"€ 3,99",Kein vorheriger Preis,"5,29 €",,Nein,,,,images_lidl/lidl_offer_46.jpg
Frische Hähnchen-Brustfilets,Metzgerfrisch,"€ 4,99",Kein vorheriger Preis,"6,79 €",,Nein,,,,images_lidl/lidl_offer_47.jpg
Norwegische Lachseite,14 99,"€ 14,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_48.jpg
Metzgerfrisch Frisches Schweinegulasch,9 49,"€ 9,49",Kein vorheriger Preis,1 kg = 5.93,,Nein,,,,images_lidl/lidl_offer_49.jpg
Metzgerfrisch Hähnchen-Oberkeulenrouladen,3 19 3 99,"€ 3,19",Kein vorheriger Preis,"3,99 €",,Nein,,,,images_lidl/lidl_offer_50.jpg
Metzgerfrisch Cevapcici,6 99,"€ 6,99",Kein vorheriger Preis,1 kg = 8.74,,Nein,,,,images_lidl/lidl_offer_51.jpg
Metzgerfrisch Frische Hähnchenschenkel,8 49,"€ 8,49",Kein vorheriger Preis,1 kg = 3.40,,Nein,,,,images_lidl/lidl_offer_52.jpg
Metzgerfrisch Frisches Hackfleisch gemischt,7 49,"€ 7,49",Kein vorheriger Preis,1 kg = 6.24,,Nein,,,,images_lidl/lidl_offer_53.jpg
Metzgerfrisch Chicken-Crispies,8 49,"€ 8,49",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_54.jpg
Premium Australisches Rinder-Chuck-Eye-Steak,Metzgerfrisch,"€ 2,85",Kein vorheriger Preis,18.99 €/kg,,Nein,,,,images_lidl/lidl_offer_55.jpg
Metzgerfrisch Hähnchen-Knusperchen,6 49,"€ 6,49",Kein vorheriger Preis,1 kg = 8.65,,Nein,,,,images_lidl/lidl_offer_56.jpg
Lammlachse,Deluxe,"€ 7,00",Kein vorheriger Preis,27.99 €/kg,,Nein,,,,images_lidl/lidl_offer_57.jpg
Metzgerfrisch Rinder-Rouladen,16 49,"€ 16,49",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_58.jpg
Sekt Trocken,Rotkäppchen,"€ 2,39",Kein vorheriger Preis,"UVP
4,99 €",,Nein,,,,images_lidl/lidl_offer_59.jpg
Sour Cream Onion,Pringles,"€ 1,29",Kein vorheriger Preis,1 kg = 8.42,,Nein,,,,images_lidl/lidl_offer_60.jpg
Coca-Cola Fanta Sprite Mezzo Mix,0 79 UVP 1 59,"€ 0,79",Kein vorheriger Preis,"UVP
1,59 €",,Nein,,,,images_lidl/lidl_offer_61.jpg
PhiladelphiaPhiladelphiaPhiladelphia,0 89 UVP 2 29,"€ 0,89",Kein vorheriger Preis,"UVP
2,29 €",,Nein,,,,images_lidl/lidl_offer_62.jpg
Minis,Nestl,"€ 2,99",Kein vorheriger Preis,"4,79 €",,Nein,,,,images_lidl/lidl_offer_63.jpg
Thunfisch Filets,Nixe,"€ 0,99",Kein vorheriger Preis,"1,29 €",,Nein,,,,images_lidl/lidl_offer_64.jpg
Snack,Pr sident,"€ 2,49",Kein vorheriger Preis,1 kg = 13.83/12.45,,Nein,,,,images_lidl/lidl_offer_65.jpg
Reines Rapsöl,Vita D or,"€ 1,29",Kein vorheriger Preis,"1,49 €",,Nein,,,,images_lidl/lidl_offer_66.jpg
Konfitüre Gelee,Bonne Maman,"€ 2,49",Kein vorheriger Preis,"3,49 €",,Nein,,,,images_lidl/lidl_offer_67.jpg
Haselnuss-Schnitte,Hanuta,"€ 2,49",Kein vorheriger Preis,"2,99 €",,Nein,,,,images_lidl/lidl_offer_68.jpg
Choc Berries Balls,Boujee,"€ 2,99",Kein vorheriger Preis,1 kg = 21.36,,Nein,,,,images_lidl/lidl_offer_69.jpg
Viennetta Eis,Langnese,"€ 1,66",Kein vorheriger Preis,"UVP
2,99 €",,Nein,,,,images_lidl/lidl_offer_70.jpg
Raumduft,Lattafa,"€ 3,99",Kein vorheriger Preis,"UVP
4,99 €",,Nein,,,,images_lidl/lidl_offer_71.jpg
Bella Crema,Melitta,"€ 13,99",Kein vorheriger Preis,"19,99 €",,Nein,,,,images_lidl/lidl_offer_72.jpg
Pizza,Gustavo Gusto,"€ 2,99",Kein vorheriger Preis,"3,79 €",,Nein,,,,images_lidl/lidl_offer_73.jpg
Joghurt,Der Große Bauer,"€ 0,49",Kein vorheriger Preis,"0,99 €",,Nein,,,,images_lidl/lidl_offer_74.jpg
Waschmittel,Ariel,"€ 12,49",Kein vorheriger Preis,"UVP
24,99 €",,Nein,,,,images_lidl/lidl_offer_75.jpg
Golden Longs,McCain,"€ 2,59",Kein vorheriger Preis,"UVP
4,89 €",,Nein,,,,images_lidl/lidl_offer_76.jpg
Naturelle,Volvic,"€ 0,49",Kein vorheriger Preis,"UVP
1,19 €",,Nein,,,,images_lidl/lidl_offer_77.jpg
Schnittkäse Classic,Fol Epi,"€ 2,79",Kein vorheriger Preis,1 kg = 11.87,,Nein,,,,images_lidl/lidl_offer_78.jpg
Toilettenpapier,The Papermakers,"€ 6,49",Kein vorheriger Preis,"8,49 €",,Nein,,,,images_lidl/lidl_offer_79.jpg
Celebrations,8 49,"€ 8,49",Kein vorheriger Preis,1 kg = 14.15,,Nein,,,,images_lidl/lidl_offer_80.jpg
Apfelringe XXL,Trolli,"€ 1,79",Kein vorheriger Preis,1 kg = 5.11,,Nein,,,,images_lidl/lidl_offer_81.jpg
Tortilla Wraps XXL,Grafschafter,"€ 1,99",Kein vorheriger Preis,1 kg = 2.69,,Nein,,,,images_lidl/lidl_offer_82.jpg
Geschirrspülmittel XXL Pure Frische,Pril,"€ 2,89",Kein vorheriger Preis,1 l = 2.41,,Nein,,,,images_lidl/lidl_offer_83.jpg
Knusper-Schnitte XXL,Sondey,"€ 1,99",Kein vorheriger Preis,1 kg = 6.63,,Nein,,,,images_lidl/lidl_offer_84.jpg
Schokolade XXL,Kinder,"€ 5,29",Kein vorheriger Preis,1 kg = 11.76,,Nein,,,,images_lidl/lidl_offer_85.jpg
Cr pes XXL,Kuchenzauber,"€ 3,99",Kein vorheriger Preis,1 kg = 6.93,,Nein,,,,images_lidl/lidl_offer_86.jpg
Aloe Vera Getränk XXL,Solevita,"€ 2,49",Kein vorheriger Preis,1 l = 1.66,,Nein,,,,images_lidl/lidl_offer_87.jpg
Jaffa Cake Orange XXL,Sondey,"€ 2,59",Kein vorheriger Preis,1 kg = 5.76,,Nein,,,,images_lidl/lidl_offer_88.jpg
For Men Alaska,Axe,"€ 4,99",Kein vorheriger Preis,"7,19 €",,Nein,,,,images_lidl/lidl_offer_89.jpg
Sauce Tomate Paprika,Thomy,"€ 0,99",Kein vorheriger Preis,"1,69 €",,Nein,,,,images_lidl/lidl_offer_90.jpg
Eier-Spätzle,Settele,"€ 2,99",Kein vorheriger Preis,"3,79 €",,Nein,,,,images_lidl/lidl_offer_91.jpg
Eis,Ben Jerry s,"€ 3,99",Kein vorheriger Preis,"6,99 €",,Nein,,,,images_lidl/lidl_offer_92.jpg
Fleisch-Salat,Popp,"€ 1,99",Kein vorheriger Preis,1 kg = 7.96,,Nein,,,,images_lidl/lidl_offer_93.jpg
Schafkäse in Salzlake,Gazi,"€ 4,99",Kein vorheriger Preis,"UVP
7,99 €",,Nein,,,,images_lidl/lidl_offer_94.jpg
Milchreis,Müller,"€ 0,44",Kein vorheriger Preis,"0,99 €",,Nein,,,,images_lidl/lidl_offer_95.jpg
Gemüse-Ideen,Iglo,"€ 3,49",Kein vorheriger Preis,"UVP
5,19 €",,Nein,,,,images_lidl/lidl_offer_96.jpg
Antipasti Mix,4 49,"€ 4,49",Kein vorheriger Preis,1 kg = 11.51/10.95,,Nein,,,,images_lidl/lidl_offer_97.jpg
Gold Knackige Mousse,Nestl,"€ 1,99",Kein vorheriger Preis,"2,79 €",,Nein,,,,images_lidl/lidl_offer_98.jpg
Haselnusscreme,Milka,"€ 3,99",Kein vorheriger Preis,"UVP
5,29 €",,Nein,,,,images_lidl/lidl_offer_99.jpg
Cremfine,Rama,"€ 0,99",Kein vorheriger Preis,"1,49 €",,Nein,,,,images_lidl/lidl_offer_100.jpg
Tassimo Krönung,Jacobs,"€ 4,49",Kein vorheriger Preis,"6,99 €",,Nein,,,,images_lidl/lidl_offer_101.jpg
Selection Walnusskerne,Alesto,"€ 2,49",Kein vorheriger Preis,1 kg = 12.45,,Nein,,,,images_lidl/lidl_offer_102.jpg
Super Shots Energie,hohes C,"€ 1,99",Kein vorheriger Preis,"UVP
2,69 €",,Nein,,,,images_lidl/lidl_offer_103.jpg
