Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Kartoffelchips,Lay's,"€ 0,99",Kein vorheriger Preis,"€ 6,60 / kg -",versch. Sorten je 150-g-Packg.,Nein,04.10. - 04.10.,2025-10-04,2025-10-04
Tafeltrauben,SanLucar,"€ 1,99",Kein vorheriger Preis,"€ 3,32 / kg -","Ital. Tafeltrauben, hell oder rot Sorte laut Auszeichnung, Kl. I je 600-g-Packg.",Nein,04.10. - 04.10.,2025-10-04,2025-10-04
Milchreis Original,Müller,"€ 0,39",Kein vorheriger Preis,"€ 1,95 / kg -",Kokosmilch-Reis oder Grießpudding versch. Sorten je 160 - 200-g-Becher,Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Chicken Nuggets Classic,Iglo,"€ 2,89",Kein vorheriger Preis,"€ 11,56 / kg -",Safari-Mix oder Backteig je 230 - 250-g-Packg.,Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Kinder Country,Ferrero,"€ 1,99",Kein vorheriger Preis,"€ 9,43 / kg -","Schokoriegel mit Cerealien und Milchcreme-Füllung je 9 St. = 211,5-g-Packg.",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Wäscheparfüm,Lenor,"€ 4,79",Kein vorheriger Preis,"€ 17,42 / kg -",versch. Sorten je 275-g-Fl.,Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Bio-Möhren,K-Bio,"€ 1,11",Kein vorheriger Preis,"€ 1,11 / kg -",dtsch. Kl. I je 1-kg-Beutel,Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Würze,Maggi,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / kg -","flüssiges Würzmittel, vielseitig verwendbar je 1-kg-Fl.",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Gefüllte Croissants,K-Classic,"€ 1,19",Kein vorheriger Preis,"€ 4,96 / kg -",versch. Sorten je 5 St. = 240-g-Packg.,Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Würziges Thai Curry,K-Classic,"€ 1,99",Kein vorheriger Preis,"€ 4,98 / kg -",versch. Sorten Fertiggerichte je 400-g-Schale,Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Lindor Schokolade,Lindt,"€ 2,69",Kein vorheriger Preis,"€ 26,90 / kg -","zartschmelzend, versch. Sorten je 100 - 150-g-Tafel",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Bismarckhering,Homann,"€ 2,89",Kein vorheriger Preis,"€ 10,70 / kg -","Bismarckhering, Gabelrollmops oder Bratheringsfilethappen je 460 - 500-g-Glas Abtropfgewicht 230 g -...",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Farmers Origins Brazil Lungo,Nescafé,"€ 2,39",Kein vorheriger Preis,"€ 54,32 / kg -","versch. Sorten, ideal für Nespresso-Maschinen je 10 St. = 44-g-Packg.",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Müritzer,Milram,"€ 0,99",Kein vorheriger Preis,"€ 9,90 / kg -","oder Leuchtfeuer dtsch. Schnittkäse, 50 - 55 % Fett i. Tr. je 100 g",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Cevapcici XXL,K-Purland,"€ 3,79",Kein vorheriger Preis,"€ 6,32 / kg -",vom Schwein je 12 St. = 600-g-Großpackg.,Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Trinkgenuss,Granini,"€ 1,39",Kein vorheriger Preis,"€ 1,39 / l -","Fruchtsaft oder -nektar, versch. Sorten (+ 0.25 Pfand) je 1-l-PET-Fl.",Nein,04.10. - 04.10.,2025-10-04,2025-10-04
Herren Retroshorts 2er Pack,Kappa,"€ 4,99",Kein vorheriger Preis,"€ 2,50 / Stk -",Details im Prospekt,Nein,04.10. - 04.10.,2025-10-04,2025-10-04
XXL Schweinerücken,K-Purland,"€ 5,39",Kein vorheriger Preis,"€ 5,39 / kg -","am Stück, ideal als Braten oder für individuelle Füllungen je kg",Nein,04.10. - 04.10.,2025-10-04,2025-10-04
Tafelapfel,Keine Marke,"€ 1,49",Kein vorheriger Preis,"€ 1,49 / kg -","Dtsch./ital. Tafeläpfel, rot Sorte laut Auszeichnung, Kl. I je 1-kg-Schale",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Hochwertiges Frittieröl,K-Classic,"€ 2,99",Kein vorheriger Preis,"€ 1,50 / l -","hochwertig, hocherhitzbar je 2-l-Fl.",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Die Backfrische,Original Wagner,"€ 1,88",Kein vorheriger Preis,"€ 4,17 / kg -","HINWEIS: MIT KAUFLAND CARD 1.69, oder Big City Pizza versch. Sorten je 320 - 450-g-Packg.",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Natur,Patros,"€ 1,69",Kein vorheriger Preis,"€ 9,39 / kg -","Salzlakenkäse oder Pflanzlich Hirtenkäse, Grill- & Ofenkäse oder Feta, versch. Sorten, 30 - 52 % Fet...",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Mini-Romanasalat,Keine Marke,"€ 0,79",Kein vorheriger Preis,"€ 0,40 / Stk -",Dtsch. Kl. I je 2-St.-Packg.,Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Eintopf,K-Classic,"€ 1,49",Kein vorheriger Preis,"€ 1,87 / kg -","Hühnernudel-, Linsen-, Nudeleintopf ital. Art oder Bohnentopf mit weißen oder grünen Bohnen oder mex...",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Haltbarer Kakao,Weihenstephan,"€ 1,39",Kein vorheriger Preis,"€ 1,39 / l -","oder Haltbarer aus Vollmilch, 3,3 % oder 3,5 % Fett je 1-l-Packg.",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Kräutertee,Teekanne,"€ 1,49",Kein vorheriger Preis,"€ 21,29 / kg -","HINWEIS: MIT KAUFLAND CARD 1.29 oder Früchtetee- Klassiker im 1,5 - 3,5-g-Aufgussbeutel, versch. Sor...",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Pfirsiche,K-Classic,"€ 1,39",Kein vorheriger Preis,"€ 2,90 / kg -","halbe Früchte, leicht gezuckert je 820-g-Dose Abtropfgewicht 480 g",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
Salami-Sticks Classic,K-Classic,"€ 1,59",Kein vorheriger Preis,"€ 15,90 / kg -","luftgetrocknete Mini-Salamis mit Edelschimmel, versch. Sorten je 10 St. = 100-g-Packg.",Nein,06.10. - 08.10.,2025-10-06,2025-10-08
