Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Youcook Fertiggericht,"€ 3,79",Kein Mengenpreis,verschiedene Sorten,2026-01-19,2026-01-24,images_edeka/youcook-fertiggericht.jpg
Giovanni Rana Tradizionali oder Amore di Pesto Pasta,"€ 2,99","1 kg = 11,96 €","verschiedene Sorten, 250 g Packung, (1 kg = 11,96 €)",2026-01-19,2026-01-24,images_edeka/giovanni-rana-tradizionali-oder-amore-di-pesto-pasta.jpg
EDEKA Herzstücke Proteinbrötchen,"€ 1,59","1 kg = 5,30 €","4er, vegan, 300 g Packung, (1 kg = 5,30 €)",2026-01-19,2026-01-24,images_edeka/edeka-herzst-cke-proteinbr-tchen.jpg
Noa Hummus oder Brotaufstrich,"€ 1,99","1 kg = 11,37 €","verschiedene Sorten, vegan, 175 g Becher, (1 kg = 11,37 €)",2026-01-19,2026-01-24,images_edeka/noa-hummus-oder-brotaufstrich.jpg
Pema 6 Sorten Vollkornbrot,"€ 1,99","1 kg = 3,98 €","10 Einzelverpackungen, 500 g Packung, (1 kg = 3,98 €)",2026-01-19,2026-01-24,images_edeka/pema-6-sorten-vollkornbrot.jpg
Pikante Florini-Paprika,"€ 1,89",Kein Mengenpreis,"gefüllt mit Frischkäsezubereitung, 100 g",2026-01-19,2026-01-24,images_edeka/pikante-florini-paprika.jpg
Billie Green Vegane Salami Hähnchenaufschnitt Mortadella oder Rohschinken,"€ 1,29",Kein Mengenpreis,verschiedene Sorten Je nach Verfügbarkeit des Marktes.,2026-01-19,2026-01-24,images_edeka/billie-green-vegane-salami-h-hnchenaufschnitt-mortadella-oder-rohschinken.jpg
Rügenwalder Mühle Vegane Pommersche,"€ 1,99","1 kg = 15,92 €","verschiedene Sorten oder Abenteuer Streich, 125 g Becher, (1 kg = 15,92 €)",2026-01-19,2026-01-24,images_edeka/r-genwalder-m-hle-vegane-pommersche.jpg
Garden Gourmet Veganes oder vegetarisches Fleischersatzprodukt,"€ 2,49",Kein Mengenpreis,verschiedene Sorten,2026-01-19,2026-01-24,images_edeka/garden-gourmet-veganes-oder-vegetarisches-fleischersatzprodukt.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-19,2026-01-24,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 78,"€ ,00",Kein Mengenpreis,"Normalpreise: Leicht & Cross: € 1,39, 1kg = € 12,09 - € 9,27; Darboven: € 10,49, 1kg = € 20,98",2026-01-19,2026-01-24,
Original Wagner Steinofen Pizza oder Flammkuchen,"€ 1,79",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-19,2026-01-24,images_edeka/original-wagner-steinofen-pizza-oder-flammkuchen.jpg
iglo Schlemmer Filet,"€ 2,99","1 kg = 7,87 €","verschiedene Sorten, tiefgefroren, 380 g Packung, (1 kg = 7,87 €)",2026-01-19,2026-01-24,images_edeka/iglo-schlemmer-filet.jpg
iglo Filegro oder Goldknusper Filet,"€ 2,99",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-19,2026-01-24,images_edeka/iglo-filegro-oder-goldknusper-filet.jpg
iglo Spinat,"€ 1,99",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-19,2026-01-24,images_edeka/iglo-spinat.jpg
iglo Rahm-Gemüse oder Gemüse-Ideen,"€ 3,29",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-19,2026-01-24,images_edeka/iglo-rahm-gem-se-oder-gem-se-ideen.jpg
Ben Jerry s Ice Cream,"€ 4,99",Kein Mengenpreis,verschiedene Sorten,2026-01-19,2026-01-24,images_edeka/ben-jerry-s-ice-cream.jpg
Frosta Fertiggericht,"€ 1,99","1 kg = 5,31 €","verschiedene Sorten, tiefgefroren, 375 g Packung, (1 kg = 5,31 €)",2026-01-19,2026-01-24,images_edeka/frosta-fertiggericht.jpg
Dr Oetker Intermezzo,"€ 1,69",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-19,2026-01-24,images_edeka/dr-oetker-intermezzo.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-19,2026-01-24,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 88,"€ ,00",Kein Mengenpreis,"Normalpreise: nippon: € 2,49, 1kg = € 9,96; Miracel Whip: € 2,65, 1l = € 5,30",2026-01-19,2026-01-24,
Göteborger Heringstopf,"€ 1,19",Kein Mengenpreis,"Heringsfilethappen, weiße und rote Zwiebeln sowie Gewürzgurken, in mild-pikantem Dressing, verfeinert mit grünen Pfefferkörnern, 100 g",2026-01-19,2026-01-24,images_edeka/g-teborger-heringstopf.jpg
Frisches Lachsfilet,"€ 2,19",Kein Mengenpreis,"natur, mit Haut, ideal zum Braten, 100 g",2026-01-19,2026-01-24,images_edeka/frisches-lachsfilet.jpg
Riesengarnelen,"€ 3,29",Kein Mengenpreis,"getaut, mit Schale, ohne Kopf, natur, 100 g",2026-01-19,2026-01-24,images_edeka/riesengarnelen.jpg
Lachsstremel,"€ 3,99",Kein Mengenpreis,"natur, 100 g",2026-01-19,2026-01-24,images_edeka/lachsstremel.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-19,2026-01-24,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 94,"€ ,00",Kein Mengenpreis,"Normalpreise: Volvic: € 0,99 (zzgl. € 0,25 Pfand); Geldermann: € 9,99, 1l = € 13,32",2026-01-19,2026-01-24,
Bauernschätze Schinkenfleischwurst im Ring,"€ 1,49",Kein Mengenpreis,"grob mit viel magerer Einlage, 100 g",2026-01-19,2026-01-24,images_edeka/bauernsch-tze-schinkenfleischwurst-im-ring.jpg
Rügenwalder Mühle Pommersche Gutsleberwurst,"€ 1,49",Kein Mengenpreis,"verschiedene Sorten, 100 g",2026-01-19,2026-01-24,images_edeka/r-genwalder-m-hle-pommersche-gutsleberwurst.jpg
Salami St Georg,"€ 1,79",Kein Mengenpreis,"nach überlieferter Rezeptur hergestellt, 100 g",2026-01-19,2026-01-24,images_edeka/salami-st-georg.jpg
Edelsalami,"€ 1,99",Kein Mengenpreis,"voll ausgereift, 100 g",2026-01-19,2026-01-24,images_edeka/edelsalami.jpg
Allgäuer Bergkräuterschinken,"€ 1,89",Kein Mengenpreis,"saftige Scheiben, mild im Geschmack, 100 g",2026-01-19,2026-01-24,images_edeka/allg-uer-bergkr-uterschinken.jpg
Holsteiner Putenbrust,"€ 2,59",Kein Mengenpreis,"geräuchert und gegart, herzhaft, saftige Scheiben, 100 g",2026-01-19,2026-01-24,images_edeka/holsteiner-putenbrust.jpg
Räucherbauchfleisch,"€ 1,39",Kein Mengenpreis,"ohne Rippen, 100 g",2026-01-19,2026-01-24,images_edeka/r-ucherbauchfleisch.jpg
Puten-Schnitte Art Cordon bleu oder Wiener Art,"€ 1,39",Kein Mengenpreis,100 g,2026-01-19,2026-01-24,images_edeka/puten-schnitte-art-cordon-bleu-oder-wiener-art.jpg
Leberpastete,"€ 1,19",Kein Mengenpreis,"schnittfest, delikat im Geschmack, 100 g",2026-01-19,2026-01-24,images_edeka/leberpastete.jpg
Schinkensülze,"€ 1,29",Kein Mengenpreis,"im Ring, 100 g",2026-01-19,2026-01-24,images_edeka/schinkens-lze.jpg
Rohpolnische,"€ 1,19",Kein Mengenpreis,"zart geräuchert oder XXL Knacker nach Art einer rohen Polnischen, 100 g",2026-01-19,2026-01-24,images_edeka/rohpolnische.jpg
Rot- oder Weißgelegter,"€ 1,29",Kein Mengenpreis,"nach überlieferter Rezeptur, 100 g",2026-01-19,2026-01-24,images_edeka/rot-oder-wei-gelegter.jpg
Tiroler Jagdwurst,"€ 1,19",Kein Mengenpreis,"herzhaft im Geschmack, 100 g",2026-01-19,2026-01-24,images_edeka/tiroler-jagdwurst.jpg
Stadtwurst,"€ 0,99",Kein Mengenpreis,"rot oder weiß, pikant gewürzt im Ring, 100 g",2026-01-19,2026-01-24,images_edeka/stadtwurst.jpg
Hähnchenbrust Florenz,"€ 1,89",Kein Mengenpreis,100 g,2026-01-19,2026-01-24,images_edeka/h-hnchenbrust-florenz.jpg
Broccoli-Schinken- oder Schinken-Eierwurst,"€ 1,29",Kein Mengenpreis,"pikant gewürzt, 100 g",2026-01-19,2026-01-24,images_edeka/broccoli-schinken-oder-schinken-eierwurst.jpg
Wiesenhof Geflügel Aufschnitt,"€ 1,39",Kein Mengenpreis,verschiedene Sorten oder Hähnchen Grillbraten,2026-01-19,2026-01-24,images_edeka/wiesenhof-gefl-gel-aufschnitt.jpg
Schweineschnitzel oder Schlegelbraten,"€ 0,69",Kein Mengenpreis,"aus der Keule, 100 g",2026-01-19,2026-01-24,images_edeka/schweineschnitzel-oder-schlegelbraten.jpg
Hähnchenbrustfilet,"€ 0,99",Kein Mengenpreis,"natur, Hkl. A auch in gewürzt erhältlich, 100 g = 1,09 €, 100 g",2026-01-19,2026-01-24,images_edeka/h-hnchenbrustfilet.jpg
Hausmacher Bratwurst,"€ 0,99",Kein Mengenpreis,"frisch, grob oder fein zerkleinert, nach dem Geschmack der Region hergestellt, 100 g",2026-01-19,2026-01-24,images_edeka/hausmacher-bratwurst.jpg
Schweineschnitzel,"€ 0,79",Kein Mengenpreis,"aus der Oberschale, natur, 100 g",2026-01-19,2026-01-24,images_edeka/schweineschnitzel.jpg
Deutscher Sauerbraten,"€ 1,69",Kein Mengenpreis,"aus dem Rinderbug, vom Jungbullen, 100 g",2026-01-19,2026-01-24,images_edeka/deutscher-sauerbraten.jpg
Fleischspieße,"€ 1,11",Kein Mengenpreis,"natur, laufend frisch gesteckt, 100 g",2026-01-19,2026-01-24,images_edeka/fleischspie-e.jpg
Bauernschätze Bratwurstgehäck oder Thüringer Mett,"€ 0,89",Kein Mengenpreis,"deftig gewürzt, 100 g",2026-01-19,2026-01-24,images_edeka/bauernsch-tze-bratwurstgeh-ck-oder-th-ringer-mett.jpg
Bauernschätze Putenoberkeule,"€ 0,99",Kein Mengenpreis,"Hkl. A, 100 g",2026-01-19,2026-01-24,images_edeka/bauernsch-tze-putenoberkeule.jpg
Hackfleisch gemischt,"€ 8,88","1 kg = 11,10 €","800 g XXL SB-Packung, (1 kg = 11,10 €)",2026-01-19,2026-01-24,images_edeka/hackfleisch-gemischt.jpg
Rinderminutensteak,"€ 6,49","1 kg = 21,64 €","verschiedene Gewichte, z. B. 300 g SB-Packung, (1 kg = 21,64 €)",2026-01-19,2026-01-24,images_edeka/rinderminutensteak.jpg
Frisches Puten Geschnetzeltes,"€ 9,99","1 kg = 12,49 €","aus dem Putenbrustfilet geschnitten, 800 g XXL SB-Packung, (1 kg = 12,49 €)",2026-01-19,2026-01-24,images_edeka/frisches-puten-geschnetzeltes.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-19,2026-01-24,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 124,"€ ,00",Kein Mengenpreis,"Normalpreis: fit: € 7,99, 1Tab = € 0,09",2026-01-19,2026-01-24,
Rotkäppchen Sekt Fruchtsecco oder Alkoholfrei,"€ 3,29","1 l = 4,39 €","verschiedene Sorten, 0,75 Liter Flasche, (1 l = 4,39 €)",2026-01-19,2026-01-24,images_edeka/rotk-ppchen-sekt-fruchtsecco-oder-alkoholfrei.jpg
Franken Brunnen Rhön Sprudel oder Kondrauer Mineralwasser,"€ 4,49","1 l = 0,53 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 12 x 0,7 Liter Kasten + 3,30 Pfand, (1 l = 0,53 €)",2026-01-19,2026-01-24,images_edeka/franken-brunnen-rh-n-sprudel-oder-kondrauer-mineralwasser.jpg
Jever Bier,"€ 11,99","1 l = 1,20 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 24 x 0,33/20 x 0,5 Liter Kasten + 3,42/3,10 Pfand, (1 l = 1,20 €)",2026-01-19,2026-01-24,images_edeka/jever-bier.jpg
flumi Cola-Mix oder Limonade,"€ 6,99","1 l = 0,70 €","verschiedene Sorten Ausgenommen Apfel. *koffeinhaltige Limonade, 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 0,70 €)",2026-01-19,2026-01-24,images_edeka/flumi-cola-mix-oder-limonade.jpg
Rendezvous Orangenlikör,"€ 9,49","1 l = 13,56 €","40 % Vol., 0,7 Liter Flasche, (1 l = 13,56 €)",2026-01-19,2026-01-24,images_edeka/rendezvous-orangenlik-r.jpg
Wein Meister Thüngersheimer Ravensburg Silvaner Wein Bio,"€ 3,33","1 l = 4,44 €","aus Franken, trocken Nur solange der Vorrat reicht., 0,75 Liter Flasche, (1 l = 4,44 €)",2026-01-19,2026-01-24,images_edeka/wein-meister-th-ngersheimer-ravensburg-silvaner-wein-bio.jpg
