Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
EDEKA Genussmomente San Lucar oder EDEKA Bio Mandarinen,"€ 2,49","1 kg = 3,32 €","Sorte siehe Etikett, aus Spanien/Italien, Kl. I, 750 g Netz, (1 kg = 3,32 €)",2026-01-19,2026-01-24,images_edeka/edeka-genussmomente-san-lucar-oder-edeka-bio-mandarinen.jpg
Gut Günstig Salatgurke,"€ 1,11",Kein Mengenpreis,"aus Spanien/den Niederlanden, Kl. I, Stück",2026-01-19,2026-01-24,images_edeka/gut-g-nstig-salatgurke.jpg
EDEKA Herzstücke Mini-Rispentomaten,"€ 1,99","1 kg = 4,98 €","aus den Niederlanden/Belgien, Kl. I, 400 g Packung, (1 kg = 4,98 €)",2026-01-19,2026-01-24,images_edeka/edeka-herzst-cke-mini-rispentomaten.jpg
EDEKA Bio WWF Bananen,"€ 1,49",Kein Mengenpreis,"Herkunft siehe Auszeichnung, 1 kg",2026-01-19,2026-01-24,images_edeka/edeka-bio-wwf-bananen.jpg
Gut Günstig Speisekartoffeln,"€ 1,49","1 kg = 0,60 €","vorwiegend festkochend, Sorte siehe Etikett, aus Deutschland Abbildung ähnlich., 2,5 kg Netz, (1 kg = 0,60 €)",2026-01-19,2026-01-24,images_edeka/gut-g-nstig-speisekartoffeln.jpg
Gut Günstig Tafeltrauben rot kernlos,"€ 1,79","1 kg = 3,58 €","Sorte und Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 3,58 €)",2026-01-19,2026-01-24,images_edeka/gut-g-nstig-tafeltrauben-rot-kernlos.jpg
EDEKA Bio Zitronen unbehandelt,"€ 1,11","1 kg = 2,22 €","Sorte siehe Etikett, aus Italien/Spanien, Kl. I, 500 g Netz, (1 kg = 2,22 €)",2026-01-19,2026-01-24,images_edeka/edeka-bio-zitronen-unbehandelt.jpg
Granatäpfel,"€ 1,11",Kein Mengenpreis,"aus der Türkei, Stück",2026-01-19,2026-01-24,images_edeka/granat-pfel.jpg
Mein Beerenglück Heidelbeeren,"€ 2,99","1 kg = 5,98 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 5,98 €)",2026-01-19,2026-01-24,images_edeka/mein-beerengl-ck-heidelbeeren.jpg
Jumbo Kiwi Gold,"€ 1,00",Kein Mengenpreis,"aus Italien, Kl. I, Stück",2026-01-19,2026-01-24,images_edeka/jumbo-kiwi-gold.jpg
Driscoll s Himbeeren,"€ 2,99","1 kg = 14,95 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 200 g Packung, (1 kg = 14,95 €)",2026-01-19,2026-01-24,images_edeka/driscoll-s-himbeeren.jpg
Ananas,"€ 1,99",Kein Mengenpreis,"aus Costa Rica/Ghana, Kl. I",2026-01-19,2026-01-24,images_edeka/ananas.jpg
Gut Günstig Orangen,"€ 2,99","1 kg = 1,50 €","Sorte siehe Etikett, aus Spanien/Griechenland, Kl. I, 2 kg Netz, (1 kg = 1,50 €)",2026-01-19,2026-01-24,images_edeka/gut-g-nstig-orangen.jpg
Kanzi Tafeläpfel rot,"€ 1,00","1 kg = 1,92 €","Sorte siehe Etikett, aus Deutschland, Kl. I, 520 g Packung, (1 kg = 1,92 €)",2026-01-19,2026-01-24,images_edeka/kanzi-tafel-pfel-rot.jpg
Gut Günstig Möhren,"€ 1,11","1 kg = 0,56 €","aus Deutschland, Kl. I, 2 kg Packung, (1 kg = 0,56 €)",2026-01-19,2026-01-24,images_edeka/gut-g-nstig-m-hren.jpg
Rosenkohl,"€ 0,99","1 kg = 1,32 €","aus den Niederlanden, Kl. I Abbildung ähnlich., 750 g Netz, (1 kg = 1,32 €)",2026-01-19,2026-01-24,images_edeka/rosenkohl.jpg
Mini Pflaumentomaten,"€ 1,00","1 kg = 5,00 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 200 g Packung, (1 kg = 5,00 €)",2026-01-19,2026-01-24,images_edeka/mini-pflaumentomaten.jpg
EDEKA Bio WWF Brokkoli,"€ 1,99","1 kg = 4,98 €","aus Italien, Kl. II, 400 g Packung, (1 kg = 4,98 €)",2026-01-19,2026-01-24,images_edeka/edeka-bio-wwf-brokkoli.jpg
Gut Günstig Champignons,"€ 1,99","1 kg = 4,98 €","Herkunft siehe Etikett, Kl. I, 400 g Packung, (1 kg = 4,98 €)",2026-01-19,2026-01-24,images_edeka/gut-g-nstig-champignons.jpg
Kopfsalat rot,"€ 1,49",Kein Mengenpreis,"aus Italien, Kl. I, Stück",2026-01-19,2026-01-24,images_edeka/kopfsalat-rot.jpg
Kohlrabi,"€ 0,79",Kein Mengenpreis,"aus Spanien, Kl. I, Stück",2026-01-19,2026-01-24,images_edeka/kohlrabi.jpg
EDEKA Bio Zucchini,"€ 1,99","1 kg = 3,98 €","aus Spanien/Italien, Kl. II, 500 g Bund, (1 kg = 3,98 €)",2026-01-19,2026-01-24,images_edeka/edeka-bio-zucchini.jpg
EDEKA Herzstücke Magic Star Tafeläpfel rot,"€ 2,99","1 kg = 1,50 €","Sorte siehe Etikett, aus Deutschland, Kl. I Nur solange der Vorrat reicht., 2 kg Karton + GRATIS Tasche, (1 kg = 1,50 €)",2026-01-19,2026-01-24,images_edeka/edeka-herzst-cke-magic-star-tafel-pfel-rot.jpg
Rosenkohl,"€ 0,99","1 kg = 1,32","aus den Niederlanden, Kl. I, 750 g Netz, (1 kg = 1,32)",2026-01-19,2026-01-24,images_edeka/rosenkohl.jpg
Mein Beerenglück Heidelbeeren,"€ 2,99","1 kg = 5,98","Herkunft siehe Etikett, Kl. I, 500 g Packung, (1 kg = 5,98)",2026-01-19,2026-01-24,images_edeka/mein-beerengl-ck-heidelbeeren.jpg
Jumbo Kiwi Gold,"€ 1,00",Kein Mengenpreis,"aus Italien, Kl. I, Stück",2026-01-19,2026-01-24,images_edeka/jumbo-kiwi-gold.jpg
EDEKA Herzstücke Mini-Rispentomaten,"€ 1,99","1 kg = 4,98","aus den Niederlanden/Belgien, Kl. I, 400 g Packung, (1 kg = 4,98)",2026-01-19,2026-01-24,images_edeka/edeka-herzst-cke-mini-rispentomaten.jpg
EDEKA Bio WWF Bananen,"€ 1,49",Kein Mengenpreis,"Herkunft siehe Auszeichnung, 1 kg",2026-01-19,2026-01-24,images_edeka/edeka-bio-wwf-bananen.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-19,2026-01-24,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 30,"€ ,00",Kein Mengenpreis,,2026-01-19,2026-01-24,
Weihenstephan Haltbare Milch,"€ 0,99","1 l = 0,99 €","verschiedene Fettstufen, 1 Liter Packung, (1 l = 0,99 €)",2026-01-19,2026-01-24,images_edeka/weihenstephan-haltbare-milch.jpg
Meggle Feine Butter,"€ 2,99","1 kg = 11,96 €","250 g Stück, (1 kg = 11,96 €)",2026-01-19,2026-01-24,images_edeka/meggle-feine-butter.jpg
Landana Gouda mild,"€ 0,88",Kein Mengenpreis,"holländischer Schnittkäse, 48 % Fett i. Tr. Nur solange der Vorrat reicht., 100 g",2026-01-19,2026-01-24,images_edeka/landana-gouda-mild.jpg
Alpenhain unser Back-Camembert -Gouda Taler oder -Mozzarella Sticks,"€ 2,22","1 kg = 11,10 €","mit Dip, 200 g Packung, (1 kg = 11,10 €)",2026-01-19,2026-01-24,images_edeka/alpenhain-unser-back-camembert-gouda-taler-oder-mozzarella-sticks.jpg
Exquisa Frischkäse oder -zubereitung,"€ 1,11",Kein Mengenpreis,verschiedene Sorten und Fettstufen,2026-01-19,2026-01-24,images_edeka/exquisa-frischk-se-oder-zubereitung.jpg
Danone Actimel Drink,"€ 2,22","1 kg = 2,78 €","verschiedene Sorten und Fettstufen, 8er, 800 g Packung, (1 kg = 2,78 €)",2026-01-19,2026-01-24,images_edeka/danone-actimel-drink.jpg
Saint Albray Chavroux,"€ 2,29",Kein Mengenpreis,verschiedene Sorten und Fettstufen oder Saint Agur Je nach Verfügbarkeit des Marktes.,2026-01-19,2026-01-24,images_edeka/saint-albray-chavroux.jpg
cheestrings,"€ 1,99","1 kg = 24,88 €","verschiedene Sorten, 40 % Fett i. Tr., 4er, 80 g Packung, (1 kg = 24,88 €)",2026-01-19,2026-01-24,images_edeka/cheestrings.jpg
Becel,"€ 1,29","1 kg = 5,73 €","verschiedene Sorten und Fettstufen, 225 g Becher, (1 kg = 5,73 €)",2026-01-19,2026-01-24,images_edeka/becel.jpg
Milram Frischer Schmand Schmand-Alternative Buttermilch Quark oder Körniger Frischkäse,"€ 1,11",Kein Mengenpreis,verschiedene Fettstufen,2026-01-19,2026-01-24,images_edeka/milram-frischer-schmand-schmand-alternative-buttermilch-quark-oder-k-rniger-frischk-se.jpg
Rama Cremefine,"€ 0,99",Kein Mengenpreis,verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes. Ausgenommen Cremefine schon geschlagen.,2026-01-19,2026-01-24,images_edeka/rama-cremefine.jpg
Minus L Laktosefreie Haltbare Bio oder Frische Milch,"€ 1,29","1 l = 1,29 €","verschiedene Fettstufen Je nach Verfügbarkeit des Marktes., 1 Liter Packung, (1 l = 1,29 €)",2026-01-19,2026-01-24,images_edeka/minus-l-laktosefreie-haltbare-bio-oder-frische-milch.jpg
Arla Skyr,"€ 0,89","1 kg = 3,56 €","viel Protein - wenig Zucker, verschiedene Sorten, 250 g Becher, (1 kg = 3,56 €)",2026-01-19,2026-01-24,images_edeka/arla-skyr.jpg
Frankenland Schlagsahne,"€ 0,99","1 kg = 4,95 €","mindestens 30 % Fett, 200 g Becher, (1 kg = 4,95 €)",2026-01-19,2026-01-24,images_edeka/frankenland-schlagsahne.jpg
Dr Oetker High Protein Mousse Coffee oder Shake,"€ 1,49",Kein Mengenpreis,verschiedene Sorten Je nach Verfügbarkeit des Marktes.,2026-01-19,2026-01-24,images_edeka/dr-oetker-high-protein-mousse-coffee-oder-shake.jpg
Dr Oetker Paula Pudding oder minis,"€ 1,49",Kein Mengenpreis,"verschiedene Sorten, 4/8er",2026-01-19,2026-01-24,images_edeka/dr-oetker-paula-pudding-oder-minis.jpg
Dolomit,"€ 2,49",Kein Mengenpreis,"italienischer Schnittkäse aus Südtirol, 45 % Fett i. Tr., unregelmäßig erbsengroße Lochung, vollmundig würzig im Geschmack, auch als SB Stück erhältlich Je nach Verfügbarkeit des Marktes., 100 g",2026-01-19,2026-01-24,images_edeka/dolomit.jpg
Emmentaler AOP - Das Original,"€ 1,99",Kein Mengenpreis,"schweizer Hartkäse mit Rohmilch, 45 % Fett i. Tr., mindestens 4 Monate gereift, nussig-würzig, auch als SB Stück erhältlich, 100 g",2026-01-19,2026-01-24,images_edeka/emmentaler-aop-das-original.jpg
Bergader Almzeit Alpenkäse oder Bianco,"€ 1,79",Kein Mengenpreis,"deutscher halbfester Schnittkäse, verschiedene Sorten und Fettstufen, 100 g",2026-01-19,2026-01-24,images_edeka/bergader-almzeit-alpenk-se-oder-bianco.jpg
Westland Old Amsterdam,"€ 2,19",Kein Mengenpreis,verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes.,2026-01-19,2026-01-24,images_edeka/westland-old-amsterdam.jpg
Bio Gouda,"€ 0,99",Kein Mengenpreis,"österreichischer Schnittkäse aus Wiesenmilch, 45 % Fett i. Tr. nur solange der Vorrat reicht., 100 g",2026-01-19,2026-01-24,images_edeka/bio-gouda.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-19,2026-01-24,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 53,"€ ,00",Kein Mengenpreis,"Normalpreise: Andechser Natur: € 1,49; 1kg = € 2,98; Coppenrath & Wiese: € 2,29; 1kg = € 5,09",2026-01-19,2026-01-24,
J J Darboven Idee Kaffee Eilles Gourmet,"€ 6,99","1 kg = 13,98 €","verschiedene Sorten oder Mövenpick Edle Komposition *Je nach Verfügbarkeit des Marktes., 500 g Packung, (1 kg = 13,98 €)",2026-01-19,2026-01-24,images_edeka/j-j-darboven-idee-kaffee-eilles-gourmet.jpg
Melitta Bella Crema,"€ 13,99","1 kg = 13,99 €","ganze Bohnen, 100 % Arabica, verschiedene Sorten, 1000 g Packung, (1 kg = 13,99 €)",2026-01-19,2026-01-24,images_edeka/melitta-bella-crema.jpg
Knorr Fix,"€ 0,49",Kein Mengenpreis,verschiedene Sorten,2026-01-19,2026-01-24,images_edeka/knorr-fix.jpg
Nescaf Dolce Gusto Kapseln,"€ 3,99",Kein Mengenpreis,"verschiedene Sorten, 16er",2026-01-19,2026-01-24,images_edeka/nescaf-dolce-gusto-kapseln.jpg
Knorr Delikatess Sauce,"€ 0,79",Kein Mengenpreis,"verschiedene Sorten, 2/3er",2026-01-19,2026-01-24,images_edeka/knorr-delikatess-sauce.jpg
Knorr Suppenliebe Suppe,"€ 0,69",Kein Mengenpreis,verschiedene Sorten,2026-01-19,2026-01-24,images_edeka/knorr-suppenliebe-suppe.jpg
Mondamin Soßenbinder oder Mehlschwitze,"€ 1,29","1 kg = 5,16 €","verschiedene Sorten, 250 g Packung, (1 kg = 5,16 €)",2026-01-19,2026-01-24,images_edeka/mondamin-so-enbinder-oder-mehlschwitze.jpg
Hengstenberg Mildessa Sauerkraut,"€ 1,49","1 kg = 4,26 €","verschiedene Sorten, 400 g Packung (Abtropfgewicht 350 g), (1 kg = 4,26 €)",2026-01-19,2026-01-24,images_edeka/hengstenberg-mildessa-sauerkraut.jpg
Greenforce Pflanzlicher Mildbert oder Würzbert,"€ 2,49","1 kg = 19,92 €","vegan, 125 g Packung, (1 kg = 19,92 €)",2026-01-19,2026-01-24,images_edeka/greenforce-pflanzlicher-mildbert-oder-w-rzbert.jpg
Kölln Blütenzarte flocken oder Echte Kernige,"€ 1,19","1 kg = 2,38 €","500 g Packung, (1 kg = 2,38 €)",2026-01-19,2026-01-24,images_edeka/k-lln-bl-tenzarte-flocken-oder-echte-kernige.jpg
Nestl Cerealien,"€ 2,79",Kein Mengenpreis,verschiedene Sorten,2026-01-19,2026-01-24,images_edeka/nestl-cerealien.jpg
KoRo Protein Bar Deluxe,"€ 1,99","1 kg = 36,18 €","verschiedene Sorten, 55 g Packung, (1 kg = 36,18 €)",2026-01-19,2026-01-24,images_edeka/koro-protein-bar-deluxe.jpg
ovomaltine Crunchy Cream,"€ 3,49","1 kg = 9,18 €","ohne Palmöl, 380 g Glas, (1 kg = 9,18 €)",2026-01-19,2026-01-24,images_edeka/ovomaltine-crunchy-cream.jpg
Bonne Maman Konfitüre,"€ 2,59",Kein Mengenpreis,verschiedene Sorten oder Quitten-Gelee,2026-01-19,2026-01-24,images_edeka/bonne-maman-konfit-re.jpg
