Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Käsescheiben,Fol Epi,"€ 1,79",,"2,69 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_031.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,ref_000031,obs_0000016730|obs_0000020739|obs_0000018576|obs_0000002450|obs_0000024344|obs_0000001181|obs_0000023333|obs_0000019756|obs_0000025914|obs_0000016191|obs_0000019395|obs_0000023240|obs_0000002121|obs_0000029130|obs_0000025297|obs_0000031455|obs_0000000993|obs_0000015335|obs_0000002549|obs_0000018937|obs_0000020112|obs_0000004755|obs_0000017299|obs_0000000405|obs_0000027921|obs_0000001946|obs_0000024991|obs_0000023334|obs_0000003901|obs_0000015299|obs_0000015686|obs_0000006608|obs_0000013018|obs_0000018012|obs_0000019293|obs_0000004328|obs_0000017896|obs_0000029544|obs_0000029803|obs_0000016116|obs_0000020348|obs_0000007423|obs_0000024711|obs_0000024914|obs_0000006616|obs_0000007228|obs_0000028309,obs_0000020739|obs_0000018576|obs_0000002450|obs_0000024344|obs_0000001181|obs_0000023333|obs_0000019756|obs_0000025914|obs_0000016191|obs_0000019395|obs_0000023240|obs_0000002121|obs_0000029130|obs_0000025297|obs_0000016730|obs_0000031455|obs_0000000993|obs_0000015335|obs_0000002549|obs_0000018937
Idee Kaffee,Idee Kaffee,"€ 6,49",,"8,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_032.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000032,obs_0000012302|obs_0000011821|obs_0000021042|obs_0000007813|obs_0000011400|obs_0000013118|obs_0000010165|obs_0000013804|obs_0000005340|obs_0000005903|obs_0000006437,
Ranunkel,Ranunkel,"€ 2,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_033.jpg,cat_grundnahrung,,ref_000033,,
Salatherzen,Salatherzen,"€ 0,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_034.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food",,ref_000034,obs_0000031987|obs_0000031732|obs_0000031169|obs_0000029645|obs_0000028568|obs_0000029793|obs_0000000504|obs_0000029974,obs_0000031987|obs_0000031732
Bio-Champignons braun,Naturland,"€ 1,99",,"1 kg = 7,96 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_035.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_pilze,tag_whole_food",BLS-K701100,ref_000035,obs_0000031349|obs_0000031771|obs_0000027030|obs_0000031575|obs_0000008171|obs_0000010857|obs_0000027716|obs_0000004909|obs_0000006579|obs_0000025118|obs_0000025410|obs_0000001277|obs_0000025874|obs_0000026577|obs_0000012571|obs_0000029263|obs_0000013503|obs_0000007467,obs_0000010857|obs_0000031349|obs_0000031771
Bio-Brokkoli,tegut,"€ 1,49",,"1 kg = 3,73 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_036.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000036,obs_0000031647|obs_0000022631|obs_0000031390|obs_0000031988|obs_0000000502|obs_0000025326|obs_0000018299|obs_0000020428|obs_0000005304,obs_0000022631|obs_0000031390|obs_0000031647
Mini Gurken,Mini Gurken,"€ 0,39",,"0,69 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_037.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",BLS-G520100,ref_000037,obs_0000031576|obs_0000005487|obs_0000005496|obs_0000026550|obs_0000004908|obs_0000010378|obs_0000016653|obs_0000024937|obs_0000014741|obs_0000015776|obs_0000011774|obs_0000026179|obs_0000024151|obs_0000016055|obs_0000005109,obs_0000031576|obs_0000025653|obs_0000005487|obs_0000005496|obs_0000032202|obs_0000026550
Bio-Aubergine,Bio-Aubergine,"€ 1,49",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_038.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000038,obs_0000002606,
Bio-Strauchtomaten,demeter tegut,"€ 2,99",,"1 kg = 5,98 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_039.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000039,obs_0000031172|obs_0000031578,obs_0000031172|obs_0000031578
Bio-Pausenäpfel,demeter,"€ 2,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_040.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",BLS-F110100,ref_000040,obs_0000031584|obs_0000032210,obs_0000031584|obs_0000032210
Mango,Mango,"€ 0,99",,"1,49 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_041.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",BLS-F516100,ref_000041,obs_0000031177|obs_0000022637|obs_0000024580|obs_0000015390|obs_0000023711|obs_0000024866|obs_0000003752|obs_0000018984|obs_0000009262|obs_0000000306|obs_0000027849|obs_0000026443|obs_0000004179|obs_0000019803|obs_0000008795|obs_0000025449|obs_0000028010|obs_0000004606|obs_0000026783|obs_0000026666|obs_0000028602|obs_0000026177|obs_0000031585|obs_0000031853|obs_0000031995|obs_0000026755|obs_0000026641|obs_0000031510|obs_0000014239|obs_0000032043|obs_0000010417|obs_0000010086|obs_0000025965|obs_0000026997|obs_0000027653|obs_0000012946|obs_0000029093|obs_0000004915|obs_0000022578|obs_0000006975|obs_0000028997|obs_0000022995|obs_0000011233|obs_0000013807|obs_0000029422|obs_0000006052|obs_0000010024|obs_0000012968|obs_0000007865|obs_0000011708,obs_0000024580|obs_0000015390|obs_0000023711|obs_0000024866|obs_0000003752|obs_0000018984|obs_0000009262|obs_0000000306|obs_0000027849|obs_0000031177|obs_0000026443|obs_0000004179|obs_0000019803|obs_0000008795|obs_0000025449|obs_0000028010|obs_0000022637|obs_0000004606
