Produkt,Marke,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Lust auf Kuchen Torte,COPPENRATH WIESE,"€ 3,79",,1 kg = 6.54 - 10.53) / (1 kg = 5.75 - 9.25)**,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_025.jpg
Fix Airfryer oder Würzpaste,MAGGI,"€ 0,44",,1 kg = 5.18 - 16.93) / (1 kg = 4.59 - 15.00)**,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_026.jpg
Cerealien XXL,NESTL,"€ 5,49",,1 kg = 5.23 - 6.10) / (1 kg = 4.76 - 5.55)**,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_027.jpg
Cashewkerne XXL,K-CLASSIC,"€ 4,79",,1 kg = 9.58) / (1 kg = 8.88)**,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_028.jpg
Knuspersnack,FUNNY-FRISCH,"€ 1,11",,1 kg = 11.10 - 14.80) / (1 kg = 9.90 - 13.20)**,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_030.jpg
Sekt,ROTKÄPPCHEN,"€ 3,29",,1 l = 4.39) / (1 l = 3.99)**,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_031.jpg
Wäscheparfüm,LENOR,"€ 4,99",,1 kg = 18.15) / (1 kg = 16.15)**,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_032.jpg
Ionic-Haartrockner HD 7082,GRUNDIG,"€ 19,99",29.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_033.jpg
2-in-1-Akku-Stielstaubsauger VCP 3330 L,GRUNDIG,"€ 89,99",119.00,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_034.jpg
Elektrische Armatur mit integr Durchlauferhitzer,MAXXMEE,"€ 39,99",UVP 69.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_035.jpg
Herren-Sweathoodie -shirt NFL,LOBSTER LEMONADE,"€ 17,99",17.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_036.jpg
Haselnuss in Caramel,TOFFIFEE,"€ 1,11",1.49,1 kg = 8.88) / (1 kg = 7.92)**,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_037.jpg
Paula,DR OETKER,"€ 1,49",2.29,1 kg = 2.98 - 3.73) / (1 kg = 2.58 - 3.23)**,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_039.jpg
Thunfisch-Salat,SAUPIQUET,"€ 2,29",2.99,1 kg = 14.32) / (1 kg = 12.44)**,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_040.jpg
Dornfelder oder Riesling,ROTWILD,"€ 2,99",,1 l = 3.99) / (1 l = 3.59)**,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_041.jpg
Wasserenthärter 4 in 1,CALGON,"€ 7,99",9.49,pro Anwendung = 0.16 - 0.19) / (pro Anwendung = 0.15 - 0.18)**,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_042.jpg
Span Clementinen XXL,Keine Marke,"€ 3,99",5.99,1 kg = 1.74,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_044.jpg
Ital Kiwi gold lose,Keine Marke,"€ 0,69",0.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_045.jpg
Ital Bio-Kiwis,Keine Marke,"€ 1,99",2.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_047.jpg
