Produkt,Marke,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Actimel Drink XXL,DANONE,"€ 2,99",,1 kg = 2.50,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_118.jpg
Cr me fra che l g re oder Vega,DR OETKER,"€ 0,99",,1 kg = 6.60 - 7.92,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_119.jpg
Deutsche Markenbutter XXL,K-CLASSIC,"€ 1,79",,1 kg = 3.58,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_120.jpg
Fitline Protein Skyr Vanille oder Zero,EXQUISA,"€ 1,49",,1 kg = 3.73,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_121.jpg
Barista Haferdrink,K-TAKE IT VEGGIE,"€ 0,99",1.25,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_122.jpg
Quäse-Minis Protein,LOOSE,"€ 1,59",1.99,1 kg = 13.83,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_125.jpg
Böreklik,ÖMÜR,"€ 3,99",,Abtropfgewicht 800 g (1 kg = 4.99,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_126.jpg
Mit Sahne,KIRI,"€ 2,79",3.99,1 kg = 15.50,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_127.jpg
Ziegenkäse,PEYNOOS,"€ 1,99",2.79,1 kg = 19.90,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_128.jpg
Gouda XXL,K-CLASSIC,"€ 3,49",,1 kg = 6.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_129.jpg
Emmentaler XXL,K-CLASSIC,"€ 3,49",,1 kg = 6.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_130.jpg
Mozzarella XXL,K-CLASSIC,"€ 3,49",,1 kg = 6.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_131.jpg
Frischkäsezubereitung,PHILADELPHIA,"€ 1,11",,1 kg = 5.70 - 11.10,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_132.jpg
Frischkäsezubereitung Frisch Cremig,KERRYGOLD,"€ 1,29",1.99,1 kg = 8.60,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_133.jpg
Bratcreme,RAMA,"€ 1,49",2.19,1 l = 2.98 - 3.73,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_134.jpg
Le Gruy re AOP,EMMI KALTBACH,"€ 2,49",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_135.jpg
Vorarlberger Bergkäse,ALMA,"€ 2,29",2.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_136.jpg
Appenzeller mild-würzig,SWITZERLAND,"€ 1,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_137.jpg
Franz Weichkäse,SAINT ANDR oder LE RUSTIQUE,"€ 1,79",2.69,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_138.jpg
Premium-Eis Mini,MAGNUM,"€ 2,49",4.49,1 l = 7.55,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_139.jpg
Gemüse,IGLO,"€ 1,99",2.79,1 kg = 4.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_140.jpg
Elsässer Flammkuchen,ESCAL,"€ 1,99",2.39,1 kg = 7.66,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_142.jpg
Carrot Cake,FROSTA,"€ 2,79",3.49,1 kg = 7.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_144.jpg
Schlemmer-Filet,IGLO,"€ 2,69",,1 kg = 7.08,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_145.jpg
Fischstäbchen XXL,K-CLASSIC,"€ 4,44",,1 kg = 4.94,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_146.jpg
Tortelloni XXL,K-CLASSIC,"€ 2,29",,1 kg = 3.06,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_147.jpg
Schupfnudeln oder Spätzle XXL,K-CLASSIC,"€ 2,79",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_148.jpg
Frischer Pizzateig XXL,HENGLEIN,"€ 1,99",2.69,1 kg = 3.62,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_149.jpg
High Protein Pancakes,EHRMANN,"€ 2,22",2.99,1 kg = 13.88,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_150.jpg
Wirsing,BÖHNLEIN,"€ 3,69",4.89,1 kg = 7.38,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_151.jpg
Räucherlachs XXL,K-CLASSIC,"€ 4,29",,1 kg = 19.50,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_152.jpg
Fischspezialitäten,NORDSEE,"€ 2,49",,1 kg = 10.09 - 13.54,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_153.jpg
Fruchtmark,K-CLASSIC,"€ 1,29",1.89,1 kg = 3.23,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_154.jpg
Gartenerbsen,K-CLASSIC,"€ 1,19",,Abtropfgewicht 530 g (1 kg = 2.25,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_155.jpg
Gewürzgurken XXL,K-CLASSIC,"€ 1,19",,Abtropfgewicht 450 g (1 kg = 2.65,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_156.jpg
Sauce,HEINZ,"€ 1,69",2.29,1 l = 7.69,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_157.jpg
Essigessenz,SURIG,"€ 1,11",1.49,1 kg = 2.47,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_158.jpg
Grüne Oliven,Keine Marke,"€ 0,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_159.jpg
Sweet Peppacaps,Keine Marke,"€ 1,59",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_160.jpg
Pizza Salami,Keine Marke,"€ 0,69",0.95,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_161.jpg
Quarkbällchen,Keine Marke,"€ 0,22",0.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_162.jpg
Zimt-Donut mit Birnenfüllung,Keine Marke,"€ 0,39",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_163.jpg
Apfel-Mandel-Törtchen,Keine Marke,"€ 1,19",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_164.jpg
Krustenbrot,Keine Marke,"€ 1,29",1.55,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_165.jpg
Schweizer Weckli,Keine Marke,"€ 0,44",0.55,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_166.jpg
Toastbrot,HARRY,"€ 0,99",1.29,1 kg = 3.96,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_167.jpg
Bouillon Pur,KNORR,"€ 1,36",,1 l = 0.34,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_169.jpg
Gewürzmischung,K-CLASSIC,"€ 1,11",1.59,1 kg = 14.80 - 31.72,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_171.jpg
Bio-Basmati-Reis,K-BIO,"€ 1,39",1.59,1 kg = 2.78,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_172.jpg
Bio-Risotto-Reis,K-BIO,"€ 1,99",2.65,1 kg = 3.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_173.jpg
Express-Reis,REIS-FIT,"€ 1,29",1.89,1 kg = 5.16,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_174.jpg
Bio-Kichererbsen,K-BIO,"€ 1,11",1.45,1 kg = 2.22,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_175.jpg
Bio-Sesam geröstet,K-BIO,"€ 1,49",1.99,1 kg = 5.96,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_176.jpg
Bio-Leinsamen,K-BIO,"€ 0,99",1.24,1 kg = 2.48,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_177.jpg
Flohsamenschalen,BIO-ZENTRALE,"€ 3,99",4.99,1 kg = 22.80,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_178.jpg
Classic Pasta,BARILLA,"€ 1,66",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_179.jpg
Feinste fränk Eiernudeln,VRONI S NUDELKÜCHE,"€ 1,99",2.69,1 kg = 3.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_180.jpg
Eier-Teigware,TRESS,"€ 1,99",2.99,1 kg = 3.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_181.jpg
High-Protein-Nudeln,STEINER S LOWER CARB,"€ 2,22",2.99,1 kg = 8.88,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_182.jpg
Bio-Gnocchi mit Quinoa,BIO GUSTI,"€ 1,69",2.19,1 kg = 6.76,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_183.jpg
Bio-Hülsenfrüchte-Nudeln oder -Dinkel-Spaghetti,K-BIO,"€ 1,19",1.55,1 kg = 2.38 - 4.76,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_184.jpg
Flotte Biene Honig,LANGNESE,"€ 4,00",4.98,1 kg = 8.00,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_185.jpg
Crunchy Cream,OVOMALTINE,"€ 3,49",4.79,1 kg = 9.19,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_186.jpg
Weizenmehl Type 405,K-CLASSIC,"€ 0,99",,1 kg = 0.50,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_188.jpg
Kuchenbackmischung Wolke,DR OETKER,"€ 2,49",3.79,1 kg = 5.48 - 5.80,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_189.jpg
High-Protein-Mahlzeit Grießbrei,DR OETKER,"€ 1,29",1.99,1 kg = 13.58,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_190.jpg
High-Protein-Mahlzeit Milchreis,DR OETKER,"€ 1,29",1.99,1 kg = 12.41,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_191.jpg
Sonnenblumenkerne,K-CLASSIC,"€ 0,89",1.19,1 kg = 2.23,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_192.jpg
Walnusskerne XXL,K-CLASSIC,"€ 5,99",,1 kg = 11.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_193.jpg
Waffel-Schnitten,MANNER,"€ 2,49",3.99,1 kg = 5.66,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_195.jpg
Jaffa Cake,BRANDT,"€ 1,99",,1 kg = 6.64,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_196.jpg
Cerealien-Riegel,NESTL,"€ 1,29",1.59,1 kg = 12.90,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_197.jpg
Kaffee Lupine,EDUSCHO,"€ 2,49",,1 kg = 9.96,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_198.jpg
Auslese Klassisch oder Mild Sanft,JACOBS,"€ 5,99",8.49,1 kg = 11.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_199.jpg
Kaffee,MINGES,"€ 12,99",14.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_200.jpg
Heilkräutertee,BAD HEILBRUNNER,"€ 3,00",3.33,1 kg = 62.50 - 125.00,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_202.jpg
PRINGLES,Keine Marke,"€ 1,69",,1 kg = 10.25 - 10.57,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_204.jpg
Protein-Flips,AHEAD,"€ 1,79",2.49,1 kg = 35.80,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_205.jpg
Baked Squeezed Pretzels,ELEPHANT,"€ 1,99",,1 kg = 6.64 - 7.37,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_206.jpg
Kaliforn Pistazien XXL,K-CLASSIC,"€ 4,79",,1 kg = 11.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_207.jpg
Lindor,LINDT,"€ 4,44",,1 kg = 29.60,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_210.jpg
Schokoriegel,MARS oder SNICKERS,"€ 1,89",,1 kg = 7.56 - 12.95,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_211.jpg
Minis XXL,SMARTIES KITKAT oder LION,"€ 2,99",,1 kg = 9.23 - 11.55,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_212.jpg
Fruchtgummis oder Lakritze,HARIBO,"€ 3,00",,1 kg = 4.29 - 5.00,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_213.jpg
Chocolate O s,SCHÄR,"€ 1,99",2.99,1 kg = 12.07,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_214.jpg
Duo,KINDER,"€ 3,99",4.99,1 kg = 13.30,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_215.jpg
Cola-Mix,FLUMI,"€ 6,49",8.49,1 l = 0.65,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_218.jpg
Cola Cola-Mix oder Limonade,K-CLASSIC,"€ 0,44",0.65,1 l = 0.30,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_219.jpg
Erfrischungsgetränk,COCA-COLA oder FANTA,"€ 3,78",4.49,1 l = 1.91,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_220.jpg
Mineralwasser,RESIDENZ,"€ 4,99",,1 l = 0.42,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_221.jpg
Plus,AMECKE,"€ 1,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_223.jpg
Bio-Würzmittel Zitrone oder Limette,K-BIO,"€ 0,59",0.79,1 l = 2.95,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_224.jpg
Getränkesirup,JUIZY WOW,"€ 2,99",3.99,1 l = 46.00,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_225.jpg
Haselnusslikör,FRANGELICO,"€ 12,99",,1 l = 18.56,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_226.jpg
Griech Anisspirituose,OUZO OF PLOMARI,"€ 8,99",,1 l = 12.85,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_227.jpg
Kräuterbitter,FERNET-BRANCA,"€ 11,99",,1 l = 17.13,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_228.jpg
Streitberger Bitter,HERTLEINS,"€ 11,49",,1 l = 16.42,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_229.jpg
Rum oder Rum-Spirituose,BACARDI,"€ 19,99",,1 l = 13.33,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_230.jpg
Uralt,ASBACH,"€ 9,99",,1 l = 14.28,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_231.jpg
Peated Single Malt Irish Whiskey,CONNEMARA,"€ 19,99",27.99,1 l = 28.56,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_232.jpg
Whiskey oder Whiskey- Likör,JIM BEAM,"€ 19,99",,1 l = 13.33,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_233.jpg
Primitivo Puglia IGT,CONTESSA CAROLA,"€ 5,79",,1 l = 7.72,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_234.jpg
Sweet,LE FILOU,"€ 2,99",3.99,1 l = 3.99,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_235.jpg
Medera o oder Mia,FREIXENET,"€ 2,88",,1 l = 3.84,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_236.jpg
Hausschoppen rot,LAURENZIUSKELLER VOLKACH,"€ 2,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_237.jpg
Pinot Grigio Bardolino oder Chiaretto di Bardolino,LAMBERTI,"€ 3,99",,1 l = 5.32,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_238.jpg
Qualitätswein,LIEBLINGSWEIN,"€ 3,99",,1 l = 5.32,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_239.jpg
Bacchus Altmannsdorfer Sonnenwinkel,ERICH BARTH,"€ 4,79",5.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_240.jpg
Heimat Qualitätsweine,MAX MARTIN,"€ 4,99",6.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_241.jpg
MMchen Piccolo-Sekt trocken,MM EXTRA,"€ 1,11",,1 l = 5.55,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_243.jpg
Weinaperitif,LILLET,"€ 10,99",16.49,1 l = 14.66,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_244.jpg
Bianco oder Rosso,MARTINI,"€ 12,99",,1 l = 8.66,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_245.jpg
Hefeweißbier,ORIGINAL OETTINGER,"€ 7,99",10.99,1 l = 0.80,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_246.jpg
