Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
2024 Vivienne Rotweincuv e,Leo Hillinger,"€ 3,49",,"4,99 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_024.jpg,cat_getraenke
Trüffel,Gourmet Finest Cuisine,"€ 2,99",,"4,29 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_025.jpg,"cat_fleisch_wurst,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,sub_wurst,tag_proteinreich,tag_ultra_processed"
Pfirsiche,GOURMET FINEST CUISINE,"€ 1,59",,"2,29 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_026.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_gefluegel,sub_wurst,tag_proteinreich"
2024 Marensac Chardonnay IGP Pays d Oc - Double R serve,Marensac,"€ 2,99",,"3,99 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_027.jpg,cat_getraenke
Snack-Mandeln,Farmer,"€ 1,69",,"1,99 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_028.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Schwäbische Maultaschen,Gourmet Finest Cuisine,"€ 1,79",,"2,49 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_029.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_wurst,tag_proteinreich,tag_ultra_processed"
Chardonnay,Marensac,"€ 2,99",,1-Preis 6.65,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_030.jpg,cat_getraenke
Herzogin-Kartoffeln,Gourmet Finest Cuisine,"€ 1,29",,"1,69 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_031.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,sub_kartoffeln,tag_proteinreich,tag_ultra_processed,tag_whole_food"
2024 Sauvignon Blanc,Marlborough,"€ 3,19",,"3,99 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_032.jpg,cat_getraenke
Jaffa Cake,Biscotto,"€ 1,69",,"1,99 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_033.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Passierte Tomaten,King s Crown,"€ 0,49",,"0,69 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_034.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Rosenbrötchen,Meine Backwelt,"€ 0,25",,"0,39 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_035.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
Big Burrito,Wonnemeyer,"€ 2,29",,"2,79 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_036.jpg,"cat_grundnahrung,tag_ultra_processed"
Butterkäse,Milsani,"€ 1,99",,"2,45 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_037.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_kaese,sub_milchprodukte,sub_sahne_creme"
Aufschnitt-Spezialität,Güldenhof,"€ 2,39",,11.95 €/kg,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_038.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed"
Sonnenmais,KING S CROWN,"€ 0,69",,"0,89 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_039.jpg,"cat_non_food,diet_lactose_free,diet_vegan,diet_vegetarian"
Kaffeefilter,Barissimo,"€ 0,79",,"0,95 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_040.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian"
Kornschatz,Meine Backwelt,"€ 0,35",,"0,55 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_041.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegetarian"
Prinzen-Rolle,De Beukelaer,"€ 1,69",,"2,49 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_042.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Kraftgel,Pril,"€ 1,29",,"1,75 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_043.jpg,cat_drogerie
