Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
DELVERDE,Ital Teigwaren,"€ 0,75",1.89,1 kg = 1.50,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_001.jpg
BERSCHNEIDER,Nussschinken,"€ 0,99",2.39,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_002.jpg
Keine Marke,Dtsch ital Tafeläpfel,"€ 1,49",3.49,1 kg = 0.75,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_003.jpg
BONBEL,Franz Butterkäse,"€ 1,19",2.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_004.jpg
Keine Marke,Ital griech Kiwi lose,"€ 0,29",0.59,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_005.jpg
ZENTIS,Fruchtaufstrich,"€ 0,99",1.99,1 kg = 4.31,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_006.jpg
MCCAIN,Chef Frites,"€ 1,59",2.99,1 kg = 2.12) / (1 kg = 1.86)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_007.jpg
IGLO,Filegro,"€ 2,39",4.49,1 kg = 9.56 - 9.96,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_008.jpg
BÄRENMARKE,Genussvolle Kaffee-Milch,"€ 0,79",1.45,1 kg = 4.65,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_009.jpg
APPEL,Zarte Heringsfilets,"€ 1,11",1.99,1 kg = 5.55 - 5.85,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_010.jpg
Keine Marke,Dtsch Chinakohl lose,"€ 0,99",1.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_011.jpg
Keine Marke,Dtsch Sellerie lose,"€ 0,99",1.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_012.jpg
HEINZ,Tomato Ketchup,"€ 2,69",4.69,1 l = 3.37,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_013.jpg
Keine Marke,Peruan südafrik Kulturheidelbeeren,"€ 2,22",3.79,1 kg = 7.40,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_014.jpg
NADLER,Heringsfilets,"€ 2,22",3.79,1 kg = 5.05 - 5.55) / (1 kg = 4.53 - 4.98)**,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_015.jpg
METAXA,7 Sterne,"€ 13,79",22.99,1 l = 19.70,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_016.jpg
MERCI,Vielfalt,"€ 2,79",4.61,1 kg = 11.16 - 13.29,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_017.jpg
MÜLLER,Doppel-Decker oder Wackelpudding,"€ 0,99",1.59,1 kg = 1.98) / (1 kg = 1.76)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_018.jpg
FERRERO,Rocher,"€ 2,99",4.79,1 kg = 14.95,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_019.jpg
EFFECT,Energy Drink,"€ 0,69",1.09,1 l = 2.10,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_020.jpg
GALBANI,Mozzarella di Latte di Bufala,"€ 2,49",3.19,Abtropfgewicht 125 g (1 kg = 19.92) / Abtropfgewicht 125 g (1 kg = 17.76)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_022.jpg
GRÜNLÄNDER,Dtsch Schnittkäse,"€ 1,59",,1 kg = 11.36) / (1 kg = 10.65)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_023.jpg
LEERDAMMER Pizza- Pasta-,oder Auflauf-Genuss,"€ 1,99",2.89,1 kg = 12.44) / (1 kg = 11.19)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_024.jpg
