Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
RÜGENWALDER MÜHLE,Veganes Wurstersatzprodukt,"€ 1,59",2.49,1 kg = 10.60 - 15.90) / (1 kg = 8.60 - 12.90)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_026.jpg
GIOVANNI RANA,Fertiggericht,"€ 3,99",4.99,1 kg = 9.81) / (1 kg = 8.58)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_027.jpg
BERTOLLI,Olivenöl,"€ 5,99",,1 l = 11.98) / (1 l = 10.98)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_028.jpg
HARRY,1688 Unser Mildes,"€ 1,49",1.89,1 kg = 2.98) / (1 kg = 2.58)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_029.jpg
KNORR,Snack-Becher,"€ 0,99",,1 kg = 12.08 - 20.63) / (1 kg = 9.64 - 16.46)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_030.jpg
LINDT,Excellence Schokolade,"€ 2,99",,1 kg = 29.90 - 59.80) / (1 kg = 27.90 - 55.80)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_031.jpg
HARIBO,Balla Stixx oder Spaghetti,"€ 1,29",,1 kg = 6.45 - 7.38) / (1 kg = 4.95 - 5.66)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_032.jpg
WATERDROP,Microdrink,"€ 5,99",7.49,1 kg = 249.59) / (1 kg = 207.92)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_033.jpg
RAMAZZOTTI,Ital Liköre oder Arancia Alkohlfrei,"€ 9,49",13.99,1 l = 13.56) / (1 l = 12.69)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_034.jpg
ERDINGER,Weißbier oder Alkoholfrei,"€ 14,99",,1 l = 1.50) / (1 l = 1.40)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_035.jpg
LIPTON,Ice Tea oder Green,"€ 1,29",,1 l = 1.04) / (1 l = 0.89)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_036.jpg
DICK DURSTIG,Küchentücher,"€ 2,22",2.69,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_037.jpg
MORE,Chunky Flavour,"€ 7,99",,1 kg = 88.78) / (1 kg = 77.67)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_038.jpg
SWITCH ON,Heißluftfritteuse SOHFDA 2600,"€ 79,99",79.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_039.jpg
PARKSIDE,HVLP-Farbspritzpistole PFS 450 B1,"€ 29,99",29.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_040.jpg
ALPINA,Bad- und Küchenfarbe,"€ 19,99",UVP 44.95,1 l = 4.00) / (1 l = 3.60)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_041.jpg
PARKSIDE,Multifunktionsschleifer PMFS 200 C3,"€ 24,99",29.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_042.jpg
ALPINA,Wand- und Deckenfarbe Mattweiß,"€ 19,99",24.99,1 l = 2.00) / (1 l = 1.80)**,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_043.jpg
SANITAS,Wärmezudecke SHD 60,"€ 34,99",34.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_044.jpg
BRITA,Wasserfilter-Kartuschen MAXTRA PRO PURE PERFORM,"€ 27,99",UVP 47.69,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_045.jpg
BRITA,Wasserflter-Kartuschen MAXTRA PRO Extra Kalksch,"€ 29,99",UVP 54.89,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_046.jpg
TUC,Cracker,"€ 0,99",,1 kg = 9.90) / (1 kg = 7.90)**,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_048.jpg
LION NUTS KITKAT oder,SMARTIES,"€ 1,79",,1 kg = 10.79 - 13.17) / (1 kg = 9.58 - 11.70)**,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_049.jpg
ALWAYS,Discreet,"€ 2,99",3.95,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 19.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-19,2026-01-21,images_kaufland/kaufland_offer_050.jpg
Keine Marke,Span griech Orangen XXL,"€ 2,99",,1 kg = 1.00,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_051.jpg
Keine Marke,Span niederl Cocktailrispentomaten,"€ 1,79",2.49,1 kg = 3.58,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_052.jpg
Keine Marke,Span Zitronen XXL,"€ 1,49",2.29,1 kg = 1.99,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_053.jpg
Keine Marke,Ecuador kolumb Bio-Bananen,"€ 1,79",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_054.jpg
Keine Marke,Kolumb Physalis ohne Blatt,"€ 2,49",2.99,1 kg = 16.60,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_055.jpg
Keine Marke,Südafrik simbab Passionsfrucht,"€ 0,99",1.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_056.jpg
Keine Marke,Span griech Erdbeeren,"€ 1,99",2.99,1 kg = 7.96,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_057.jpg
Keine Marke,Ital Tafeläpfel Pink Lady,"€ 2,49",2.99,1 kg = 2.77,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_058.jpg
Keine Marke,Chin Pomelo rot lose,"€ 1,99",2.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_059.jpg
Keine Marke,Chin Pomelo gelb lose,"€ 1,99",2.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_060.jpg
Keine Marke,Cherrytomaten-Mix,"€ 1,99",2.99,1 kg = 4.98,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_061.jpg
Keine Marke,Dtsch Speisekartoffeln XXL,"€ 3,99",,1 kg = 0.40,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_062.jpg
Keine Marke,Marokk span Paprika,"€ 1,49",2.29,1 kg = 2.98,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_063.jpg
Keine Marke,Dtsch Möhren XXL,"€ 1,49",,1 kg = 0.50,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_064.jpg
Keine Marke,Dtsch span Kräuter XXL,"€ 1,49",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_065.jpg
Keine Marke,Ital franz Feldsalat,"€ 0,99",1.49,1 kg = 6.60,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_068.jpg
Keine Marke,Dtsch Rispentomaten,"€ 2,99",3.99,1 kg = 4.60,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_069.jpg
Keine Marke,Rosen-Chrysanthemenstrauß,"€ 12,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_070.jpg
Keine Marke,Grünpflanze,"€ 7,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_071.jpg
Keine Marke,Kalanchoe,"€ 2,49",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_072.jpg
Keine Marke,Zwiebelpflanzen,"€ 0,88",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_073.jpg
Keine Marke,Orchidee,"€ 9,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_074.jpg
Keine Marke,Christrose,"€ 3,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_078.jpg
Keine Marke,Poln kroat Kulturchampignons weiß,"€ 0,99",1.49,1 kg = 3.96,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_079.jpg
Keine Marke,Dtsch Zwiebeln XXL,"€ 2,99",,1 kg = 0.60,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_080.jpg
Keine Marke,Dtsch Cherryrispentomaten rot,"€ 2,99",3.99,1 kg = 14.95,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_081.jpg
Keine Marke,Kolumb chil Avocado lose,"€ 0,99",1.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_082.jpg
Keine Marke,Ital Kräuter in Terrakotta,"€ 3,29",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_083.jpg
Keine Marke,Bioland Champignons braun,"€ 1,79",2.29,1 kg = 7.16,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_084.jpg
Keine Marke,Bio-Miniromatomaten,"€ 1,29",1.79,1 kg = 5.16,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_085.jpg
K-PURLAND,Minutensteaks aus dem Schweinelachs,"€ 2,79",,1 kg = 6.98,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_086.jpg
K-PURLAND,Schweinemedaillons,"€ 8,29",9.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_087.jpg
K-PURLAND,Bayerischer Leberkäse fein,"€ 2,99",,1 kg = 5.98,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_088.jpg
BECK,Spanferkel-Keule,"€ 11,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_089.jpg
K-PURLAND,Kasseler Lachs gegart,"€ 6,99",8.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_090.jpg
K-PURLAND,Pork Ribs Smoker Style,"€ 5,99",6.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_091.jpg
K-PURLAND Schnelle Küche,Geschnetzeltes Jäger Art,"€ 3,33",3.99,1 kg = 6.66,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_092.jpg
K-PURLAND,Schweinebauch XXL,"€ 5,49",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_093.jpg
K-PURLAND,Bruschetta-Braten,"€ 5,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_094.jpg
K-PURLAND,Schweinenacken -kamm ohne Knochen,"€ 5,99",8.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_095.jpg
K-PURLAND,Rinder-Hackfleisch Natürlich High Protein,"€ 4,99",6.39,1 kg = 12.48,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_096.jpg
K-PURLAND,Sauerbraten vom Rind,"€ 15,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_097.jpg
K-BIO,Bioland Rinderhackfleisch,"€ 5,79",6.49,1 kg = 14.48,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_098.jpg
K-PURLAND,Entrec te vom Jungbullen,"€ 24,96",29.79,entspr. z. B. für eine 300-g-Packg. 7.49,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_099.jpg
K-PURLAND,Hähnchen-Ministeaks XXL,"€ 6,99",,1 kg = 8.74,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_100.jpg
K-PURLAND,Hähnchen-Grillplatte,"€ 3,59",3.99,1 kg = 4.49,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_101.jpg
Keine Marke,Crunchy Chicken Patties XXL,"€ 4,99",,1 kg = 9.98,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_102.jpg
K-PURLAND,Hackfleisch gemischt,"€ 3,49",,1 kg = 6.98,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_103.jpg
K-CLASSIC,Bayr Leberkäse,"€ 2,79",3.49,1 kg = 6.98,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_104.jpg
K-CLASSIC,Mini-Wiener oder -Puten-Wiener,"€ 2,22",2.49,1 kg = 6.94,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_105.jpg
GUTFRIED,Geflügel- oder Hähnchen- Fleischwurst,"€ 2,79",,1 kg = 6.98 - 7.98,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_106.jpg
MOSER,Bauernschinken,"€ 1,49",1.99,1 kg = 14.90,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_107.jpg
WILTMANN,Pfefferbauch,"€ 1,79",1.99,1 kg = 35.80,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_108.jpg
DU DARFST,Leberwurst,"€ 1,19",1.69,1 kg = 11.90,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_109.jpg
MONTORSI,Pancetta Coppata,"€ 2,49",3.99,1 kg = 24.90,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_110.jpg
WIESENHOF,Geflügel-Bacon,"€ 1,29",1.79,1 kg = 16.13,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_111.jpg
GUTFRIED,Hähnchensalami,"€ 1,49",1.99,1 kg = 14.90,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_112.jpg
MONTORSI,Ital Salami,"€ 1,99",3.49,1 kg = 19.90,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_113.jpg
JULISKA,Ungar Salami,"€ 3,99",4.99,1 kg = 10.64,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_115.jpg
TULIP,Corned Beef,"€ 3,99",5.49,1 kg = 11.74,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_116.jpg
K-WERTSCHÄTZE,Schweineschnitzel,"€ 9,90",14.90,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 15.01. bis 21.01. in deiner Kaufland-Filiale.,2026-01-15,2026-01-21,images_kaufland/kaufland_offer_117.jpg
