Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Hochbeet- und Gewächshauserde,Parkside,"€ 4,99",,1 l = 0.12,,Nein,,,,images_lidl/lidl_offer_118.jpg,cat_non_food
Erdbeerpflanzen,Erdbeerpflanzen,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_119.jpg,cat_non_food
Gartenkompost,Parkside,"€ 3,99",,1 l = 0.10,,Nein,,,,images_lidl/lidl_offer_120.jpg,cat_non_food
Obstbaum,Obstbaum,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_121.jpg,cat_non_food
Rosenstamm in Faltschachtel,Rosenstamm in Faltschachtel,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_122.jpg,cat_non_food
Frühlingsblüher im 10er-Tray,Frühlingsblüher im 10er-Tray,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_123.jpg,cat_non_food
Narzissen T te T te,Narzissen T te T te,"€ 1,69",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_124.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian"
Oster-Gelee Mischung,Favorina,"€ 0,69",,"0,99 €",,Nein,,,,images_lidl/lidl_offer_125.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Schoko-Lolly,Favorina,"€ 1,39",,"1,99 €",,Nein,,,,images_lidl/lidl_offer_126.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Mini Osterfiguren,Favorina,"€ 1,79",,"2,29 €",,Nein,,,,images_lidl/lidl_offer_127.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
Kleine Schokoladenkäfer,Favorina,"€ 1,89",,"2,49 €",,Nein,,,,images_lidl/lidl_offer_128.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Karamell Edel Nougat Eier,Favorina,"€ 1,79",,"2,49 €",,Nein,,,,images_lidl/lidl_offer_129.jpg,"cat_knabbern_naschen,tag_ultra_processed"
