Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Champignon braun,Keine Marke,"€ 1,49",Kein vorheriger Preis,5.96 / kg,"Polen/Niederlande, Kl. II",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_025.png
Walnüsse,Keine Marke,"€ 0,79",Kein vorheriger Preis,7.90 / kg,"Frankreich/Australien, Kl. I",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_026.png
Clementinen,Keine Marke,"€ 3,33",Kein vorheriger Preis,1.67 / kg,"Spanien/Italien, Kl. I",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_027.png
Grapefruit rose,Keine Marke,"€ 0,69","€ 0,89",Kein Mengenpreis,"Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_028.png
Orangen,Keine Marke,"€ 2,99","€ 3,99",1.99 / kg,"Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_029.png
Erdnüsse,Keine Marke,"€ 1,99","€ 2,29",7.96 / kg,Ägypten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_030.png
Äpfel,Keine Marke,"€ 4,44",Kein vorheriger Preis,0.89 / kg,"Deutschland, Kl. II",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_031.png
Nikolaus in Tanne,Keine Marke,"€ 9,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 20 cm hoch, versch. Farben, Ø = 14 cm",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_032.png
Alpenveilchen,Keine Marke,"€ 4,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 25 cm hoch, versch. Ausführungen Ø = 12 cm",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_033.png
Kalanchoe,Keine Marke,"€ 3,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 15 cm hoch, versch. Ausführungen",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_034.png
Geglitzerte Kalanchoe,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 25 cm hoch, versch. Farben Ø = 12 cm",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_035.png
Mini Weihnachtsstern,Keine Marke,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,"Weihnachtsstern ca. 15 cm hoch, Ø = 9 cm",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_036.png
Weihnachtskaktus,Keine Marke,"€ 4,99",Kein vorheriger Preis,Kein Mengenpreis,"Schlumbergera, ca. 30 cm hoch, versch. Farben, Ø = 12 cm",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_037.png
Kamelie,Keine Marke,"€ 7,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 40 cm hoch, versch. Ausführungen Ø = 12 cm",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_038.png
Filetsteak vom Jungbullen,Keine Marke,"€ 3,79",Kein vorheriger Preis,37.90 / kg,"zart, garantiert 14 Tage gereift, ca. 200 g",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_039.png
Brust vom Jungbullen,Keine Marke,"€ 1,29",Kein vorheriger Preis,12.90 / kg,"ohne Knochen, vakuumverpackt, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_040.png
Hähnchen-Innenfilet,Keine Marke,"€ 6,99",Kein vorheriger Preis,8.74 / kg,aus dem Brustfilet geschnitten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_041.png
Puten-Hälse,Keine Marke,"€ 2,79",Kein vorheriger Preis,Kein Mengenpreis,"frisch, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_042.png
Schweine-Rücken,Keine Marke,"€ 4,79",Kein vorheriger Preis,Kein Mengenpreis,"mit Schwarte, ohne Knochen, vakuumverpackt, ca. 1,7 kg",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_043.png
Schweine-Schnitzel,Keine Marke,"€ 3,79",Kein vorheriger Preis,7.58 / kg,aus der Oberschale,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_044.png
Schinken-Gulasch,Keine Marke,"€ 3,29",Kein vorheriger Preis,6.58 / kg,"besonders mager, vom Schwein",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_045.png
Rinder Hackfleisch,Keine Marke,"€ 5,79","€ 6,49",11.58 / kg,zum Braten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_046.png
Echt ungarische Salami,Keine Marke,"€ 4,49","€ 4,99",11.23 / kg,,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_047.png
Schwarzwälder Schinken,Keine Marke,"€ 1,99",Kein vorheriger Preis,9.95 / kg,über Tannenreisig geräuchert,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_048.png
Frischepack Wurst-Aufschnitt,Keine Marke,"€ 4,00","€ 4,476,87",13.33 / kg,versch. Sorten Einzelpreis: 1.49 – 1.99 (14.90 – 19.90 / kg),Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_049.png
Original österreichische Wurstspezialitäten,Keine Marke,"€ 1,49",Kein vorheriger Preis,18.63 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_050.png
Kabanos,Keine Marke,"€ 1,99","€ 2,49",13.27 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_051.png
