Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
KNORR,Feinschmecker Suppe,"€ 0,69",1.59,1 l = 0.92 - 1.38,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_001.jpg
AMMERLÄNDER,Butterkäse,"€ 0,49",1.09,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 16.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-16,2026-02-18,images_kaufland/kaufland_offer_002.jpg
HOUDEK,Kabanos Klassik,"€ 1,19",2.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 16.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-16,2026-02-18,images_kaufland/kaufland_offer_003.jpg
HASSERÖDER,Premium Pils,"€ 8,99",17.99,1 l = 0.90,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_004.jpg
BRESSO,Frischkäse oder Frischkäsezubereitung,"€ 1,19",2.39,1 kg = 7.94 - 9.92,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_005.jpg
PEPSI oder SCHWIP SCHWAP,Erfrischungsgetränk,"€ 0,75",1.49,1 l = 0.60) / (1 l = 0.56)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_006.jpg
NESTL,Smarties,"€ 1,44",2.79,1 kg = 11.08 - 12.00,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_007.jpg
HERTA,Finesse Aufschnitt,"€ 1,39",2.59,1 kg = 13.90,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_008.jpg
WIESBAUER,Frühstücksaufschnitt,"€ 1,59",2.99,1 kg = 10.60,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_009.jpg
HÄAGEN-DAZS,Eiscreme,"€ 3,79",6.99,1 l = 8.24 - 9.03,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_010.jpg
NESCAF,Gold,"€ 2,49",4.49,1 kg = 17.30 - 19.92,,Nein,Dieses Angebot findest du vom 16.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-16,2026-02-18,images_kaufland/kaufland_offer_011.jpg
FROSTA,Fertiggericht,"€ 2,69",4.79,1 kg = 5.38 - 5.98) / (1 kg = 4.98 - 5.54)**,,Nein,Dieses Angebot findest du vom 16.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-16,2026-02-18,images_kaufland/kaufland_offer_012.jpg
KATJES,Fruchtgummis oder Lakritze,"€ 0,79",1.39,1 kg = 3.77,,Nein,Dieses Angebot findest du vom 16.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-16,2026-02-18,images_kaufland/kaufland_offer_013.jpg
Keine Marke,Südafrik Tafeltrauben hell und rot gemischt,"€ 1,99",3.49,1 kg = 3.98,,Nein,Dieses Angebot findest du vom 16.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-16,2026-02-18,images_kaufland/kaufland_offer_014.jpg
Keine Marke,Span Nadorcott Mandarinen,"€ 1,99",3.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_015.jpg
COPPENRATH WIESE,Cafeteria fein sahnig,"€ 3,49",5.99,1 kg = 5.82 - 7.76) / (1 kg = 4.99 - 6.65)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_016.jpg
FREIXENET,Span Schaumwein,"€ 3,88",6.49,1 l = 5.18,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_017.jpg
KNOPPERS,Riegel,"€ 1,49",2.49,1 kg = 7.45,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_018.jpg
Keine Marke,Ital Kiwi lose,"€ 0,29",0.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 16.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-16,2026-02-18,images_kaufland/kaufland_offer_019.jpg
Keine Marke,Südafrik Pflaumen blau rot lose,"€ 2,99",4.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_020.jpg
Keine Marke,Flamingoblume,"€ 7,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_021.jpg
ZOTT,Monte,"€ 1,49",,1 kg = 3.73) / (1 kg = 3.23)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_022.jpg
K-CLASSIC,Käse-Snacks,"€ 2,22",2.69,1 kg = 10.10) / (1 kg = 9.05)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_023.jpg
COPPENRATH WIESE,Unsere Goldstücke,"€ 1,49",,1 kg = 2.76 - 4.97) / (1 kg = 2.39 - 4.30)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_025.jpg
