Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Eduscho Pads,Keine Marke,"€ 4,49","€ 4,99",21.59 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_001.png
Eduscho Kaffee Klassisch oder mild,Keine Marke,"€ 6,49","€ 7,99",12.98 / kg,gemahlen,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_002.png
Eduscho Lieblingskaffee,Keine Marke,"€ 5,99","€ 7,99",11.98 / kg,gemahlen,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_003.png
Eduscho Lieblingskaffee,Keine Marke,"€ 9,99","€ 12,99",13.32 / kg,ganze Kaffeebohnen,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_004.png
Caff Crema mild,Keine Marke,"€ 13,99","€ 16,99",Kein Mengenpreis,ganze Kaffeebohnen,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_005.png
Hackfleisch gemischt,Keine Marke,"€ 6,29",,Kein Mengenpreis,aus 70% Schwein und 30% Rind,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_006.png
Ehrmann Grand Dessert,Keine Marke,"€ 0,44","€ 1,19",2.32 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_007.png
Käfer Caff,Keine Marke,"€ 11,99",,Kein Mengenpreis,"ganze Kaffeebohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_008.png
Bananen,Keine Marke,"€ 0,88",,Kein Mengenpreis,Costa Rica/Ecuador,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_009.png
Norwegische Lachsfilets,Keine Marke,"€ 6,99","€ 9,49",18.64 / kg,tiefgekühlt,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_010.png
Krapfen oder Donuts,Keine Marke,"€ 1,79","€ 2,693,54",3.98 – 6.09 / kg,"versch. Sorten, 6er Pack",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_011.png
Fol Epi,Keine Marke,"€ 1,29","€ 2,69",8.60 – 10.75 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_012.png
Chiemseer Hell,Keine Marke,"€ 13,99",,1.40 / l,,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_013.png
Heidelbeeren,Keine Marke,"€ 3,99",,7.98 / kg,"Peru/Chile, Kl. I",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_014.png
Norwegisches Lachsfilet,Keine Marke,"€ 1,49","€ 1,89",14.90 / kg,"mit Haut, praktisch grätenfrei, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_015.png
Kinder Riegel oder Duplo,Keine Marke,"€ 2,22","€ 3,29",9.61 - 12.20 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_016.png
Zewa Küchentücher Wisch Weg,Keine Marke,"€ 2,49","€ 3,19",Kein Mengenpreis,Original oder Sparblatt,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_017.png
Südzucker Feiner Rübenzucker,Keine Marke,"€ 1,50","€ 1,98",Kein Mengenpreis,Einzelpreis: 0.99,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_018.png
Jägermeister,Keine Marke,"€ 11,99",,17.13 / l,"Kräuterlikör, 35% Vol. 2 Shot-Gläser oder Ausgießer GRATIS!",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_019.png
Thomy Reines Sonnenblumenöl,Keine Marke,"€ 2,49","€ 2,99",3.32 / l,reich an Vitamin E,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_020.png
Speisekartoffeln,Keine Marke,"€ 1,49",,0.99 / kg,"Deutschland, festkochend",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_021.png
Wurzelpetersilie,Keine Marke,"€ 1,39","€ 1,49",4.- / kg,"Deutschland, Kl. II",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_022.png
Feldsalat,Keine Marke,"€ 1,11","€ 1,59",11.10 / kg,"Italien, Kl. II",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_023.png
Kräutertopf,Keine Marke,"€ 1,49","€ 1,69",Kein Mengenpreis,"versch. Sorten, Deutschland",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_024.png
Zitronen,Keine Marke,"€ 1,49","€ 1,49",2.- / kg,"Italien/Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_025.png
Brokkoli,Keine Marke,"€ 1,69","€ 1,49",2.- / kg,"Italien/Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_026.png
Möhren,Keine Marke,"€ 1,00",,0.50 / kg,"Deutschland, Kl. I",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_027.png
Kohlrabi,Keine Marke,"€ 1,38","€ 1,38",Kein Mengenpreis,"Italien, Kl. I Einzelpreis: 0.69",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_028.png
Rucola,Keine Marke,"€ 1,00",,8.- / kg,"Italien, Kl. I",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_029.png
Lauch,Keine Marke,"€ 1,00",,Kein Mengenpreis,"Deutschland/Niederlande, Kl. I Einzelpreis: 0.69",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_030.png
Pomelo,Keine Marke,"€ 1,00",,Kein Mengenpreis,"China, Kl. I",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_031.png
Kiwi Gold Jumbo,Keine Marke,"€ 1,00",,Kein Mengenpreis,"Italien/Griechenland, Kl. I, extra große Früchte",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_032.png
Tulpen,Keine Marke,"€ 1,99",,Kein Mengenpreis,"ca. 35 cm lang, versch. Farben",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_033.png
Primeln,Keine Marke,"€ 3,99",,Kein Mengenpreis,"ca. 15 cm hoch, versch. Farben",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_034.png
Hornveilchen,Keine Marke,"€ 2,49",,Kein Mengenpreis,"Viola, ca. 15 cm hoch, versch. Farben",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_035.png
Rosmarinstämmchen,Keine Marke,"€ 4,99",,Kein Mengenpreis,"ca. 40 cm hoch, versch. Sorten Ø = 14 cm",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_036.png
Primelschale,Keine Marke,"€ 3,99",,Kein Mengenpreis,"ca. 15 cm hoch, versch. Farben Ø = 21 cm",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_037.png
Alpenveilchen,Keine Marke,"€ 1,99",,Kein Mengenpreis,"ca. 20 cm hoch, versch. Farben Ø = 10,5 cm",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_038.png
Grünpflanze,Keine Marke,"€ 2,99",,Kein Mengenpreis,"ca. 30 cm hoch, versch. Sorten, ø = 12 cm",Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_039.png
Roggenmischbrot,Keine Marke,"€ 0,79","€ 0,99",1.58 / kg,,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_040.png
Tortilla Wraps,Keine Marke,"€ 0,99","€ 1,19",2.68 / kg,Weizen oder Vollkorn,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_041.png
Berliner Mix,Keine Marke,"€ 3,49",,9.67 / kg,4er Pack,Nein,"Wochenangebote gültig von Montag, 16.02.26 - Samstag, 21.02.26",16.02.26,21.02.26,images_netto/netto_offer_042.png
