Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Rotkäppchen Knuspertaler oder Mozzarella Sticks Dip,Keine Marke,"€ 2,69",Kein vorheriger Preis,17.93 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_025.png
Pfanner Fruchtsaftgetränke,Keine Marke,"€ 1,29",Kein vorheriger Preis,Kein Mengenpreis,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_026.png
Thomas Henry,Keine Marke,"€ 1,29",Kein vorheriger Preis,1.72 / l,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_027.png
Andechser Bio Lassi,Keine Marke,"€ 1,11",Kein vorheriger Preis,4.44 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_028.png
Orangina Limonaden,Keine Marke,"€ 1,11",Kein vorheriger Preis,2.22 / l,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_029.png
MinusL Kefir,Keine Marke,"€ 0,99",Kein vorheriger Preis,3.96 / kg,"gekühlt, laktosefrei",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_030.png
Andechser Bio Kefir,Keine Marke,"€ 1,39","€ 1,59",2.78 / kg,"gekühlt, mild, fettarm",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_031.png
Kühne Rotkohl,Keine Marke,"€ 1,69",Kein vorheriger Preis,2.60 / kg,,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_032.png
Bonduelle Goldmais,Keine Marke,"€ 1,39","€ 1,79",4.88 / kg,,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_033.png
Barilla Sauce oder Pesto,Keine Marke,"€ 2,29","€ 3,19",5.73 - 12.05 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_034.png
Cabanossi,Keine Marke,"€ 2,99",Kein vorheriger Preis,9.97 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_035.png
COSTA Schneller Genuss,Keine Marke,"€ 4,99","€ 5,99",16.63 - 22.18 / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_036.png
Hawesta Brathering,Keine Marke,"€ 2,49","€ 3,49",7.66 / kg,in feinwüziger Marinade,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_037.png
Chiquita Bananen,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,Costa Rica/Ecuador,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_038.png
Albi Saft Blutorangen,Keine Marke,"€ 1,69","€ 1,89",Kein Mengenpreis,"Italien, Kl. I",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_039.png
Mandarinen,Keine Marke,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,"Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_040.png
Pfanni Speisekartoffeln Unsere Besten,Keine Marke,"€ 1,99","€ 2,29",0.80 / kg,"Deutschland, versch. Kocheigenschaften",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_041.png
Spitzpaprika rot,Keine Marke,"€ 1,79",Kein vorheriger Preis,3.58 / kg,"Marokko/Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_042.png
Champignon braun,Keine Marke,"€ 1,69",Kein vorheriger Preis,4.23 / kg,"Polen, Kl. I",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_043.png
Zwiebeln rot,Keine Marke,"€ 0,49","€ 0,99",Kein Mengenpreis,"Deutschland, Kl. II",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_044.png
Suppengemüse,Keine Marke,"€ 1,11","€ 1,29",2.22 / kg,,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_045.png
Rispentomaten,Keine Marke,"€ 2,22",Kein vorheriger Preis,Kein Mengenpreis,"Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_046.png
Rosenkohl,Keine Marke,"€ 0,79",Kein vorheriger Preis,1.05 / kg,"Belgien/Niederlande, Kl. I",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_047.png
Möhren,Keine Marke,"€ 1,19",Kein vorheriger Preis,Kein Mengenpreis,"Deutschland, Kl. II",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_048.png
Äpfel,Keine Marke,"€ 1,99","€ 2,99",Kein Mengenpreis,"Deutschland, Kl. II",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_049.png
Äpfel Evelina,Keine Marke,"€ 1,99","€ 2,49",Kein Mengenpreis,"Deutschland, Kl. I",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_050.png
Äpfel rot,Keine Marke,"€ 1,49","€ 2,99",0.75 / kg,"Deutschland, Kl. II",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_051.png
Äpfel Braeburn,Keine Marke,"€ 1,79","€ 1,99",Kein Mengenpreis,"Deutschland, Kl. I",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_052.png
Äpfel Gala,Keine Marke,"€ 1,79","€ 1,99",Kein Mengenpreis,"Deutschland, Kl. I",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_053.png
Äpfel Elstar,Keine Marke,"€ 1,79","€ 1,99",Kein Mengenpreis,"Deutschland, Kl. I",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_054.png
Spraynelken,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 50 cm lang, versch. Farben",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_055.png
Mini Kalanchoe,Keine Marke,"€ 1,19",Kein vorheriger Preis,Kein Mengenpreis,"ca. 15 cm hoch, versch. Farben, Ø = 7 cm",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_056.png
Orchidee,Keine Marke,"€ 4,44",Kein vorheriger Preis,Kein Mengenpreis,"ca. 55 cm hoch, versch. Farben, Ø = 12 cm -ohne Übertopf-",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_057.png
Alpenveilchen,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 20 cm hoch, versch. Farben Ø = 10,5 cm",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_058.png
Rosentopf,Keine Marke,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 25 cm hoch, vier Farben im Topf, Ø = 10,5 cm,",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_059.png
Grünpflanze,Keine Marke,"€ 3,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 30 cm hoch, versch. Sorten, ø = 12 cm",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_060.png
Glücksfeder,Keine Marke,"€ 7,99",Kein vorheriger Preis,Kein Mengenpreis,ca. 45 cm hoch Ø = 14 cm,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_061.png
Bratwürste,Keine Marke,"€ 2,29","€ 2,89",5.73 / kg,"vom Schwein, grob",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_062.png
Hähnchen-Geschnetzeltes,Keine Marke,"€ 3,99",Kein vorheriger Preis,9.98 / kg,natur,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_063.png
Schweine-Rücken,Keine Marke,"€ 4,99",Kein vorheriger Preis,Kein Mengenpreis,"ohne Knochen, vakuumverpackt, ca. 1,2 kg",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_064.png
Hähnchen-Ministeaks,Keine Marke,"€ 3,99","€ 4,99",9.98 / kg,frisch,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_065.png
Puten-Hackfleisch,Keine Marke,"€ 1,99","€ 2,69",4.98 / kg,mager,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_066.png
Beinscheiben vom Rind,Keine Marke,"€ 6,99",Kein vorheriger Preis,9.99 / kg,,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_067.png
Mais-Hähnchen,Keine Marke,"€ 4,29",Kein vorheriger Preis,Kein Mengenpreis,"ganz, Hkl. A, ca. 1,4 kg",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_068.png
Bayerische Puten-Schnitzel,Keine Marke,"€ 4,79",Kein vorheriger Preis,9.58 / kg,"mager, dünn geschnitten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_069.png
Aufschnitt Minis,Keine Marke,"€ 0,79","€ 0,99",15.80 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_070.png
Bockwurst,Keine Marke,"€ 2,49","€ 2,95",6.23 / kg,über Buchenholz geräuchert Regionale Verpackungsabweichungen möglich,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_071.png
Geflügel Wiener,Keine Marke,"€ 2,69","€ 2,99",8.97 / kg,"über Buchenholz geräuchert, mit Joghurt verfeinert",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_072.png
Leberwurst,Keine Marke,"€ 1,29","€ 1,49",5.16 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_073.png
