Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Pyjama,UP2FASHION,"€ 8,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_122.jpg,cat_non_food,,ref_000122,obs_0000001121|obs_0000000757|obs_0000000761|obs_0000001410|obs_0000019067|obs_0000021181|obs_0000023244|obs_0000000843|obs_0000000941|obs_0000019886|obs_0000002581|obs_0000001069|obs_0000001120|obs_0000004728|obs_0000004301|obs_0000003874|obs_0000003387|obs_0000000384|obs_0000001920|obs_0000000962|obs_0000002597|obs_0000023553|obs_0000016592|obs_0000001063|obs_0000015786|obs_0000019014|obs_0000014920|obs_0000020090|obs_0000020989|obs_0000020140|obs_0000012515|obs_0000023248|obs_0000019689|obs_0000001782|obs_0000015138|obs_0000023848|obs_0000023347|obs_0000014135|obs_0000014142|obs_0000023356|obs_0000014151|obs_0000019271|obs_0000008559|obs_0000019321|obs_0000019833|obs_0000023439|obs_0000014228|obs_0000014229|obs_0000011162|obs_0000012706,obs_0000001121|obs_0000019067|obs_0000021181|obs_0000023244|obs_0000000757|obs_0000000761|obs_0000000843|obs_0000001410|obs_0000000941|obs_0000019886
Lesehilfe Two Tone,Lesehilfe Two Tone,"€ 1,49",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_123.jpg,"cat_non_food,diet_vegetarian",,ref_000123,,
Classic,Dallmayr,"€ 6,99",,kg-Preis 13.98,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_124.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,ref_000124,obs_0000013543|obs_0000010989|obs_0000032390|obs_0000019121|obs_0000023795|obs_0000026878|obs_0000032113|obs_0000025011|obs_0000029122|obs_0000019940|obs_0000025539|obs_0000026637|obs_0000008209|obs_0000017452|obs_0000014399|obs_0000025152|obs_0000022603|obs_0000019028|obs_0000012889|obs_0000013913|obs_0000000102|obs_0000011381|obs_0000032351|obs_0000026751|obs_0000002691|obs_0000019084|obs_0000027284|obs_0000015513|obs_0000012444|obs_0000007850|obs_0000016593|obs_0000006915|obs_0000016134|obs_0000020235|obs_0000015116|obs_0000028967|obs_0000013161|obs_0000020841|obs_0000008045|obs_0000012657|obs_0000008574|obs_0000027009|obs_0000023942|obs_0000019847|obs_0000009106|obs_0000021406|obs_0000031653|obs_0000010152|obs_0000007595|obs_0000008622,obs_0000032390|obs_0000013543|obs_0000010989|obs_0000026878|obs_0000032113|obs_0000025011|obs_0000029122
Cremig Quarkig,Weihenstephan,"€ 1,59",,kg-Preis 3.18,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_125.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,ref_000125,obs_0000025608|obs_0000031632|obs_0000032254|obs_0000002976|obs_0000002408|obs_0000029555,obs_0000025608|obs_0000031632|obs_0000032254|obs_0000002976|obs_0000002408
Smoothie,True Fruits,"€ 3,29",,"4,39 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_126.jpg,"cat_getraenke,tag_ultra_processed",BLS-F034600,ref_000126,obs_0000032013|obs_0000010394|obs_0000011856|obs_0000012920|obs_0000008466|obs_0000016406|obs_0000004384|obs_0000003248|obs_0000020534|obs_0000000440|obs_0000001853|obs_0000004811|obs_0000003957|obs_0000001191|obs_0000030081|obs_0000006542|obs_0000007320|obs_0000005061|obs_0000027978|obs_0000006350|obs_0000026997|obs_0000027653|obs_0000010403|obs_0000028997|obs_0000012391|obs_0000029422|obs_0000005250|obs_0000005809|obs_0000010264,obs_0000032013|obs_0000008466|obs_0000016406|obs_0000010394|obs_0000004384|obs_0000003248|obs_0000020534|obs_0000002615|obs_0000000440|obs_0000001853|obs_0000004811|obs_0000011856|obs_0000003957|obs_0000012920
Sport Muskeln,Valensina,"€ 0,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_127.jpg,"cat_getraenke,diet_vegetarian",,ref_000127,,
Frische Milch 3 5 Fett,Weihenstephan,"€ 0,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_128.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_milchprodukte",,ref_000128,obs_0000002646|obs_0000002682|obs_0000000992|obs_0000026055|obs_0000024498|obs_0000031443|obs_0000000188|obs_0000031159|obs_0000024647|obs_0000010370|obs_0000029181|obs_0000025092|obs_0000012897|obs_0000013463|obs_0000015739|obs_0000000796|obs_0000003400|obs_0000024305,
High-Protein Pudding Grieß,Dr Oetker,"€ 1,99",,4.98 €/kg,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_129.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_milchprodukte,sub_sahne_creme,tag_high_protein,tag_proteinreich,tag_ultra_processed",NUTR-0004,ref_000129,obs_0000002293|obs_0000018868|obs_0000023390|obs_0000003149|obs_0000019687|obs_0000012810|obs_0000018454|obs_0000016888|obs_0000021007|obs_0000014866|obs_0000021534|obs_0000003431|obs_0000032392|obs_0000001560|obs_0000008074|obs_0000024495|obs_0000010910|obs_0000022687|obs_0000008611|obs_0000025108|obs_0000007754|obs_0000022167|obs_0000022264|obs_0000031260|obs_0000021099|obs_0000004949|obs_0000032256|obs_0000016456|obs_0000014743|obs_0000031769|obs_0000015684|obs_0000001428|obs_0000011750|obs_0000013903|obs_0000009955|obs_0000024536,obs_0000002293|obs_0000018868|obs_0000023390|obs_0000003149|obs_0000019687
Protein Drink Caffe Latte,Starbucks,"€ 1,99",,"6,03 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_130.jpg,"cat_getraenke,diet_vegetarian,tag_high_protein,tag_proteinreich,tag_ultra_processed",,ref_000130,obs_0000002240|obs_0000024548,
Saltletts Crunchy Bites Rosmarin,Lorenz,"€ 1,49",,14.90 €/kg,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_131.jpg,"cat_knabbern_naschen,sub_kartoffeln,tag_ultra_processed",,ref_000131,obs_0000000612|obs_0000031271|obs_0000015935|obs_0000009957|obs_0000000911|obs_0000017828|obs_0000013970,obs_0000000612
