Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
NIVEA,"Body Milk, Soft Milk oder Body Lotion",3.49,4.25,1 l = 8.73,-17%,je 400-ml-Fl.,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_370.jpg
REXONA,Deo-Spray oder -Roll-On,1.99,2.55,1 l = 13.27 - 39.80,-21%,je 50-ml-Stück oder 150-ml-Dose,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_371.jpg
FA,Duschgel,0.99,1.75,1 l = 3.96,-43%,je 250-ml-Fl.,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_372.jpg
DREAMIES oder WHISKAS,Katzensnack,2.79,3.65,1 kg = 15.50 - 23.25,-23%,je 120 - 180-g-Packg.,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_374.jpg
JAKKS,Disney-Puppe Princess» oder «Frozen»,14.99,UVP19.99,,-25%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_375.jpg
TORNADO,LED-Smart-TV »32ES4301X«,99.99,UVP179.00,,-44%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_376.jpg
KOSMOS,»Flummi-Planeten« Mitbringexperiment,6.99,UVP11.99,,-41%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_377.jpg
EDDING,Permanentspray »Moosgrün«,5.99,UVP10.39,1 l = 29.95,-42%,je 200-ml-Dose,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_378.jpg
KOSMOS,»Elektro-Alarm« Mitbringexperiment,6.99,UVP10.99,,-36%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_379.jpg
LEGO CREATOR,»Exotischer Papagei« 3-in-1-Spielset 31136,19.99,UVP24.99,,-20%,je 253-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_380.jpg
BAYER,Puppen-Wagen,19.99,UVP39.95,,-49%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_381.jpg
BOSCH,2-in-1-Akkustaubsauger »BCHF2BST«,89.99,UVP194.99,,-53%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_382.jpg
MATTEL,Barbie-Puppe »80th Anniversairy«,3.99,UVP14.99,,-73%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_384.jpg
EDDING,Lackmarker silber,2.49,UVP5.19,,-52%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_385.jpg
ZURU,Rainbocorns »Kittycorn«,9.99,UVP14.99,,-33%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_386.jpg
LEGO CREATOR,»Tieflader mit Hubschrauber« 3-in-1-Spielset 31146,12.99,UVP19.99,,-35%,je 270-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_387.jpg
ELLESSE,Beanie,9.99,UVP18.00,,-44%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_388.jpg
PHILIPS,Dampfbügelstation »HI5920/20«,49.99,UVP249.99,,-80%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_389.jpg
MATTEL,Haustier-Schlüsselanhänger »Monster High«,3.99,UVP8.99,,-55%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_390.jpg
DICKIE,Einsatzfahrzeug,4.99,UVP9.99,,-50%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_391.jpg
EDDING,Pinselstifte-Set »XMAS«,4.99,,,nur,je 4-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_392.jpg
EDDING,Lackmarker weiß,2.49,UVP5.19,,-52%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_395.jpg
EDDING,Permanentspray »Verkehrsrot«,5.99,UVP10.39,1 l = 29.95,-42%,je 200-ml-Dose,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_398.jpg
SMART GAMES,Knobelspiel »IQ Puzzler PRO«,8.99,UVP12.99,,-30%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_399.jpg
KIDLAND®,Plüschtier-Hase mit Baby,5.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_400.jpg
EDDING,Lackmarker gold,2.49,UVP5.19,,-52%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_401.jpg
EDDING,Permanentspray »Metallic«,5.99,UVP10.39,1 l = 29.95,-42%,je 200-ml-Dose,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_403.jpg
LEGO CREATOR,»Retro Kamera« 3-in-1-Bauset 31147,14.99,UVP19.99,,-25%,je 261-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_404.jpg
SMART GAMES,Knobelspiel »IQ Link«,8.99,UVP12.99,,-30%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_405.jpg
MUSIC HERO,Kabelloser Lautsprecher »MHSPXMASBALLA«,7.99,UVP19.99,,-60%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_406.jpg
KIDLAND®,Plüschtier-Hund mit Baby,5.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_408.jpg
KOSMOS,»Meeres-Abenteuer« Mitbringexperiment,6.99,UVP11.99,,-41%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_409.jpg
LEGO,»Das Lava-Duell im Nether« Bau- und Spielset 21266,6.99,UVP9.99,,-30%,je 99-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_410.jpg
KIDLAND®,Plüschtier-Katze mit Baby,5.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_411.jpg
KIDLAND®,»Corvette Stingray Z51« RC-Fahrzeug,9.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_412.jpg
LEGO TECHNIC,»Baggerlader« Bau- und Spielset 42197,6.99,UVP9.99,,-30%,je 104-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_413.jpg
HASBRO,Play-Doh Megameter,9.99,UVP20.99,1 kg = 5.58,-52%,"je 1,792-kg-Packg.",Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_414.jpg
MATTEL,Kartenspiel UNO »80th Anniversairy«,3.99,UVP12.99,,-69%,je 5-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_415.jpg
KENWOOD,Küchenmaschine »Prospero+« (KHC29A.HOWH),149.00,UVP235.00,,-36%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_416.jpg
LEGO CREATOR,»Weltraum-Roboter« 3-in-1-Spielset 31164,14.99,UVP24.99,,-40%,je 281-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_417.jpg
LEGO CITY,»Verfolgungsjagd« Spielset 60455,6.99,UVP9.99,,-30%,je 65-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_418.jpg
EDDING,Permanentspray »Verkehrsweiß«,5.99,UVP10.39,1 l = 29.95,-42%,je 200-ml-Dose,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_419.jpg
SMART GAMES,Knobelspiel »IQ Fit«,8.99,UVP12.99,,-30%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_421.jpg
MATTEL,Enchantimals Variety,3.99,UVP11.49,,-65%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_422.jpg
KIDLAND®,»Lamborghini Veneno« RC-Fahrzeug,9.99,12.99,,-23%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_423.jpg
KIDLAND®,Squashi-Plüschtier,5.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_424.jpg
