Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
LIV&BO®,LED-Lichterbaum »Trauerweide«,19.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_463.jpg
LIV&BO®,LED-Deko-Figur »Reh«,14.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_464.jpg
KAISER,Bundform »Gourmet«,4.99,UVP19.99,,-75%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_465.jpg
LIV&BO®,LED-Lichternetz mit 160 LEDs,7.99,9.99,,-20%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_466.jpg
LIV&BO®,LED-Weihnachtsstern selbstaufblasend,34.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_467.jpg
OYANDA®,Damen-Winterstiefel,14.99,,,nur,je Paar,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_468.jpg
KUNIBOO®,Kinder-Schneejacke,12.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_469.jpg
NEWCENTIAL®,Kinder-Skihose,12.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_471.jpg
ELLESSE,Umhängetasche (Crossbody Bag),9.99,UVP25.00,,-60%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_473.jpg
NEWCENTIAL®,Kinder-Skijacke,17.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_475.jpg
NEWCENTIAL®,Kinder-Funktionsunterwäsche,9.99,,,nur,je 2-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_476.jpg
NEWCENTIAL®,Damen-Funktionsstrümpfe,4.99,,,nur,je Paar,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_477.jpg
MATTEL,Kartenspiel »Phase 10«,3.99,UVP15.99,,-75%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_478.jpg
KUNIBOO®,Kinder-LED-Winterstiefel,12.99,,,nur,je Paar,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_480.jpg
KUNIBOO®,Kinder-Schneehose,9.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_483.jpg
NEWCENTIAL®,Damen-Funktionsshirt,9.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_486.jpg
KUNIBOO®,Baby-Schneeoverall,14.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_491.jpg
TOWNLAND®,Herren-Schnürstiefel,17.99,,,nur,je Paar,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_493.jpg
OYANDA®,Damen-Thermo-Leggings,5.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_496.jpg
ELLESSE,Herren-Retroboxer,12.99,UVP28.00,,-53%,je 3-St.-Packg.,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_501.jpg
ELLESSE,Rucksack,9.99,UVP28.00,,-64%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_506.jpg
KUNIBOO®,Baby-Wagenoverall,14.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_509.jpg
KUNIBOO®,Kinder-Schneestiefel,12.99,,,nur,je Paar,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_512.jpg
NEWCENTIAL®,Kinder-Funktionsstrümpfe,4.99,,,nur,je Paar,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_518.jpg
MOBIL,Motorenöl 10W-40 »2000X1«,22.22,UVP59.95,1 l = 3.71,-62%,je 6-l-Gebinde,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_521.jpg
ELLESSE,Damen-Leggings,12.99,UVP28.00,,-53%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_523.jpg
ZURU,Rainbocorns »Puppycorn«,9.99,UVP14.99,,-33%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_524.jpg
ELLESSE,Herren-Winterjacke,39.99,UVP115.00,,-65%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_526.jpg
NEWCENTIAL®,Herren-Funktionsstrümpfe,4.99,,,nur,je Paar,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_528.jpg
ELLESSE,Quartersocken,4.99,UVP12.00,,-58%,je 3 Paar,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_529.jpg
ELLESSE,Herren-Freizeitschuhe,19.99,UVP69.85,,-71%,je Paar,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_531.jpg
NEWCENTIAL®,Kinder-Strickmütze,3.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_538.jpg
NEWCENTIAL®,Damen-Thermo-Fleecejacke,6.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_539.jpg
TOWNLAND®,Herren-Strickfleece-Jacke,9.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_541.jpg
TOWNLAND®,Herren-Winterstiefel,14.99,,,nur,je Paar,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_551.jpg
ELLESSE,Herren-T-Shirt,9.99,UVP25.00,,-60%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_555.jpg
ELLESSE,Damen-Sweathose,19.99,UVP50.00,,-60%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_559.jpg
MOBIL,Motorenöl 5W-30 »3000XE«,33.33,UVP92.95,1 l = 5.56,-64%,je 6-l-Gebinde,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_563.jpg
ELLESSE,Damen-T-Shirt,9.99,UVP25.00,,-60%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_567.jpg
ELLESSE,Damen-Freizeitschuhe,19.99,UVP69.85,,-71%,je Paar,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_571.jpg
ELLESSE,Tennissocken,4.99,UVP12.00,,-58%,je 3 Paar,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_572.jpg
SARTI,Rosa,13.99,,1 l = 19.99,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_652.jpg
NESCAFÉ,Sticks,1.99,2.49,1 kg = 12.07 - 24.88,-20%,je 80 - 165-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_654.jpg
D'ARBO,Konfitüre,2.79,3.79,1 kg = 6.20 - 10.74,-26%,je 260 - 450-g-Glas,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_655.jpg
RAMAZZOTTI,Ital. Liköre oder Arancia Alkohlfrei,8.99,,1 l = 12.85,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_657.jpg
GLICO,Mikado-Sticks,1.11,,1 kg = 14.80,nur,je 75-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_658.jpg
HEIDEGRUND,Mettwurst,1.49,1.99,1 kg = 7.45,-25%,je 2 St. = 200-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_659.jpg
,Dtsch. Speisekartoffeln XXL,"2.99
*",,1 kg = 0.30,nur,je 10-kg-Sack,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_662.jpg
,"Chin. Pomelo gelb oder rot, lose",1.99,2.99,,-33%,je Stück,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_663.jpg
,Weltmeisterbrot,1.49,,1 kg = 1.99,nur,je 750-g-Stück,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_664.jpg
MILKA,Küchlein,1.99,2.89,1 kg = 11.38 - 14.22,-31%,je 5 - 9 St. = 140 - 175-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_665.jpg
CATSAN,Hygiene Plus Katzenstreu,4.99,6.95,1 l = 0.56,-28%,je 9-l-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_666.jpg
LE FILOU,Sweet,2.99,3.99,1 l = 3.99,-25%,"je 0,75-l-Fl.",Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_667.jpg
CHANTRÉ,Weinbrand,5.79,,1 l = 8.28,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_669.jpg
,Herbstkaktus,"4.44
*",,,nur,je,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_671.jpg
,Ital. Tafelbirnen Abate,2.29,2.99,1 kg = 3.28,-23%,je 700-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_672.jpg
MILKANA,Tolle Rolle oder Schmelzkäse-Zubereitung,1.79,,1 kg = 9.43 - 17.90,nur,je 100 - 190-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_673.jpg
,"Niederl./belg. Rispentomaten, lose",1.49,2.29,,-34%,je kg,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_674.jpg
GIOVANNI RANA,Gnocchi,1.99,2.99,1 kg = 4.98 - 7.11,-33%,je 280 - 400-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_675.jpg
DOMESTOS,WC-Gel Kraft & Frische,1.59,1.95,1 l = 2.12,-18%,je 750-ml-Fl.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_676.jpg
K-CLASSIC,Studentenfutter,1.79,,1 kg = 8.95,nur,je 200-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_677.jpg
MERCI,Petits,1.69,2.29,1 kg = 13.52,-26%,je 125-g-Beutel,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_679.jpg
MILCH-SCHNITTE,Snack,2.22,,1 kg = 7.93,nur,je 10 St. = 280-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_681.jpg
K-PURLAND,Kasseler Kotelett,5.49,7.89,,-30%,je kg,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_684.jpg
VOLVIC,Juicy,1.29,1.89,,-31%,je 1-l-PET-Fl.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_687.jpg
,Kalanchoe,"2.22
*",,,nur,je,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_688.jpg
KINDER,Country,1.99,,1 kg = 9.41,nur,"je 9 St. = 211,5-g-Packg.",Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_689.jpg
BREFOOD,Kaninchenkeulen,8.99,,,nur,je 1-kg-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_690.jpg
K-CLASSIC,Studentenfutter mit Erdnüssen,1.79,,1 kg = 8.95,nur,je 200-g-Beutel,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_691.jpg
