Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Tafelschokolade,Milka,"€ 0,99",,"1,99 €",,Nein,,,,images_lidl/lidl_offer_049.jpg
La Mia Familia Grande,Dr Oetker,"€ 3,19",,"UVP
4,19 €",,Nein,,,,images_lidl/lidl_offer_050.jpg
Pick Up,Leibniz,"€ 1,79",,"3,79 €",,Nein,,,,images_lidl/lidl_offer_051.jpg
Erfrischungsgetränk,Pepsi,"€ 0,88",,"UVP
1,49 €",,Nein,,,,images_lidl/lidl_offer_052.jpg
Selection Cashewkerne,Alesto,"€ 1,99",,1 kg = 9.95,,Nein,,,,images_lidl/lidl_offer_053.jpg
Actimel XXL,Danone,"€ 3,33",,1 kg = 2.78,,Nein,,,,images_lidl/lidl_offer_054.jpg
Bake Rolls,Tuc,"€ 1,49",,"UVP
2,19 €",,Nein,,,,images_lidl/lidl_offer_055.jpg
Original Irische Butter,Kerrygold,"€ 1,99",,"UVP
3,99 €",,Nein,,,,images_lidl/lidl_offer_056.jpg
Energy Drink,Red Bull,"€ 5,29",,"UVP
7,45 €",,Nein,,,,images_lidl/lidl_offer_057.jpg
Selection Walnusskerne,Alesto,"€ 1,99",,1 kg = 9.95,,Nein,,,,images_lidl/lidl_offer_058.jpg
Kekse,Oreo,"€ 1,19",,"UVP
1,89 €",,Nein,,,,images_lidl/lidl_offer_059.jpg
Haltbare Milch,Weihenstephan,"€ 0,99",,"1,69 €",,Nein,,,,images_lidl/lidl_offer_060.jpg
Prodomo,Dallmayr,"€ 7,99",,1 kg = 15.98,,Nein,,,,images_lidl/lidl_offer_061.jpg
Ice Cream Riegel,Snickers Twix Mars Bounty,"€ 2,29",,"UVP
3,69 €",,Nein,,,,images_lidl/lidl_offer_062.jpg
High Protein Vanilla Pudding,Ehrmann,"€ 0,99",,"1,49 €",,Nein,,,,images_lidl/lidl_offer_063.jpg
Coca-Cola,Coca-Cola,"€ 6,66",,1 l = 1.68,,Nein,,,,images_lidl/lidl_offer_064.jpg
Toilettenpapier,The Papermakers,"€ 5,99",,"UVP
8,49 €",,Nein,,,,images_lidl/lidl_offer_065.jpg
Hanuta,Hanuta,"€ 2,79",,"UVP
3,29 €",,Nein,,,,images_lidl/lidl_offer_066.jpg
Maxi King,Kinder,"€ 1,49",,"UVP
1,89 €",,Nein,,,,images_lidl/lidl_offer_067.jpg
Erfrischungsgetränk,Schweppes,"€ 1,59",,"UVP
1,99 €",,Nein,,,,images_lidl/lidl_offer_068.jpg
Sekt Ros,Fürst von Metternich,"€ 5,99",,"UVP
9,99 €",,Nein,,,,images_lidl/lidl_offer_069.jpg
Toasty,Tillman s,"€ 2,99",,"UVP
3,99 €",,Nein,,,,images_lidl/lidl_offer_070.jpg
Fruchtsnacks Erdbeere,Nutripur,"€ 5,99",,"UVP
8,99 €",,Nein,,,,images_lidl/lidl_offer_071.jpg
Waschmittel,Ariel,"€ 23,99",,1 WL = .24/ .22/ .30,,Nein,,,,images_lidl/lidl_offer_072.jpg
Finesse,Herta,"€ 1,39",,"UVP
2,59 €",,Nein,,,,images_lidl/lidl_offer_073.jpg
Reiniger,Sagrotan,"€ 2,79",,"UVP
3,29 €",,Nein,,,,images_lidl/lidl_offer_074.jpg
Thunfisch Filets,Nixe,"€ 0,99",,"1,29 €",,Nein,,,,images_lidl/lidl_offer_075.jpg
Sojasauce XXL,Kania,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_076.jpg
Spaghetti XXL,Combino,"€ 0,69",,1 kg = 1.15,,Nein,,,,images_lidl/lidl_offer_077.jpg
Geflügel Fisch Variation,Sheba,"€ 21,49",,"UVP
37,99 €",,Nein,,,,images_lidl/lidl_offer_078.jpg
Shampoo,Pantene Pro-V,"€ 8,89",,"UVP
11,99 €",,Nein,,,,images_lidl/lidl_offer_079.jpg
Pils,Beck s,"€ 3,95",,"UVP
5,40 €",,Nein,,,,images_lidl/lidl_offer_080.jpg
Schokolade XXL,Kinder,"€ 5,79",,1 kg = 12.87,,Nein,,,,images_lidl/lidl_offer_081.jpg
Aloe Vera Getränk XXL,Solevita,"€ 2,49",,1 l = 1.66,,Nein,,,,images_lidl/lidl_offer_082.jpg
Anti-Schuppen Shampoo XXL,Head Shoulders,"€ 9,99",,"UVP
12,49 €",,Nein,,,,images_lidl/lidl_offer_083.jpg
Burgerbrötchen XXL,Grafschafter,"€ 1,19",,1 kg = 2.64,,Nein,,,,images_lidl/lidl_offer_084.jpg
Duplo Riegel,Kinder,"€ 5,39",,1 kg = 14.81/12.83,,Nein,,,,images_lidl/lidl_offer_085.jpg
Jaffa Cake Orange XXL,Sondey,"€ 2,59",,1 kg = 5.76,,Nein,,,,images_lidl/lidl_offer_086.jpg
Fertiggericht,Youcook,"€ 3,79",,"4,79 €",,Nein,,,,images_lidl/lidl_offer_087.jpg
Delikatess Salami ummantelt XXL,Dulano,"€ 2,29",,1 kg = 15.27,,Nein,,,,images_lidl/lidl_offer_088.jpg
Teigwaren XXL,Hilcona,"€ 3,29",,1 kg = 4.39,,Nein,,,,images_lidl/lidl_offer_089.jpg
Käse-Snack Bergkäse,Milbona,"€ 2,19",,1 kg = 9.95,,Nein,,,,images_lidl/lidl_offer_090.jpg
Knacker XXL,Dulano,"€ 6,49",,1 kg = 5.41,,Nein,,,,images_lidl/lidl_offer_091.jpg
Delikatess Bacon XXL,Dulano,"€ 2,29",,1 kg = 11.45,,Nein,,,,images_lidl/lidl_offer_092.jpg
Jogobella Fruchtjoghurt,Zott,"€ 0,39",,"UVP
0,89 €",,Nein,,,,images_lidl/lidl_offer_093.jpg
Körniger Frischkäse XXL,Milbona,"€ 1,99",,1 kg = 4.98,,Nein,,,,images_lidl/lidl_offer_094.jpg
Schlemmerfilet,Nordsee,"€ 2,79",,"UVP
3,99 €",,Nein,,,,images_lidl/lidl_offer_095.jpg
Fischröllchen,Lysell,"€ 1,69",,"UVP
2,99 €",,Nein,,,,images_lidl/lidl_offer_096.jpg
Baiocchi,Baiocchi,"€ 1,99",,"UVP
2,49 €",,Nein,,,,images_lidl/lidl_offer_097.jpg
Coca-Cola Fanta,Coca-Cola Fanta,"€ 3,99",,1 l = 2.02,,Nein,,,,images_lidl/lidl_offer_098.jpg
Amaro,Ramazzotti,"€ 9,99",,"13,99 €",,Nein,,,,images_lidl/lidl_offer_099.jpg
Fruchtgummi,Trolli,"€ 0,79",,"UVP
1,09 €",,Nein,,,,images_lidl/lidl_offer_100.jpg
Schmelzkäse,Milkana,"€ 1,99",,"UVP
2,69 €",,Nein,,,,images_lidl/lidl_offer_101.jpg
Fruchtnektar,Pfanner,"€ 1,29",,"UVP
1,99 €",,Nein,,,,images_lidl/lidl_offer_102.jpg
Yogurette,Yogurette,"€ 1,69",,1 kg = 13.52,,Nein,,,,images_lidl/lidl_offer_103.jpg
Maria Kekse XXL,Sondey,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_104.jpg
Monte Mega,Zott,"€ 1,69",,"UVP
2,99 €",,Nein,,,,images_lidl/lidl_offer_105.jpg
Haselnusscreme,Milka,"€ 3,99",,"UVP
5,29 €",,Nein,,,,images_lidl/lidl_offer_106.jpg
Cashewkerne,Alesto,"€ 1,99",,1 kg = 13.27,,Nein,,,,images_lidl/lidl_offer_107.jpg
Creme-Dusche Duschgel,Palmolive,"€ 1,99",,"UVP
3,39 €",,Nein,,,,images_lidl/lidl_offer_108.jpg
Delikatess Mini-Wiener Klassik,Dulano,"€ 2,49",,1 kg = 7.78,,Nein,,,,images_lidl/lidl_offer_109.jpg
Delikatess Schinkenfleischwurst,Dulano,"€ 3,29",,1 kg = 5.06,,Nein,,,,images_lidl/lidl_offer_110.jpg
Delikatess Geflügel-Wiener,Dulano,"€ 2,59",,1 kg = 8.63,,Nein,,,,images_lidl/lidl_offer_111.jpg
Bayerischer Leberkäse,Dulano,"€ 3,49",,1 kg = 9.97/8.73,,Nein,,,,images_lidl/lidl_offer_112.jpg
Mini Rostbratwurst,Dulano,"€ 2,79",,1 kg = 9.30,,Nein,,,,images_lidl/lidl_offer_113.jpg
Delikatess Frikadellen,Dulano,"€ 2,79",,1 kg = 5.58/6.20,,Nein,,,,images_lidl/lidl_offer_114.jpg
Corned Turkey,Dulano,"€ 2,99",,1 kg = 14.95,,Nein,,,,images_lidl/lidl_offer_115.jpg
Rindersaftschinken,Dulano,"€ 2,49",,1 kg = 24.90,,Nein,,,,images_lidl/lidl_offer_116.jpg
Delikatess Leichte Schinkenwürfel,Dulano,"€ 2,39",,1 kg = 15.93,,Nein,,,,images_lidl/lidl_offer_117.jpg
Bierschinken,Dulano,"€ 1,19",,1 kg = 7.93,,Nein,,,,images_lidl/lidl_offer_118.jpg
Geflügel Brühwurst Stapelpack,Dulano,"€ 1,29",,1 kg = 6.45,,Nein,,,,images_lidl/lidl_offer_119.jpg
Lyoner Klassik,Dulano,"€ 0,89",,1 kg = 4.45,,Nein,,,,images_lidl/lidl_offer_120.jpg
Selection Prosciutto Cotto,Dulano,"€ 2,39",,1 kg = 11.95,,Nein,,,,images_lidl/lidl_offer_121.jpg
Aspik Wurstsortiment,Dulano,"€ 2,19",,1 kg = 10.95,,Nein,,,,images_lidl/lidl_offer_122.jpg
Delikatess Hähnchenbrust,Dulano,"€ 1,49",,1 kg = 18.63,,Nein,,,,images_lidl/lidl_offer_123.jpg
Mini-Streichzwerge,Dulano,"€ 1,49",,1 kg = 11.46,,Nein,,,,images_lidl/lidl_offer_124.jpg
Leberwurst,Dulano,"€ 1,39",,1 kg = 5.56,,Nein,,,,images_lidl/lidl_offer_125.jpg
Gekochter Schweinebauch,Dulano,"€ 3,99",,1 kg = 13.30,,Nein,,,,images_lidl/lidl_offer_126.jpg
Kashkaval Käse,Milbona,"€ 3,99",,"4,99 €",,Nein,,,,images_lidl/lidl_offer_127.jpg
Sandwich Scheiben,Milbona,"€ 1,99",,"2,49 €",,Nein,,,,images_lidl/lidl_offer_128.jpg
Gouda Jung,Milbona,"€ 1,99",,"2,45 €",,Nein,,,,images_lidl/lidl_offer_129.jpg
Mozzarella,Milbona,"€ 1,49",,"1,79 €",,Nein,,,,images_lidl/lidl_offer_130.jpg
Hirtenkäse,Milbona,"€ 1,49",,"1,79 €",,Nein,,,,images_lidl/lidl_offer_131.jpg
Mascarpone,Milbona,"€ 1,49",,1 kg = 5.96,,Nein,,,,images_lidl/lidl_offer_132.jpg
Cheddar,Deluxe,"€ 2,49",,1 kg = 9.96,,Nein,,,,images_lidl/lidl_offer_133.jpg
Käse für den Ofen,Milbona,"€ 1,79",,"2,29 €",,Nein,,,,images_lidl/lidl_offer_134.jpg
Backkäse,Milbona,"€ 2,49",,1 kg =7.11/8.30,,Nein,,,,images_lidl/lidl_offer_135.jpg
Norwegische Lachsfilet-Portionen,Fischerstolz,"€ 9,49",,1 kg = 18.98,,Nein,,,,images_lidl/lidl_offer_136.jpg
ASC Frische Regenbogenforelle,Fischerstolz,"€ 6,00",,11.99 €/kg,,Nein,,,,images_lidl/lidl_offer_137.jpg
ASC Frisches Lachsforellenfilet,Fischerstolz,"€ 3,79",,1 kg = 21.06,,Nein,,,,images_lidl/lidl_offer_138.jpg
Norwegische Lachsfilet-Portion,Fischerstolz,"€ 5,79",,1 kg = 19.30,,Nein,,,,images_lidl/lidl_offer_139.jpg
Bio Lachsfilet-Portion,Fischerstolz,"€ 6,49",,1 kg = 32.45,,Nein,,,,images_lidl/lidl_offer_140.jpg
Bio Lachsfilet-Portionen,Fischerstolz,"€ 13,99",,1 kg = 27.98,,Nein,,,,images_lidl/lidl_offer_141.jpg
Norwegisches Ganzes Lachsfilet,Fischerstolz,"€ 16,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_142.jpg
Grünpflanze in pastellfarbener Keramik,Grünpflanze in pastellfarbener Keramik,"€ 5,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_143.jpg
Blumenzwiebeln Begonien,Grandiol,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_144.jpg
Tulpenstrauß XXL,Tulpenstrauß XXL,"€ 7,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_145.jpg
Hyazinthe im Vierecktopf,Hyazinthe im Vierecktopf,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_146.jpg
Mini-Sukkulente in Keramik,Mini-Sukkulente in Keramik,"€ 2,49",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_147.jpg
Bio Gärtnererde,Parkside,"€ 3,49",,1 l = 0.19,,Nein,,,,images_lidl/lidl_offer_148.jpg
Raumentfeuchter Zitronenduft,W5,"€ 6,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_149.jpg
Auto-Lufterfrischer,California Scents,"€ 2,99",,"UVP
3,99 €",,Nein,,,,images_lidl/lidl_offer_150.jpg
Allzweck-Papiertücher,W5,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_151.jpg
