Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Müller Just Food Trinkmahlzeit,Keine Marke,"€ 2,99",Kein vorheriger Preis,5.98 / l,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_066.png,0
Weihenstephan Haltbare Milch,Keine Marke,"€ 1,2","€ 1,79",Kein Mengenpreis,"1,5% oder 3,5% Fett",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_065.png,0
Cheestrings,Keine Marke,"€ 1,99","€ 2,29",24.88 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_064.png,0
Schokolierte Früchte,Keine Marke,"€ 3,0",Kein vorheriger Preis,23.- / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_063.png,0
Ital Pizza La Bomba,Keine Marke,"€ 3,0",Kein vorheriger Preis,6.43 - 6.80 / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_062.png,0
Blätterteig,Keine Marke,"€ 0,9","€ 0,99",3.24 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_069.png,0
Frischer Kakao,Keine Marke,"€ 1,49",Kein vorheriger Preis,Kein Mengenpreis,gekühlt,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_077.png,0
Quarki,Keine Marke,"€ 1,7",Kein vorheriger Preis,16.10 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_078.png,0
Weizenbaguette,Keine Marke,"€ 0,56",Kein vorheriger Preis,2.20 / kg,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_079.png,0
Landgut Hähnchen Innereien oder Hähnchen Herzen,Keine Marke,"€ 1,7","€ 1,99",3.38 / kg,tiefgekühlt,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_070.png,0
Ermitage Raclette Scheiben,Keine Marke,"€ 4,0",Kein vorheriger Preis,9.98 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_073.png,0
Loose Quäse,Keine Marke,"€ 2,29",Kein vorheriger Preis,10.41 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_074.png,0
Schlemmerfilet,Keine Marke,"€ 2,22",Kein vorheriger Preis,5.55 / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_071.png,0
Entenbrustfilet,Keine Marke,"€ 4,44",Kein vorheriger Preis,14.80 / kg,"tiefgekühlt, mariniert Regionale Verpackungsabweichungen möglich",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_072.png,0
Apfeltasche,Keine Marke,"€ 0,39",Kein vorheriger Preis,Kein Mengenpreis,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_085.png,0
Buttercroissant,Keine Marke,"€ 0,33","€ 0,49",Kein Mengenpreis,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_086.png,0
Pistaziencreme,Keine Marke,"€ 3,49",Kein vorheriger Preis,17.45 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_087.png,0
Herzwaffeln,Keine Marke,"€ 1,5","€ 1,79",9.03 / kg,Vanille oder Kakao,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_088.png,0
Franzbrötchen Creme,Keine Marke,"€ 4,49",Kein vorheriger Preis,22.45 / kg,mit Zimtgeschmack,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_089.png,0
Barista Dessert,Keine Marke,"€ 1,8",Kein vorheriger Preis,23.87 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_090.png,0
Genussmomente Quarkcreme,Keine Marke,"€ 0,9","€ 0,99",3.56 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_091.png,0
Premium Knusper Müsli,Keine Marke,"€ 2,23","€ 2,59",4.44 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_092.png,0
Proscuitto Cotto Alta Qualita,Keine Marke,"€ 2,0",Kein vorheriger Preis,18.09 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_093.png,0
Bresaola mit Parmesan und Öl,Keine Marke,"€ 3,49",Kein vorheriger Preis,46.53 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_094.png,0
Steinofenbaguette,Keine Marke,"€ 0,99","€ 1,19",3.96 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_095.png,0
Weizenmischbrot,Keine Marke,"€ 1,49",Kein vorheriger Preis,Kein Mengenpreis,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_080.png,0
Laugenbreze,Keine Marke,"€ 1,56","€ 1,56",Kein Mengenpreis,Einzelpreis: 0.39 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_081.png,0
Geflügelrolle,Keine Marke,"€ 1,0",Kein vorheriger Preis,Kein Mengenpreis,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_082.png,0
Apostels Zaziki,Keine Marke,"€ 2,0",Kein vorheriger Preis,3.98 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_075.png,0
Antipasti,Keine Marke,"€ 2,0",Kein vorheriger Preis,16.58 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_076.png,0
Triasso Rosso Biologico,Keine Marke,"€ 4,0","€ 4,99",5.32 / l,"Italien, Rotwein, halbtrocken",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_100.png,0
Doppio Passo Prosecco DOC Spumante Extra Dry,Keine Marke,"€ 5,0",Kein vorheriger Preis,6.65 / l,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_099.png,0
Entrecote Merlot Cabernet Syrah,Keine Marke,"€ 4,0",Kein vorheriger Preis,5.32 / l,"Frankreich, Rotwein, halbtrocken",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_101.png,0
Geschenkpackung Rietburg meets Ritzenhoff,Keine Marke,"€ 20,0",Kein vorheriger Preis,13.33 / l,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_102.png,0
Bushmills 10 Years,Keine Marke,"€ 25,0",Kein vorheriger Preis,35.70 / l,"Single Malt Irish Whiskey, 40% Vol. 1 Glas GRATIS!",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_105.png,0
Metaxa 12 Sterne,Keine Marke,"€ 28,0",Kein vorheriger Preis,39.99 / l,40% Vol. 1 Glas GRATIS!,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_106.png,0
Grey Grauburgunder Qualitätswein,Keine Marke,"€ 4,0","€ 4,99",5.32 / l,"Deutschland, Rheinhessen, Weißwein, trocken",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_103.png,0
Felsengraf Trollinger mit Lemberger Qualitätswein,Keine Marke,"€ 3,49","€ 4,29",Kein Mengenpreis,"Deutschland, Württemberg, Rotwein, halbtrocken",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_104.png,0
Laphroaig Oak Select,Keine Marke,"€ 25,0",Kein vorheriger Preis,35.70 / l,"Islay Single Malt Scotch Whisky, 40%Vol. 1 Glas GRATIS!",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_109.png,0
Johnnie Walker Black Label,Keine Marke,"€ 20,0",Kein vorheriger Preis,28.56 / l,"Blended Scotch Whisky, 40% Vol. 1 Glas GRATIS!",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_110.png,0
Spekulatius,Keine Marke,"€ 3,0","€ 3,384,98",2.49 – 5.98 / kg,versch. Sorten Einzelpreis: 1.69 – 2.49 (2.81 – 9.96 / kg),Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_111.png,0
Schokolierte Marzipankugel,Keine Marke,"€ 1,5","€ 1,99",16.56 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_112.png,0
Dominosteine,Keine Marke,"€ 2,99","€ 3,49",11.96 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_113.png,0
Vadossi Stollenkonfekt,Keine Marke,"€ 2,8","€ 3,19",7.97 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_114.png,0
Jack Daniel’s Gentleman Jack Tennessee Whiskey,Keine Marke,"€ 20,0",Kein vorheriger Preis,28.56 / l,40% Vol. 1 Glas GRATIS!,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_107.png,0
The Kraken Black Spiced,Keine Marke,"€ 20,0",Kein vorheriger Preis,28.56 / l,"Black Spiced, 40% Vol. 1 Glas GRATIS!",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_108.png,0
Schokololly,Keine Marke,"€ 1,69","€ 2,49",11.27 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_116.png,0
"Hanuta Waffel, Hanuta Riegel Duplo oder Kinder Bueno",Keine Marke,"€ 7,0","€ 8,678,97",10.59 – 19.91 / kg,Einzelpreis: 2.89 – 2.99 (13.59 – 25.56 / kg),Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_115.png,0
Milka Weihnachtsmann,Keine Marke,"€ 1,49","€ 1,89",33.11 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_119.png,0
Ferrero Küsschen,Keine Marke,"€ 3,0","€ 3,99",16.80 – 17.38 / kg,"feine Nuss-Spezialitäten, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_117.png,0
Kinder Weihnachtsmann,Keine Marke,"€ 1,8","€ 1,99",32.55 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_120.png,0
Kinder Cards,Keine Marke,"€ 2,3","€ 2,89",15.27 – 17.89 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_121.png,0
Lindt Williams Fläschchen,Keine Marke,"€ 5,79","€ 6,49",44.20 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_123.png,0
Duplo Knusperperlen,Keine Marke,"€ 2,5","€ 2,79",25.54 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_118.png,0
Lindt Winterhaus,Keine Marke,"€ 5,3","€ 5,99",77.79 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_124.png,0
Lindt Weihnachtszauber Mini Pralines,Keine Marke,"€ 6,69","€ 7,49",66.90 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_125.png,0
Lindt Köcher Mischung,Keine Marke,"€ 7,49","€ 8,49",49.93 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_127.png,0
Mini Blätterteighäppchen,Keine Marke,"€ 3,0",Kein vorheriger Preis,9.97 / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_096.png,0
Frischer Direktsaft,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,100% direkt gepresst,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_097.png,0
Frischkäse/-zubereitung,Keine Marke,"€ 1,8",Kein vorheriger Preis,19.89 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_098.png,0
Backstube Holzofenpinsa Salami,Keine Marke,"€ 1,19",Kein vorheriger Preis,Kein Mengenpreis,knusprig dünner Pinsateig belegt mit Salami Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_083.png,0
Weißwurst Dog,Keine Marke,"€ 1,0",Kein vorheriger Preis,Kein Mengenpreis,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_084.png,0
Lego,Keine Marke,"€ 8,0",Kein vorheriger Preis,Kein Mengenpreis,versch. Ausführungen,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_132.png,0
Miniverse Food Café,Keine Marke,"€ 8,0",Kein vorheriger Preis,Kein Mengenpreis,"Kreatives Spielerlebnis, inkl. Pinzette, Teller/Gefäß, Besteck, Untersetzer",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_131.png,0
Verträumter Dino oder magisches Einhorn,Keine Marke,"€ 25,0","€ 59,90",Kein Mengenpreis,"helfen deinem Kind dabei schnell, entspannt und geborgen einzuschlafen, 100% Polyester",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_130.png,0
Baggerlader,Keine Marke,"€ 25,0",Kein vorheriger Preis,Kein Mengenpreis,"drehbarer Fahrersitz, voll funktionsfähiger Heckbagger, ca. 42 cm Maßstab 1:16",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_129.png,0
Lindt Für Kenner Nougat,Keine Marke,"€ 8,0","€ 8,99",63.92 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_128.png,0
Plüsch Raupe,Keine Marke,"€ 18,0","€ 24,95",Kein Mengenpreis,"waschbar bis 30 Grad, Länge ca. 150 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_137.png,0
150 Spiele Sammlung,Keine Marke,"€ 8,0",Kein vorheriger Preis,Kein Mengenpreis,"Spielesammlung mit 150 Spielen, 1 – 8 Spieler ab 6 Jahre",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_133.png,0
Mini Memory,Keine Marke,"€ 8,0",Kein vorheriger Preis,Kein Mengenpreis,versch. Ausführungen,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_134.png,0
Tannenbaum,Keine Marke,"€ 20,0",Kein vorheriger Preis,Kein Mengenpreis,"Nordmanntanne, ca. 150-175 cm hoch,",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_141.png,0
Baumlichterkette mit 400 LEDs,Keine Marke,"€ 15,0",Kein vorheriger Preis,Kein Mengenpreis,"für den Innenund Außenbereich, 4-stufig dimmbar, inkl. Fernbedienung und Netzteil, mit Timerfunktion, 5 einzelne Stränge von ca. 100 bis ca. 300 cm Länge Beim Kauf einer Nordmanntanne auf die Dekor Baumlichterkette 33% Rabatt mit der Netto plus App!",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_142.png,0
LED Baumkerzen,Keine Marke,"€ 20,0",Kein vorheriger Preis,Kein Mengenpreis,"15 kabellose LED-Kerzen, für den Innenbereich, inkl. Batterien und Fernbedienung Maße: ca. 10,5 x 1,5 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_143.png,0
LED Porzellanfigur,Keine Marke,"€ 5,0",Kein vorheriger Preis,Kein Mengenpreis,"mit Timerfunktion, inkl. Batterien, Höhe: ca. 20 – 25 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_144.png,0
Weihnachtskugel mit Leuchteffekt,Keine Marke,,Kein vorheriger Preis,Kein Mengenpreis,"für den Innenbereich, inkl. Knopfzelle, Ø ca. 8 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_145.png,0
"RC Fahrzeug, vers., 2,4 GHz",Keine Marke,"€ 15,0","€ 25,99",Kein Mengenpreis,"Fahrzeit: ca. 80 Minuten, Geschwindigkeit: ca. 9 km/h, originalgetreue Lackierung",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_138.png,0
Tut Tut Baby Flitzer,Keine Marke,"€ 8,0",Kein vorheriger Preis,Kein Mengenpreis,versch. Fahrzeuge,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_135.png,0
Die Eiskönigin - Puppe,Keine Marke,"€ 18,0",Kein vorheriger Preis,Kein Mengenpreis,"Anna oder Elsa, ca. 35 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_136.png,0
Batterien,Keine Marke,,Kein vorheriger Preis,Kein Mengenpreis,AA oder AAA,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_148.png,0
Geschenkkugel aus Glas,Keine Marke,,Kein vorheriger Preis,Kein Mengenpreis,"zum Öffnen, Befüllen und Aufhängen, Ø ca. 8 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_147.png,0
Corona Extra oder Cero,Keine Marke,"€ 5,99",Kein vorheriger Preis,2.81 / l,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_151.png,0
Christbaumständer,Keine Marke,"€ 18,0",Kein vorheriger Preis,Kein Mengenpreis,"Baumhöhe bis ca. 2,25 m, Durchmesser Stamm: ca. 3 – 11 cm, 2 Liter Wassertank mit Fußhebel und Einseiltechnik",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_150.png,0
Bayreuther Hell,Keine Marke,"€ 14,99",Kein vorheriger Preis,1.50 / l,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_152.png,0
Mönchshof Weihnachtsbier,Keine Marke,"€ 12,99",Kein vorheriger Preis,1.30 / l,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_153.png,0
Limonaden,Keine Marke,"€ 6,49","€ 8,49",0.65 / l,Zitrone oder Orange,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_154.png,0
Strong,Keine Marke,"€ 0,65",Kein vorheriger Preis,1.30 / l,"7,9 % Alkohol",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_155.png,0
Karlsberg Mixery,Keine Marke,"€ 0,99",Kein vorheriger Preis,1.98 / l,"teilw. taurin- & koffeinhaltig, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_157.png,0
Energy Drink,Keine Marke,"€ 0,66",Kein vorheriger Preis,2.- / l,"taurin- und koffeinhaltig, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_158.png,0
Valensina,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_159.png,0
Faber Sekt,Keine Marke,"€ 2,8","€ 3,79",3.72 / l,"halbtrocken oder Light Live alkoholfrei, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_160.png,0
Orangina Limonaden,Keine Marke,"€ 0,99",Kein vorheriger Preis,1.98 / l,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_161.png,0
LED Lamettabaum,Keine Marke,"€ 20,0",Kein vorheriger Preis,Kein Mengenpreis,"für den Innen- und Außenbereich, mit Timerfunktion, inkl. Erdspießen zur Befestigung im Außenbereich, inkl. Batterien Maße: ca. H 175 x Ø 30 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_146.png,0
Blind Pack Marvel oder Stitch,Keine Marke,,"€ 3,49",Kein Mengenpreis,zum Sammeln und Spielen,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_139.png,0
Glücksbärchi,Keine Marke,"€ 15,0","€ 18,99",Kein Mengenpreis,"3 versch. Charaktere, ca. 25 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_140.png,0
Almdudler,Keine Marke,"€ 1,69",Kein vorheriger Preis,1.13 / l,"Kräuterlimonade, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_164.png,0
Baileys Original Irish Cream,Keine Marke,"€ 14,0",Kein vorheriger Preis,Kein Mengenpreis,"Likör, 17% Vol.",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_163.png,0
Gorbatschow Wodka,Keine Marke,"€ 6,5","€ 9,79",9.27 / l,"37,5% Vol.",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_162.png,0
Ingwer-Shot,Keine Marke,"€ 3,49",Kein vorheriger Preis,6.98 / l,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_165.png,0
Meridol oder Elmex Zahncreme,Keine Marke,"€ 7,0",Kein vorheriger Preis,46.60 / l,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_169.png,0
Perfect Fit Katzen-Trockennahrung,Keine Marke,"€ 3,0","€ 3,99",3.99 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_166.png,0
Vitakraft Poesie Katzennahrung,Keine Marke,"€ 4,0",Kein vorheriger Preis,3.91 / kg,Multipack in Sauce,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_167.png,0
Vitakraft Hundesnack,Keine Marke,"€ 4,49",Kein vorheriger Preis,17.96 - 22.45 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_168.png,0
