Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
HEAD & SHOULDERS,Shampoo XXL,"€ 8,88",,1 l = 11.10,nur,je 800-ml-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_315.jpg,1
Keine Marke,"Ital. Kiwi, lose","€ 0,39",0.59,Kein Mengenpreis,-33%,je Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_55.jpg,1
HANUTA,Haselnuss-Schnitten,"€ 1,99",2.99,1 kg = 9.05,-33%,je 10 St. = 220-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_221.jpg,1
Keine Marke,Span. Zitronen XXL,"€ 1,49",2.29,1 kg = 1.99,-34%,je 750-g-Netz,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_51.jpg,1
Keine Marke,Span. Clementinen XXL,"€ 3,99",5.99,1 kg = 1.74,-33%,"je 2,3-kg-Kiste",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_48.jpg,1
K-BLUE BAY,Knusper-Backfisch XXL,"€ 5,49",,1 kg = 9.81,nur,je 2 St. = 560-g-Großpackg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_115.jpg,1
HILCONA,Tortelloni oder Gnocchi XXL,"€ 2,99",,1 kg = 3.99,nur,je 750-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_155.jpg,1
IBIS,Crêpes,"€ 1,49",2.29,1 kg = 8.28,-34%,je 6 St. = 180-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_183.jpg,1
Keine Marke,Chicken Nuggets XXL,"€ 5,99",,Kein Mengenpreis,nur,je 1-kg-Großpackg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_93.jpg,1
K-PURLAND,Hähnchen-Schenkel XXL,"€ 6,79",,1 kg = 3.40,nur,je 2-kg-Großpackg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_92.jpg,1
K-PURLAND,Hähnchen-Ministeaks XXL,"€ 6,99",,1 kg = 8.74,nur,je 800-g-Großpackg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_91.jpg,1
ANAF,Feuerlöscher »PS1-X ABC«,"€ 9,99",,Kein Mengenpreis,"nur; 7.99€, mit Kaufland Card",je 1-kg-Flasche,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_41.jpg,1
Keine Marke,Peruan./südafrik. Kulturheidelbeeren XXL,"€ 3,79",,1 kg = 7.58,nur,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_76.jpg,1
BAUER,»Der Große Bauer« Fruchtjoghurt,"€ 0,44",0.99,1 kg = 1.76 - 1.96,-55%,je 225 - 250-g-Becher,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_02.jpg,0
HOUDEK,Kabanos Klassik,"€ 1,11",2.29,Kein Mengenpreis,-51%,je 100 g,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_05.jpg,0
K-CLASSIC,Harzer Minis,"€ 0,99",1.29,1 kg = 8.61,-23%,je 115-g-Packg.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_531.jpg,0
IGLO,Schlemmer-Filet,"€ 2,69",,1 kg = 7.08 / 1 kg = 6.56**,"nur; 2.49€, mit Kaufland Card",je 380-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_25.jpg,0
KNACK & BACK,Frischteig-Produkt,"€ 2,29",,1 kg = 3.82 - 8.81 / 1 kg = 3.32 - 7.66**,"nur; 1.99€, mit Kaufland Card",je 260 - 600-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_26.jpg,0
KÄFER,Caffè Crema Lungo oder Espresso Forte,"€ 11,99",,Kein Mengenpreis,"nur; 10.99€, mit Kaufland Card",je 1-kg-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_28.jpg,0
NESQUIK,Getränkepulver,"€ 1,99",,1 kg = 5.69 / 1 kg = 5.12**,"nur; 1.79€, mit Kaufland Card",je 350-g-Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_29.jpg,0
KINDER,Joy,"€ 1,11",,1 kg = 55.50 / 1 kg = 49.50**,"nur; 0.99€, mit Kaufland Card",je 20-g-Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_31.jpg,0
LINDT,Weihnachtsmischung,"€ 4,99",7.49,1 kg = 38.99 / 1 kg = 29.61**,"-33%; 3.79€, mit Kaufland Card",je 128-g-Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_32.jpg,0
HARIBO,Christmas Minis,"€ 1,79",2.99,1 kg = 7.16 / 1 kg = 6.36**,"-40%; 1.59€, mit Kaufland Card",je 250-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_33.jpg,0
RAUCH,Happy Day,"€ 1,99",,Kein Mengenpreis,"nur; 1.79€, mit Kaufland Card",je 1-l-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_34.jpg,0
OUZO OF PLOMARI,Griech. Anisspirituose,"€ 8,99",,1 l = 12.85 / 1 l = 11.42**,"nur; 7.99€, mit Kaufland Card","je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_35.jpg,0
DOPPIO PASSO,Primitivo Rosato IGT,"€ 4,99",,1 l = 6.66 / 1 l = 5.99**,"nur; 4.49€, mit Kaufland Card","je 0,75-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_36.jpg,0
PHILIPS,Sonicare elektr. Zahnbürste 4100,"€ 45,00",,Kein Mengenpreis,"nur; 39.99
*€, mit Kaufland Card",je Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_37.jpg,0
ARIEL,Voll- oder Colorwaschmittel,"€ 16,49",,pro Anwendung = 0.17 - 0.22 / pro Anwendung = 0.16 - 0.21**,"nur; 15.99
*€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_38.jpg,0
BRAUN,Reinigungskartuschen für Reinigungsstationen,"€ 24,99",UVP29.99,1 l = 18.38 / 1 l = 13.23**,"-16%; 17.99€, mit Kaufland Card",je 8-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_39.jpg,0
Keine Marke,Ital. Babyspinat,"€ 0,79",0.99,1 kg = 5.27,-20%,je 150-g-Packg.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_551.jpg,0
FROSTA,Gemüse,"€ 1,88",3.69,1 kg = 3.14 - 3.92,-49%,je 480 - 600-g-Packg.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_07.jpg,0
GRANINI,Trinkgenuss,"€ 1,39",2.69,Kein Mengenpreis,-48%,je 1-l-PET-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_08.jpg,0
Keine Marke,Span. Clementinen,"€ 2,49",3.29,1 kg = 3.32,-24%,je 750-g-Netz,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_72.jpg,0
Keine Marke,Franz. Gourmet-Kartoffeln,"€ 1,99",2.99,1 kg = 1.33,-33%,"je 1,5-kg-Packg.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_73.jpg,0
Keine Marke,Port. Tafelbirnen Rocha,"€ 1,99",2.99,Kein Mengenpreis,-33%,je 1-kg-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_75.jpg,0
DENVER,Smartwatch »SWC-387«,"€ 19,99",UVP69.95,Kein Mengenpreis,"-71%; 17.99€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_40.jpg,0
CARROMCO,Multigame-Tisch 15 in 1 »Multifun-XT«,"€ 139,00",UVP279.95,Kein Mengenpreis,"-50%; 122.00€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_42.jpg,0
Keine Marke,Niederl./dtsch. Rosenkohl,"€ 0,69",1.49,1 kg = 0.92,-53%,je 750-g-Netz,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_04.jpg,0
K-CLASSIC,Baguettes oder Brötchen,"€ 0,49",0.69,1 kg = 1.64,-28%,je 300-g-Packg.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_556.jpg,0
DAFGARDS,Köttbullar oder Falafel,"€ 5,99",8.99,Kein Mengenpreis,-33%,je 1-kg-Packg.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_557.jpg,0
KINDER,Kinderini,"€ 2,79",,1 kg = 11.16,nur,je 250-g-Beutel,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_558.jpg,0
K-CLASSIC,Gouda jung,"€ 3,33",,1 kg = 7.40,nur,je 450-g-Stück,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_559.jpg,0
FREIXENET,Mederaño oder Mia,"€ 2,88",,1 l = 3.84,nur,"je 0,75-l-Fl.",Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_560.jpg,0
KUSCHELWEICH,Weichspüler,"€ 1,29",,pro Anwendung = 0.04,nur,je 1-l-Fl.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_562.jpg,0
Keine Marke,Adventskranz,"€ 14,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_564.jpg,0
Keine Marke,Ital. Rucola oder Pflücksalat,"€ 0,79",0.99,1 kg = 6.32,-20%,je 125-g-Packg.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_565.jpg,0
MERCI,Finest Selection Großpackung,"€ 5,99",8.49,1 kg = 14.98,-29%,je 400-g-Packg.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_566.jpg,0
Keine Marke,Schnittgrün Handbund,"€ 3,49",,1 kg = 5.37,nur,je 650-g-Bund,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_568.jpg,0
K-PURLAND,Rinderfilet am Stück,"€ 29,98",,entspr. z. B. für ein 800-g-Stück 23.99,nur,je kg,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_87.jpg,0
K-PURLAND,Rindergulasch,"€ 6,49",7.89,1 kg = 12.98,-17%,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_88.jpg,0
K-PURLAND,Tafelspitz vom Jungbullen,"€ 14,99",,Kein Mengenpreis,nur,je kg,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_89.jpg,0
K-PURLAND,Merguez Rindsbratwurst,"€ 3,29",3.75,1 kg = 10.97,-12%,je 5 St. = 300-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_90.jpg,0
Keine Marke,Peruan./ südafrik. Avocados,"€ 1,99",2.79,1 kg = 3.98,-28%,je 500-g-Netz,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_57.jpg,0
Keine Marke,"Ital. Endiviensalat, lose","€ 1,29",1.79,Kein Mengenpreis,-27%,je Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_58.jpg,0
Keine Marke,Niederl./belg. Cocktailrispentomaten,"€ 1,99",2.79,1 kg = 3.98,-28%,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_59.jpg,0
Keine Marke,Demeter dtsch. Pastinaken oder Petersilienwurzeln,"€ 1,79",2.49,1 kg = 5.97,-28%,je 300-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_60.jpg,0
Keine Marke,"Chin. Ingwer, lose","€ 0,39",0.59,Kein Mengenpreis,-33%,je 100 g,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_61.jpg,0
Keine Marke,"Dtsch./niederl. Zwiebeln, rot","€ 0,99",1.29,Kein Mengenpreis,-23%,je 1-kg-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_62.jpg,0
Keine Marke,Rosen-Chrysanthemenstrauß,"€ 12,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_63.jpg,0
Keine Marke,Weihnachtsstern oder Zauberstern in Keramik,"€ 6,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_64.jpg,0
Keine Marke,Weihnachtsstern oder Zauberstern,"€ 3,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_66.jpg,0
Keine Marke,Weihnachtsstern dekoriert,"€ 4,44",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_67.jpg,0
Keine Marke,Weihnachtsstern Busch,"€ 8,88",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_68.jpg,0
Keine Marke,Adventsgestecke,"€ 24,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_69.jpg,0
K-WERTSCHÄTZE,Rinderhüfte,"€ 20,90",,Kein Mengenpreis,nur,je kg,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_104.jpg,0
K-WERTSCHÄTZE,Rinderbraten Hals/Hohe Rippe vom Jungbullen,"€ 13,90",17.50,Kein Mengenpreis,-20%,je kg,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_105.jpg,0
Aus eigener Herstellung,Fleischwurst,"€ 0,99",,Kein Mengenpreis,nur,je 100 g,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_106.jpg,0
Aus eigener Herstellung,Wiener oder Käsewürstchen,"€ 1,19",,Kein Mengenpreis,nur,je 100 g,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_107.jpg,0
NEUBURGER,Neuburger,"€ 1,99",,Kein Mengenpreis,nur,je 100 g,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_108.jpg,0
REINERT,Würzica,"€ 1,99",,Kein Mengenpreis,nur,je 100 g,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_109.jpg,0
Keine Marke,"Tunes. Datteln, getrocknet","€ 0,99",1.49,1 kg = 4.95,-33%,je 200-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_77.jpg,0
K-PURLAND,Schweinehackfleisch,"€ 2,22",,1 kg = 4.44,nur,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_78.jpg,0
K-PURLAND Schnelle Küche,Geschnetzeltes Ungar. Art,"€ 3,33",,1 kg = 6.66,nur,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_79.jpg,0
K-PURLAND,Schlemmerbraten aus dem Schweinenacken,"€ 6,99",,Kein Mengenpreis,nur,je kg,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_80.jpg,0
MARCHER,Schweinefilet im Speckmantel,"€ 11,65",14.99,entspr. z. B. für ein 600-g-Stück 6.99,-22%,je kg,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_81.jpg,0
