Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Switzerland Tête de Moine AOP,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 kg = 39,90 €","schweizer Schnittkäse mit Rohmilch, 51 % Fett i. Tr., 100 g Packung, (1 kg = 39,90 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/switzerland-t-te-de-moine-aop.jpg,0
Bauer Butterkäse,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"deutscher halbfester Schnittkäse, 45 % Fett i. Tr., mild bis fein aromatisch, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/bauer-butterk-se.jpg,0
Elsässer Winzerkäse,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,"französischer Weichkäse, 50 % Fett i. Tr., 14 Tage gereift, rote Rinde, würzig, herzhaft im Geschmack, auch als SB-Stück erhältlich, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/els-sser-winzerk-se.jpg,0
Herz Allgäuer Emmentaler,Keine Marke,"€ 1,29",Kein vorheriger Preis,Kein Mengenpreis,"deutscher Hartkäse mit tagfrischer Heu-Rohmilch, 45 % Fett i. Tr., typisch mit großen Löchern, mild-nussiger Geschmack, rindengereift, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/herz-allg-uer-emmentaler.jpg,0
Ehrmann Grand Dessert Mousse,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 5,82 €","verschiedene Sorten, 170 g Becher, (1 kg = 5,82 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/ehrmann-grand-dessert-mousse.jpg,0
Purist Raclette,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,"schweizer Schnittkäse 45 % Fett i.Tr., Feinwürzig-vollmundiger Raclette, zartschmelzende Textur, glatte, feste Naturrinde, mindestens 3 Monate gereift, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/purist-raclette.jpg,0
Actimel Drink,Keine Marke,"€ 2,22",Kein vorheriger Preis,"1 kg = 2,78 €","verschiedene Sorten und Fettstufen, 8er, 800 g Packung, (1 kg = 2,78 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/actimel-drink.jpg,0
Melitta Bella Crema,Keine Marke,"€ 13,99",Kein vorheriger Preis,"1 kg = 13,99 €","ganze Bohnen, 100 % Arabica, verschiedene Sorten, 1000 g Packung, (1 kg = 13,99 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/melitta-bella-crema.jpg,0
Dallmayr prodomo Kaffee,Keine Marke,"€ 7,49",Kein vorheriger Preis,"1 kg = 14,98 €","100 % Arabica, verschiedene Sorten, 500 g Packung, (1 kg = 14,98 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/dallmayr-prodomo-kaffee.jpg,0
Teekanne Ländertee,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 kg = 30,73-56,33 €","verschiedene Sorten, 18/20er, 30-55 g Packung, (1 kg = 30,73-56,33 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/teekanne-l-ndertee.jpg,0
skai Kaugummis,Keine Marke,"€ 0,49",Kein vorheriger Preis,"1 kg = 7,66 €","verschiedene Sorten, 64 g Packung, (1 kg = 7,66 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/skai-kaugummis.jpg,0
Ritter Sport Schokolade Vegan,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 19,90 €","verschiedene Sorten, 100 g Tafel, (1 kg = 19,90 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/ritter-sport-schokolade-vegan.jpg,0
Melitta Kaffee Pads,Keine Marke,"€ 2,00",Kein vorheriger Preis,"1 kg = 18,69/17,86 €","verschiedene Sorten, 16er, 107/112 g Packung, (1 kg = 18,69/17,86 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/melitta-kaffee-pads.jpg,0
Eduscho Caffè Crema,Keine Marke,"€ 13,99",Kein vorheriger Preis,"1 kg = 13,99 €","verschiedene Sorten, ganze Bohnen Je nach Verfügbarkeit des Marktes., 1 kg Packung, (1 kg = 13,99 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/eduscho-caff-crema.jpg,0
Dallmayr capsa,Keine Marke,"€ 2,59",Kein vorheriger Preis,"1 kg = 46,25 €","verschiedene Sorten, 10er Für die Verwendung in Nespresso?* Kaffeemaschinen geeignet. *Markenzeichen eines Dritt-Unternehmens., 56 g Packung, (1 kg = 46,25 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/dallmayr-capsa.jpg,0
Gut & Günstig Hausmacher Senf,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 l = 3,96 €","süß, 250 ml Glas, (1 l = 3,96 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-hausmacher-senf.jpg,0
Thomy Les Sauces,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 l = 3,96 €","verschiedene Sorten, 250 ml Packung, (1 l = 3,96 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/thomy-les-sauces.jpg,0
Pfanni Semmel Knödel,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 7,45 €","6er, in Kochbeuteln, 200 g Packung, (1 kg = 7,45 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/pfanni-semmel-kn-del.jpg,0
3 Glocken Genuss Pur Teigwaren,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 1,49 €","verschiedene Ausformungen Nur solange der Vorrat reicht., 1 kg Packung, (1 kg = 1,49 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/3-glocken-genuss-pur-teigwaren.jpg,0
Knorr Fix,Keine Marke,"€ 0,49",Kein vorheriger Preis,"1 kg = 5,44-17,50 €","verschiedene Sorten, 28-90 g Packung, (1 kg = 5,44-17,50 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/knorr-fix.jpg,0
"EDEKA Herzstücke Apeel Avocado ""Hass""",Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,"aus Chile, Kl. l, Stück",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/edeka-herzst-cke-apeel-avocado-hass.jpg,0
3 Stück Kiwis Grün,Keine Marke,"€ 1,00",Kein vorheriger Preis,Kein Mengenpreis,"aus Griechenland, Kl. l, 3 Stück",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/3-st-ck-kiwis-gr-n.jpg,0
Gut & Günstig Eisbergsalat,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"aus Spanien, Kl. I, Stück",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-eisbergsalat.jpg,0
Gut & Günstig MSC Thunfisch Filets,Keine Marke,"€ 1,00",Kein vorheriger Preis,"1 kg = 5,13-6,67 €","verschiedene Sorten oder Stücke mit Gemüse Ausgenommen Filets in Olivenöl., 150-195 g Dose, (1 kg = 5,13-6,67 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-msc-thunfisch-filets.jpg,0
EDEKA Herzstücke original italienische Pasta,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 1,98 €","verschiedene Ausformungen Ausgenommen Tagliatelle N.71, N.70 und Lasagne., 500 g Packung, (1 kg = 1,98 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/edeka-herzst-cke-original-italienische-pasta.jpg,0
Lacroix Fond,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 l = 4,98 €","verschiedene Sorten *Je nach Verfügbarkeit des Marktes., 300*/400 ml Glas, (1 l = 4,98 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/lacroix-fond.jpg,0
Argeta Geflügel Aufstrich,Keine Marke,"€ 1,29",Kein vorheriger Preis,"1 kg = 13,58 €","verschiedene Sorten, 95 g Dose, (1 kg = 13,58 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/argeta-gefl-gel-aufstrich.jpg,0
Zentis Frühstücks-Konfitüre,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 4,71/4,30 €","verschiedene Sorten oder Marmelade Orange* *Nur solange der Vorrat reicht., 210/230 g Glas, (1 kg = 4,71/4,30 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/zentis-fr-hst-cks-konfit-re.jpg,0
Dr. Oetker Vitalis Müsli oder Paula Müslispaß,Keine Marke,"€ 2,49",Kein vorheriger Preis,"1 kg = 4,15-7,55 €","verschiedene Sorten Ausgenommen Müsli ohne Zucker Zusatz., 330-600 g Packung, (1 kg = 4,15-7,55 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/dr-oetker-vitalis-m-sli-oder-paula-m-slispa.jpg,0
Hengstenberg Cornichons,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 10,47 €","verschiedene Sorten, 330 g Glas (Abtropfgewicht 190 g), (1 kg = 10,47 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/hengstenberg-cornichons.jpg,0
Saupiquet MSC Thunfisch-Salat,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 12,44 €","verschiedene Sorten, 160 g Packung, (1 kg = 12,44 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/saupiquet-msc-thunfisch-salat.jpg,0
Giovanni Rana Tradizionali oder Amore di Pesto Pasta,Keine Marke,"€ 2,79",Kein vorheriger Preis,"1 kg = 11,16 €","verschiedene Sorten, 250 g Packung, (1 kg = 11,16 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/giovanni-rana-tradizionali-oder-amore-di-pesto-pasta.jpg,0
Pahmeyer Auflauf,Keine Marke,"€ 2,29",Kein vorheriger Preis,"1 kg = 7,63 €","verschiedene Sorten, vegetarisch, 300 g Packung, (1 kg = 7,63 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/pahmeyer-auflauf.jpg,0
Ribella Hummus oder Grab & Go!,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 13,77/8,95 €","Hummus und Cracker, verschiedene Sorten, vegan, 130/200 g Becher/Packung, (1 kg = 13,77/8,95 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/ribella-hummus-oder-grab-go.jpg,0
Fritz & Felix Schüttelbrot,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 11,92/9,93 €","verschiedene Sorten, 125/150 g Packung, (1 kg = 11,92/9,93 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/fritz-felix-sch-ttelbrot.jpg,0
Allgäuer Nudelsalat,Keine Marke,"€ 0,69",Kein vorheriger Preis,Kein Mengenpreis,"Nudeln mit grünen Erbsen, Karotten und knackigen Gewürzgurken, in feiner Salatmayonnaise, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/allg-uer-nudelsalat.jpg,0
Pilzsalat,Keine Marke,"€ 1,59",Kein vorheriger Preis,Kein Mengenpreis,100 g,Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/pilzsalat.jpg,0
