Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Landbauern Schwein Krakauer,Keine Marke,"€ 1,29",,"pro Einheit = 1,29","mit oder ohne Kümmel, je 100-g-",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/immenstaad_offer_045.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegetarian,sub_schwein,tag_high_protein",immenstaad,,,ref_000223,obs_0000031241|obs_0000030230|obs_0000029899|obs_0000011015|obs_0000012296|obs_0000010032|obs_0000013753|obs_0000014155|obs_0000008147|obs_0000009582|obs_0000005236|obs_0000006526,
Der Metzger Schneider Puten Fleischkäse,Keine Marke,"€ 1,29",,"pro Einheit = 1,29",je 100-g-,Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/immenstaad_offer_046.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_kaese,sub_schwein,tag_ultra_processed",immenstaad,,,ref_000224,obs_0000007220,
Bonaparte Classic,Keine Marke,"€ 1,89",,"pro Einheit = 1,89","Schweizer Weichkäse, mind. 50% Fett i.Tr., je 100-g-",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/immenstaad_offer_042.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",immenstaad,,,ref_000225,obs_0000025668|obs_0000028751|obs_0000001628|obs_0000001643|obs_0000020596|obs_0000015018|obs_0000026884|obs_0000011543|obs_0000024877|obs_0000035101|obs_0000034649|obs_0000021415|obs_0000031658,
Dinkel-Karotten-Brot,Keine Marke,"€ 1,69",,"1 kg = 3,38","Dinkelbrot mit Karottenstreifen, je 500-g-St.",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_109.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",neubrandenburg,,,ref_000226,obs_0000003113|obs_0000026282|obs_0000001875|obs_0000000116|obs_0000000500,
Bebivita Fruchtquetschen,Keine Marke,"€ 2,39",,"1 kg = 6,64","versch Sorten, je 4 x 90-g-Pckg.",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_181.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",neubrandenburg,,,ref_000227,obs_0000029635|obs_0000031922,obs_0000029635|obs_0000031922
Hasseröder Premium Pils,Keine Marke,"€ 8,99",,"1 l = 0,90","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 € Pfand",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_150.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegetarian",neubrandenburg,,,ref_000228,obs_0000031079|obs_0000031248|obs_0000029243|obs_0000029927|obs_0000030395|obs_0000030607|obs_0000028695|obs_0000014397|obs_0000028734|obs_0000012445|obs_0000016561|obs_0000010479|obs_0000026883|obs_0000012662|obs_0000008613|obs_0000010756|obs_0000011146|obs_0000011148|obs_0000027560|obs_0000013350|obs_0000033895|obs_0000027845|obs_0000011594|obs_0000009703|obs_0000013836|obs_0000015938|obs_0000034432|obs_0000028520|obs_0000028575|obs_0000028635|obs_0000008187|obs_0000029198|obs_0000031389|obs_0000026008|obs_0000008006|obs_0000028759|obs_0000012448|obs_0000016578|obs_0000028878|obs_0000035035|obs_0000028937|obs_0000008467|obs_0000000370|obs_0000004495|obs_0000010755|obs_0000012871|obs_0000027329|obs_0000004922|obs_0000017247|obs_0000031695,obs_0000028695|obs_0000010479|obs_0000026883|obs_0000031079|obs_0000012662|obs_0000010756|obs_0000031248|obs_0000029243|obs_0000033895|obs_0000027845|obs_0000029927|obs_0000030395|obs_0000030607|obs_0000028575|obs_0000008187
Sommerhell oder Premium,Altenburger,"€ 11,49",,"1 l = 1,15","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten, zzgl. 4,50 € Pfand",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_153.jpg,"cat_getraenke,sub_kaese",neubrandenburg,,,ref_000229,obs_0000011595|obs_0000013830,
Köstritzer Schwarzbier,Keine Marke,"€ 13,99",,"1 l = 1,40","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 € Pfand",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_156.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",neubrandenburg,,,ref_000230,obs_0000029030|obs_0000029259|obs_0000031255|obs_0000032727|obs_0000006906|obs_0000009456|obs_0000013399,obs_0000029030|obs_0000029259|obs_0000009456|obs_0000031255|obs_0000032727|obs_0000013399|obs_0000006906
Mini Roma Rispentomaten,Keine Marke,"€ 2,69",,"1 kg = 10,76","»Aromatica«, Kl. I, je 250-g-Schale",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_027.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",neubrandenburg,,,ref_000231,obs_0000030961|obs_0000029645|obs_0000030568|obs_0000006427|obs_0000006431|obs_0000029206|obs_0000031628|obs_0000030260|obs_0000030918|obs_0000031140|obs_0000029129|obs_0000029204|obs_0000031461|obs_0000030141|obs_0000032515|obs_0000030469|obs_0000030614|obs_0000012328|obs_0000008287|obs_0000006379|obs_0000027139|obs_0000010932|obs_0000027413|obs_0000031578|obs_0000000876|obs_0000029590|obs_0000017530|obs_0000027927|obs_0000026024|obs_0000026075|obs_0000013997|obs_0000018128|obs_0000016216,obs_0000030961|obs_0000029645|obs_0000030568
Weißer Spargel,Keine Marke,"€ 3,99",,"1 kg = 7,98","Kl. I, je 500-g-Bund",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_029.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",neubrandenburg,,,ref_000232,,
Bio Limette,Keine Marke,"€ 0,39",,"pro Einheit = 0,39","Sorte: siehe Etikett, Kl. II, je 1-St.",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_024.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",neubrandenburg,,BLS-F602100,ref_000233,obs_0000030571|obs_0000032325|obs_0000011971,obs_0000034316|obs_0000030571|obs_0000032325
Grüne Kiwi,Keine Marke,"€ 0,33",,"pro Einheit = 0,33","Kl. I, je 1-St.",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_021.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",neubrandenburg,,,ref_000234,obs_0000031324|obs_0000029818|obs_0000029923|obs_0000010274,obs_0000031324|obs_0000029818|obs_0000029923|obs_0000030464
Frische Hähnchen-Brustfilets,REWE Bio,"€ 34,90",,"pro Einheit = 34,90","Hkl. A, SB-verpackt, je 1-kg-",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_009.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_whole_food",neubrandenburg,,,ref_000235,obs_0000025784|obs_0000024674|obs_0000031635|obs_0000002399|obs_0000002678|obs_0000000633|obs_0000002744|obs_0000003144|obs_0000001424|obs_0000030541|obs_0000030629|obs_0000002168|obs_0000030896|obs_0000022949|obs_0000029218|obs_0000031267|obs_0000029224|obs_0000029274|obs_0000029291|obs_0000031542|obs_0000031584|obs_0000031623|obs_0000029596|obs_0000003026|obs_0000029666|obs_0000029905,obs_0000030925|obs_0000030952|obs_0000031200|obs_0000031243|obs_0000029218|obs_0000029274|obs_0000029597|obs_0000025784|obs_0000030219|obs_0000030256|obs_0000030541|obs_0000030629
Pakchoi,Keine Marke,"€ 1,49",,"1 kg = 4,97","Kl. I, je 300-g-Pckg.",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",neubrandenburg,,BLS-G324100,ref_000236,obs_0000029582|obs_0000029497,obs_0000029582
Staudensellerie,Keine Marke,"€ 0,99",,"pro Einheit = 0,99","Kl. I, je 1-St.",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_011.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",neubrandenburg,,,ref_000237,obs_0000019554|obs_0000028655|obs_0000032336|obs_0000030261|obs_0000028538|obs_0000010563|obs_0000015651|obs_0000030437|obs_0000012239|obs_0000005694,obs_0000019554|obs_0000028655|obs_0000032336|obs_0000030261|obs_0000028538
Erdbeeren,Keine Marke,"€ 3,33",,"1 kg = 8,33","»Calinda«, Kl. I, je 400-g-Schale",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_019.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",neubrandenburg,,BLS-F301100,ref_000238,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512|obs_0000033793|obs_0000012233|obs_0000013901|obs_0000034400|obs_0000030989|obs_0000005687|obs_0000006083|obs_0000006092|obs_0000015717|obs_0000013414|obs_0000013418|obs_0000011389|obs_0000030428,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512
Migo Grüne Tafelbirnen,Keine Marke,"€ 1,99",,"pro Einheit = 1,99","Sorte: siehe Etikett, Kl. I, je 1-kg-",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_020.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",neubrandenburg,,,ref_000239,obs_0000030854|obs_0000029711|obs_0000030480|obs_0000031151|obs_0000030137|obs_0000028994|obs_0000008712|obs_0000008373|obs_0000028627|obs_0000028513|obs_0000010484,
Deutsche See ASC Garnelen-Pfännchen Knoblauch-Kräuter,Keine Marke,"€ 3,99",,"1 kg = 26,60","aufgetaut, je 150-g-Schale",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_072.jpg,cat_molkerei_kaese,neubrandenburg,,,ref_000240,obs_0000003631|obs_0000030436|obs_0000032494|obs_0000001313|obs_0000004921|obs_0000000369|obs_0000031626|obs_0000004494|obs_0000003502|obs_0000004067|obs_0000001520,
Rinder-Hackfleisch,Keine Marke,"€ 3,79",,"1 kg = 15,16",je 250-g-Pckg.,Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_057.jpg,"cat_molkerei_kaese,sub_hackfleisch,sub_rind,tag_proteinreich,tag_ultra_processed,tag_whole_food",neubrandenburg,,BLS-U010100,ref_000241,obs_0000002149|obs_0000026223|obs_0000027280|obs_0000029904|obs_0000029964|obs_0000026901|obs_0000031541|obs_0000032583|obs_0000026471|obs_0000031208|obs_0000019685|obs_0000022571|obs_0000001083|obs_0000029295|obs_0000000646|obs_0000029879|obs_0000030444|obs_0000000826|obs_0000030536|obs_0000030574|obs_0000030626|obs_0000030194|obs_0000034323|obs_0000011423|obs_0000033726,obs_0000002149|obs_0000026223|obs_0000027280|obs_0000029904|obs_0000019685|obs_0000029964|obs_0000026901|obs_0000031541|obs_0000032583|obs_0000026471|obs_0000031208
Kalnik Original Pfälzer Leberwurst,Keine Marke,"€ 0,99",,"pro Einheit = 0,99",je 100-g-,Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_059.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,sub_wurst,tag_ultra_processed",neubrandenburg,,,ref_000242,obs_0000006686|obs_0000029615|obs_0000013335|obs_0000005226|obs_0000027924|obs_0000026179|obs_0000014176|obs_0000010228|obs_0000028730|obs_0000020611|obs_0000014468|obs_0000012423|obs_0000006283|obs_0000026772|obs_0000026832|obs_0000028896|obs_0000035052|obs_0000026900|obs_0000010597|obs_0000012655|obs_0000027005|obs_0000027048|obs_0000021000|obs_0000008777|obs_0000021117|obs_0000008906|obs_0000015051|obs_0000013053|obs_0000021430|obs_0000025547|obs_0000033763|obs_0000031720|obs_0000017384|obs_0000019440|obs_0000013325|obs_0000019505|obs_0000031800|obs_0000025705|obs_0000009334|obs_0000015502|obs_0000027791|obs_0000011436|obs_0000033975|obs_0000023801|obs_0000021758|obs_0000009525|obs_0000021868|obs_0000017799|obs_0000026035|obs_0000013762,
Butcher s Barbecue Hähnchen-Spieße,Keine Marke,"€ 9,99",,"pro Einheit = 9,99","aus der Oberkeule, mit Mango-Skyr-Marinade, SB-verpackt, je 1-kg-",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_060.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegetarian,sub_gefluegel,tag_proteinreich,tag_whole_food",neubrandenburg,,,ref_000243,,
Schweine-Schälrippchen,Keine Marke,"€ 6,99",,"pro Einheit = 6,99","SB-verpackt, je 1-kg-",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_061.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegetarian,sub_schwein,tag_ultra_processed,tag_whole_food",neubrandenburg,,,ref_000244,obs_0000031265|obs_0000016766|obs_0000017299|obs_0000013886|obs_0000023633|obs_0000004909|obs_0000000362|obs_0000004482|obs_0000004055,obs_0000031265|obs_0000026897|obs_0000001819|obs_0000016766|obs_0000017299|obs_0000028081|obs_0000007643
Metten Hähnchen in Aspik,Keine Marke,"€ 1,39",,"pro Einheit = 1,39","mit Frucht, je 100-g-",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_062.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_gefluegel,tag_proteinreich,tag_ultra_processed,tag_whole_food",neubrandenburg,,,ref_000245,obs_0000029192|obs_0000030201,obs_0000029192|obs_0000030201
Landstolz Thüringer Rostbratwurst,Keine Marke,"€ 5,99",,"1 kg = 9,98","roh, grob oder fein, je 600-g-Pckg.",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_065.jpg,"cat_molkerei_kaese,sub_wurst,tag_ultra_processed",neubrandenburg,,,ref_000246,obs_0000030624|obs_0000029275|obs_0000034076|obs_0000014109|obs_0000030621|obs_0000008488|obs_0000009263|obs_0000030268|obs_0000027860|obs_0000029278|obs_0000008189|obs_0000013376|obs_0000014464,obs_0000030624|obs_0000029275
Butcher s Barbecue Hähnchen-Minuten-Schnitzel,Keine Marke,"€ 12,90",,"pro Einheit = 12,90","in versch. Marinaden, SB-verpackt, je 1-kg-",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_068.jpg,"cat_molkerei_kaese,sub_gefluegel",neubrandenburg,,,ref_000247,obs_0000000700|obs_0000005251|obs_0000001521,
Landstolz Filetpastete mit Paprika,Keine Marke,"€ 1,69",,"pro Einheit = 1,69",je 100-g-,Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/neubrandenburg_offer_073.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",neubrandenburg,,,ref_000248,,
