Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Grapefruit,Grapefruit,"€ 0,49",,"pro Einheit = 0,69",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_016.jpg,cat_getraenke,,BLS-F604100,ref_000016,obs_0000023691|obs_0000031686|obs_0000029578|obs_0000017248|obs_0000008258|obs_0000034919|obs_0000031625|obs_0000007883|obs_0000030958|obs_0000027857|obs_0000026294|obs_0000030237|obs_0000013054|obs_0000014881|obs_0000029926|obs_0000007663|obs_0000031612,obs_0000031686|obs_0000029578|obs_0000023691|obs_0000017248
Bio Feldsalat,Bio Feldsalat,"€ 1,11",,"pro Einheit = 1,69",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_017.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food",,,ref_000017,obs_0000034310|obs_0000027524|obs_0000020109|obs_0000028339|obs_0000020928|obs_0000029125|obs_0000017466|obs_0000009394|obs_0000009855|obs_0000030830|obs_0000006273|obs_0000007525|obs_0000007533|obs_0000007739|obs_0000032334|obs_0000005712|obs_0000005708|obs_0000005890|obs_0000005895,obs_0000034310|obs_0000027524|obs_0000020109|obs_0000028339|obs_0000020928|obs_0000029125
Winterhart Palme,Winterhart Palme,"€ 14,99",,"pro Einheit = 14,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_018.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,,ref_000018,,
7-Zonen-Tonnentaschenfederkern-Matratze,fan,"€ 229,00",,"pro Einheit = 229,00",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_019.jpg,cat_non_food,,,ref_000019,obs_0000025929|obs_0000018192|obs_0000022934|obs_0000018591|obs_0000020004|obs_0000022207|obs_0000022726|obs_0000025928|obs_0000023898|obs_0000022496|obs_0000001138|obs_0000023164|obs_0000002046|obs_0000024320|obs_0000024763|obs_0000024765,obs_0000018192|obs_0000018591|obs_0000023472|obs_0000022207|obs_0000022726|obs_0000023166|obs_0000023898|obs_0000022496|obs_0000024320
7-Zonen-Hybridschaum-Topper,fan,"€ 89,99",,"pro Einheit = 89,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_020.jpg,cat_non_food,,,ref_000020,,
Feder- Daunen-Kopfkissen,Balette,"€ 29,99",,"pro Einheit = 79,00",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_021.jpg,cat_non_food,,,ref_000021,obs_0000023471|obs_0000019432|obs_0000018706|obs_0000020126|obs_0000017468|obs_0000020945|obs_0000021720|obs_0000016257|obs_0000018704|obs_0000019600|obs_0000017332|obs_0000019660|obs_0000016993|obs_0000019431|obs_0000019831,
7-Zonen-Komfortschaum-Matratze,BeCo,"€ 129,00",,"pro Einheit = 129,00",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_022.jpg,cat_non_food,,,ref_000022,obs_0000022934|obs_0000001138|obs_0000025928|obs_0000023164|obs_0000018192|obs_0000018591|obs_0000020004|obs_0000022207|obs_0000022726|obs_0000025929|obs_0000023898|obs_0000022496|obs_0000002046|obs_0000024320|obs_0000024763|obs_0000024765,obs_0000018313|obs_0000022934|obs_0000001138
Ganzjahres-Bettdecke,DUNLOPILLO,"€ 19,99",,"pro Einheit = 44,90",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_023.jpg,"cat_non_food,diet_vegetarian",,,ref_000023,obs_0000023340|obs_0000019187|obs_0000019018,obs_0000023340
Wendematratze Modell Smart HS,Irisette,"€ 169,00",,"pro Einheit = 169,00",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_024.jpg,cat_non_food,,,ref_000024,,
Premium Kopfkissen,Dunlopillo,"€ 19,99",,"pro Einheit = 44,90",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_025.jpg,cat_getraenke,,,ref_000025,obs_0000023338|obs_0000017664|obs_0000018826|obs_0000019600|obs_0000018704|obs_0000017332|obs_0000018115|obs_0000013830|obs_0000016993|obs_0000019660|obs_0000011595|obs_0000019831|obs_0000016257|obs_0000023471|obs_0000019431,obs_0000017664|obs_0000023338|obs_0000018826
