Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Trumpf Edle Tropfen in Nuss,Keine Marke,"€ 2,69",,"1 kg = 14,95","verschiedene Sorten, 200 g Packung, (1 kg = 14,95 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/trumpf-edle-tropfen-in-nuss.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000157,obs_0000014600|obs_0000015895|obs_0000008747|obs_0000000591,obs_0000014600|obs_0000015895
Treets,Keine Marke,"€ 1,99",,"pro Einheit = 1,99","verschiedene Sorten, vegan Je nach Verfügbarkeit des Marktes.",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/treets.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000158,obs_0000007693|obs_0000029996,obs_0000007693
funny-frisch Chipsfrisch,Keine Marke,"€ 1,11",,"1 kg = 7,40","verschiedene Sorten, 150 g Packung, (1 kg = 7,40 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/funny-frisch-chipsfrisch.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegetarian,sub_huelsenfruechte,tag_ultra_processed",,,ref_000159,obs_0000007696|obs_0000006032|obs_0000032692|obs_0000006736|obs_0000005473|obs_0000030305|obs_0000007283|obs_0000029688|obs_0000007704|obs_0000006046|obs_0000007108|obs_0000032121|obs_0000030674|obs_0000007289|obs_0000022428|obs_0000001321|obs_0000033323|obs_0000016455|obs_0000008650|obs_0000027600|obs_0000017493|obs_0000018264|obs_0000003560|obs_0000002686,obs_0000007696|obs_0000006032|obs_0000022428|obs_0000001321|obs_0000033323|obs_0000032692|obs_0000016455|obs_0000008650|obs_0000006736|obs_0000027600|obs_0000017493|obs_0000018264|obs_0000031707|obs_0000005473|obs_0000030305|obs_0000003560|obs_0000007913|obs_0000007283|obs_0000029688|obs_0000002686
Trolli Fruchtgummi,Keine Marke,"€ 0,79",,"1 kg = 5,27","verschiedene Sorten, 150 g Packung, (1 kg = 5,27 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/trolli-fruchtgummi.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,BLS-S361000,ref_000160,obs_0000017027|obs_0000001930|obs_0000002314|obs_0000019082|obs_0000019722|obs_0000002318|obs_0000020367|obs_0000002320|obs_0000021394|obs_0000024204|obs_0000016918|obs_0000025361|obs_0000016298|obs_0000020778|obs_0000025134|obs_0000020787|obs_0000021688|obs_0000025528|obs_0000011323|obs_0000021186|obs_0000013647|obs_0000016719|obs_0000014289|obs_0000017102|obs_0000017103|obs_0000027215|obs_0000027602|obs_0000021597|obs_0000020575|obs_0000023776|obs_0000021606|obs_0000023399|obs_0000010105|obs_0000002943,obs_0000024204|obs_0000008121|obs_0000023776
Raffaello,Ferrero,"€ 2,49",,"1 kg = 16,60","150 g Packung, (1 kg = 16,60 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/ferrero-raffaello.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,,ref_000161,obs_0000020639|obs_0000021458|obs_0000025051|obs_0000032693|obs_0000018983|obs_0000026462|obs_0000033213|obs_0000006737|obs_0000012387|obs_0000015291,obs_0000006737|obs_0000020639|obs_0000032693|obs_0000021458|obs_0000025051
mini Mix,Ritter Sport,"€ 2,99",,"1 kg = 19,93","verschiedene Sorten, 9er, 150 g Packung, (1 kg = 19,93 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/ritter-sport-mini-mix.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,,ref_000162,obs_0000026764|obs_0000024779|obs_0000027431|obs_0000028439|obs_0000012328|obs_0000024700|obs_0000006379|obs_0000006745|obs_0000010932|obs_0000017530|obs_0000026024|obs_0000018128|obs_0000016216|obs_0000026612|obs_0000007518|obs_0000007530|obs_0000031169|obs_0000029342|obs_0000031991|obs_0000030846,obs_0000006745
Kekse oder Kleinkuchen,Milka,"€ 1,99",,"pro Einheit = 1,99",verschiedene Sorten,Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/milka-kekse-oder-kleinkuchen.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,,ref_000163,obs_0000005844|obs_0000018652|obs_0000019080|obs_0000014512|obs_0000016477|obs_0000024684|obs_0000000426|obs_0000017163|obs_0000018069|obs_0000010735|obs_0000019439|obs_0000003219|obs_0000011559|obs_0000004147|obs_0000028975|obs_0000004574|obs_0000005001|obs_0000022146|obs_0000022518|obs_0000014620|obs_0000023735|obs_0000024159,obs_0000005844
funny-frisch Linsen Chips,Keine Marke,"€ 1,29",,"pro Einheit = 1,29",vegetarisch oder Popchips verschiedene Sorten,Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/funny-frisch-linsen-chips.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_ultra_processed,tag_whole_food",,,ref_000164,obs_0000007688|obs_0000005847|obs_0000006381|obs_0000007288|obs_0000007494|obs_0000032122|obs_0000032703|obs_0000007107|obs_0000030675|obs_0000029695|obs_0000000033|obs_0000003763|obs_0000034206|obs_0000014349|obs_0000002584|obs_0000035109|obs_0000003161|obs_0000008900|obs_0000023296|obs_0000014595|obs_0000011529|obs_0000011110|obs_0000033655|obs_0000034193|obs_0000031705,obs_0000007688|obs_0000015889|obs_0000000033|obs_0000003763|obs_0000005847|obs_0000006381|obs_0000034206
Chips Cracker,EDEKA Herzstücke,"€ 1,29",,"1 kg = 10,32","verschiedene Sorten, 125 g Packung, (1 kg = 10,32 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/edeka-herzst-cke-chips-cracker.jpg,"cat_knabbern_naschen,tag_ultra_processed",,,ref_000165,obs_0000014349|obs_0000015892|obs_0000002584|obs_0000035109|obs_0000003161|obs_0000012384|obs_0000011380|obs_0000013564|obs_0000023296|obs_0000014595|obs_0000010537|obs_0000011110|obs_0000026987|obs_0000033655|obs_0000034193|obs_0000003528|obs_0000031705,
KitKat Lion,Nestl,"€ 1,79",,"pro Einheit = 1,79","verschiedene Sorten, Smarties oder Nuts",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/nestl-kitkat-lion.jpg,"cat_knabbern_naschen,tag_ultra_processed",,,ref_000166,obs_0000028765|obs_0000017118|obs_0000016824|obs_0000005656|obs_0000006927|obs_0000012395,obs_0000005656|obs_0000006927
