Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Wilhelm Brandenburg Zungenrotwurst,Keine Marke,"€ 1,39",,"pro Einheit = 1,39",je 100-g-,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_110.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food",bamberg,,ref_000219,obs_0000030542|obs_0000029613|obs_0000029831|obs_0000030576|obs_0000031245|obs_0000032192|obs_0000032612,obs_0000030542
Grießpudding,Müller,"€ 0,35",,"1 kg = 2,19","Himbeere, je 160-g-Becher",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_109.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed",bamberg,,ref_000220,obs_0000019140|obs_0000029193|obs_0000012195|obs_0000013306|obs_0000001056|obs_0000002635|obs_0000001325,obs_0000019140
Pistazieneiscreme,REWE Feine Welt,"€ 2,29",,"1 l = 4,77",je 480-ml-Becher,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_134.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg,,ref_000221,,
Puten-Innenfilet,REWE Regional,"€ 5,29",,"1 kg = 13,23","geschnitten, je 400-g-Pckg.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_107.jpg,"cat_molkerei_kaese,diet_vegan,sub_gefluegel,tag_whole_food",bamberg,,ref_000222,obs_0000031641,
Steinhaus Krakauer oder Krakauer mit Käse,Keine Marke,"€ 4,44",,"1 kg = 8,88","über Buchenholz geräuchert, je 500-g-Pckg.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_088.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed",bamberg,,ref_000223,obs_0000006526|obs_0000005236|obs_0000006457|obs_0000008147|obs_0000008883|obs_0000009582|obs_0000010032|obs_0000010631|obs_0000011015|obs_0000012296|obs_0000013753|obs_0000014155,
Dessertsoße Vanille,Milram,"€ 1,99",,"1 l = 3,98","sahnig lecker, je 500-ml-Pckg.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_087.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_milchprodukte",bamberg,,ref_000224,,
Sanella Streichfett,Keine Marke,"€ 0,99",,"1 kg = 3,96",je 250-g-Pckg.,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_086.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_butter_margarine,tag_ultra_processed,tag_whole_food",bamberg,,ref_000225,obs_0000030178|obs_0000031275|obs_0000031943|obs_0000006442|obs_0000010144|obs_0000013920|obs_0000014498|obs_0000023304|obs_0000028280,obs_0000030178|obs_0000031275|obs_0000031943
Wolf Bayerische Gelbwurst,Keine Marke,"€ 2,99",,"1 kg = 8,54",je 350-g-Pckg.,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_085.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegetarian,sub_wurst,tag_whole_food",bamberg,,ref_000226,obs_0000008832|obs_0000015364|obs_0000028782,
Zimbo Zwiebelmett,Keine Marke,"€ 1,49",,"1 kg = 12,42","versch. Sorten, je 120-g-Pckg.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_084.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_hackfleisch,sub_schwein,tag_whole_food",bamberg,,ref_000227,obs_0000031968,obs_0000031968
Andros So Good - so Veggie,Keine Marke,"€ 1,49",,"1 kg = 4,26","aus Kokosmilch, versch. Sorten, je 350-g-Becher",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_083.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,ref_000228,obs_0000029113|obs_0000028353,obs_0000029113
