Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Bio-Kräuterheu,Heu-Heinrich,"€ 1,99",,"pro Einheit = 2,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_210.jpg,"cat_obst_gemuese,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte",,,ref_000195,,
Gourmet Perle oder Gourmet A la Carte,Gourmet Perle oder Gourmet A la Carte,"€ 0,59",,"pro Einheit = 0,79",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_211.jpg,"cat_fleisch_wurst,tag_ultra_processed",,,ref_000196,obs_0000034669|obs_0000010523|obs_0000013668|obs_0000015117,
Bio-Hundenahrung,Ebbi,"€ 2,99",,"pro Einheit = 3,79",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_212.jpg,cat_tiernahrung,,,ref_000197,obs_0000034671|obs_0000034459|obs_0000009004|obs_0000026642|obs_0000035081|obs_0000011178|obs_0000027763|obs_0000031674|obs_0000031754|obs_0000015976,obs_0000034459|obs_0000034671
Weichspüler,Vernel,"€ 1,79",,"pro Einheit = 1,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_213.jpg,cat_drogerie,,,ref_000198,obs_0000010761|obs_0000015508|obs_0000012876|obs_0000026740|obs_0000013955|obs_0000003597|obs_0000019865|obs_0000032921|obs_0000015261|obs_0000019489|obs_0000020774|obs_0000009383|obs_0000013480|obs_0000031910|obs_0000033198|obs_0000020279|obs_0000021945|obs_0000008124|obs_0000027580|obs_0000028356|obs_0000010952|obs_0000011598|obs_0000025167|obs_0000032849|obs_0000016852|obs_0000031701|obs_0000022870|obs_0000021593|obs_0000026203|obs_0000014305|obs_0000023651|obs_0000021098|obs_0000009843|obs_0000006387|obs_0000034675|obs_0000016125|obs_0000033664|obs_0000033155|obs_0000001434|obs_0000032146|obs_0000032282|obs_0000006941|obs_0000005663|obs_0000005297|obs_0000030775|obs_0000029375|obs_0000007113|obs_0000008789|obs_0000005858|obs_0000012004,obs_0000013955|obs_0000010761|obs_0000003597|obs_0000015508|obs_0000019865|obs_0000032921|obs_0000015261|obs_0000019489|obs_0000020774|obs_0000009383|obs_0000013480|obs_0000031910|obs_0000033198|obs_0000020279|obs_0000021945|obs_0000008124|obs_0000027580|obs_0000029375|obs_0000028356|obs_0000010952|obs_0000012876|obs_0000011598|obs_0000025167|obs_0000032849|obs_0000016852|obs_0000031701|obs_0000022870|obs_0000021593|obs_0000026203|obs_0000014305|obs_0000005858|obs_0000023651|obs_0000021098|obs_0000006762|obs_0000009843|obs_0000006387|obs_0000026740|obs_0000034675|obs_0000016125|obs_0000033664
Edle Tropfen in Nuss,Trumpf,"€ 2,99",,"pro Einheit = 4,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_222.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,,ref_000199,obs_0000014600|obs_0000015895|obs_0000008747|obs_0000000591,obs_0000014600|obs_0000015895
Grauer Burgunder Kabinett oder Spätburgunder trockener Weiß- oder Rotwein,Winzergenossenschaft Bötzingen,"€ 27,00",,"1 l = 6,00",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_223.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000200,obs_0000034630|obs_0000035031|obs_0000034725|obs_0000034879|obs_0000014060|obs_0000035029|obs_0000015924,
Pralin s Trüffel,Lindt,"€ 8,88",,"1 kg = 49,33",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_224.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,,ref_000201,obs_0000015896|obs_0000012860|obs_0000034397|obs_0000011766|obs_0000034394|obs_0000003198|obs_0000002395|obs_0000033274,
Borkenpralinen,tegut,"€ 2,49",,"pro Einheit = 2,79",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_225.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000202,,
Primitivo Merlot oder Pinot Grigio Chardonnay,Vitello,"€ 4,99",,"1 l = 6,65",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_226.jpg,cat_getraenke,,,ref_000203,obs_0000011137|obs_0000012435|obs_0000015925|obs_0000013822|obs_0000013340|obs_0000010750|obs_0000015080|obs_0000014113|obs_0000023227|obs_0000034286|obs_0000034040|obs_0000021890|obs_0000018693|obs_0000020741|obs_0000026501|obs_0000017557|obs_0000008375|obs_0000021560|obs_0000026185|obs_0000035022|obs_0000002164,
Küsschen,Ferrero,"€ 3,33",,"1 kg = 18,71",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_227.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,BLS-D440500,ref_000204,obs_0000033892|obs_0000012388|obs_0000028524|obs_0000028639|obs_0000024703|obs_0000019298|obs_0000005652|obs_0000007279|obs_0000032119|obs_0000028144|obs_0000012387|obs_0000015291,obs_0000005652|obs_0000033892|obs_0000012388|obs_0000007279|obs_0000032119|obs_0000028144
Schaumküsse,Halloren O s,"€ 1,29",,"pro Einheit = 1,79",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_228.jpg,"cat_knabbern_naschen,diet_vegetarian",,,ref_000205,obs_0000020818|obs_0000025403|obs_0000021637,
Pralin s,Lindt,"€ 6,66",,"pro Einheit = 8,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_229.jpg,"cat_knabbern_naschen,tag_ultra_processed",,BLS-S610000,ref_000206,obs_0000015896|obs_0000012860|obs_0000034397|obs_0000011766|obs_0000034394|obs_0000008451|obs_0000009603|obs_0000013829|obs_0000014132|obs_0000008763|obs_0000010054|obs_0000013775|obs_0000012389|obs_0000011114|obs_0000012390|obs_0000006914|obs_0000006040|obs_0000032431|obs_0000014136|obs_0000019773|obs_0000030282|obs_0000032241|obs_0000021894|obs_0000021653|obs_0000032469|obs_0000020834|obs_0000008820|obs_0000012220|obs_0000006030|obs_0000006741,obs_0000006914|obs_0000015896|obs_0000006040|obs_0000012860|obs_0000034394|obs_0000034397|obs_0000011766
Riesling Sekt,Fürst von Metternich,"€ 5,99",,"pro Einheit = 9,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_230.jpg,cat_getraenke,,,ref_000207,obs_0000009903|obs_0000034224|obs_0000019561|obs_0000012437|obs_0000010911|obs_0000011590|obs_0000015699|obs_0000008047|obs_0000011802|obs_0000017436|obs_0000018465|obs_0000033828|obs_0000017456|obs_0000003634|obs_0000013889|obs_0000019009|obs_0000010309|obs_0000020555|obs_0000031833|obs_0000018037|obs_0000028281|obs_0000000122|obs_0000026289|obs_0000023255|obs_0000027358|obs_0000018687|obs_0000019740|obs_0000016680|obs_0000015666|obs_0000014644|obs_0000024889|obs_0000026425|obs_0000034633|obs_0000025421|obs_0000008015|obs_0000027487|obs_0000021374|obs_0000012694|obs_0000002457|obs_0000022430|obs_0000025002|obs_0000001461|obs_0000003513|obs_0000026048,obs_0000009903|obs_0000034224
Bio-Wein,demeter tegut,"€ 3,99",,"1 l = 5,32",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_231.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000208,obs_0000034427|obs_0000030946|obs_0000031256|obs_0000034424|obs_0000010394|obs_0000006015|obs_0000006548|obs_0000005997|obs_0000005630,obs_0000034427
