Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Fruchtgummi,Katjes,"€ 0,99",,"1 kg = 4,71","1 kg = 4,71","versch. Sorten, je 210-g-Btl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_001.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,BLS-S361000,ref_000001,obs_0000031302|obs_0000006380|obs_0000029422|obs_0000006916|obs_0000017027|obs_0000001930|obs_0000002314|obs_0000019082|obs_0000019722|obs_0000002318|obs_0000020367|obs_0000002320|obs_0000021394|obs_0000024204|obs_0000016918|obs_0000025361|obs_0000016298|obs_0000020778|obs_0000025134|obs_0000020787|obs_0000021688|obs_0000025528|obs_0000011323|obs_0000021186|obs_0000013647|obs_0000016719|obs_0000014289|obs_0000017102|obs_0000017103|obs_0000027215|obs_0000027602|obs_0000021597|obs_0000020575|obs_0000023776|obs_0000021606|obs_0000023399|obs_0000010105|obs_0000002943,obs_0000031302|obs_0000006380|obs_0000029422|obs_0000010105,x,
Knax Gewürzgurken,Hengstenberg,"€ 1,79",,"1 kg = 4,97","1 kg = 4,97","knackig und würzig, je 670-g-Glas, 360 g Abtropfgewicht",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_176.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",bamberg,,,ref_000002,obs_0000029677|obs_0000001198|obs_0000015842|obs_0000028552|obs_0000033813|obs_0000028669,obs_0000001198|obs_0000015842|obs_0000029677,x,
Thunfisch-Salat,Saupiquet,"€ 2,29",,"1 kg = 14,31","1 kg = 14,31","versch. Sorten, je 160-g-Dosen-Pckg",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_177.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000003,obs_0000029303|obs_0000032053|obs_0000032672|obs_0000006829|obs_0000011810|obs_0000031813|obs_0000009827|obs_0000019063|obs_0000009368|obs_0000008366|obs_0000001218|obs_0000014193|obs_0000026575|obs_0000015841|obs_0000029304|obs_0000034620|obs_0000013927|obs_0000013452|obs_0000015656|obs_0000014147|obs_0000025985,obs_0000011810|obs_0000031813|obs_0000009827|obs_0000029303|obs_0000019063|obs_0000009368|obs_0000006829|obs_0000008366|obs_0000001218|obs_0000032053|obs_0000014193|obs_0000032672|obs_0000026575|obs_0000015841,x,
Curry-Gewürzketchup,Hela,"€ 1,49",,"1 l = 4,97","1 l = 4,97","delikat, je 300-ml-Fl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_178.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,BLS-R141200,ref_000004,obs_0000032397,obs_0000032397|obs_0000026532,x,
Feinschmecker Sauce,Knorr,"€ 0,79",,"pro Einheit = 0,79","pro Einheit = 0,79","versch. Sorten, ausreichend für 250 ml, je 1-Btl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_179.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,,ref_000005,obs_0000015002|obs_0000031025|obs_0000010700|obs_0000028755|obs_0000006481|obs_0000029302|obs_0000032117|obs_0000013386|obs_0000034889|obs_0000011915|obs_0000010474|obs_0000008982|obs_0000007181|obs_0000005743|obs_0000032425|obs_0000007368,obs_0000007182|obs_0000005744|obs_0000029302|obs_0000015000|obs_0000015002|obs_0000007371|obs_0000031022|obs_0000031025|obs_0000006482|obs_0000012659|obs_0000032117|obs_0000010698|obs_0000010700,,
Hellmann s Chunky Burger Sauce oder Mayonnaise Die Cremige,BÜRGER,"€ 1,49",,"1 l = 5,96","1 l = 5,96",je 250-ml-Fl.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_180.jpg,"cat_grundnahrung,diet_vegetarian",bamberg,,,ref_000006,obs_0000031023|obs_0000006311|obs_0000015657|obs_0000010674|obs_0000001763|obs_0000015844,,x,
Thunfisch Filets,followfood,"€ 2,79",,"1 kg = 21,46","1 kg = 21,46","in eigenem Saft, je 185-g-Dosen-Pckg, 130 g Abtropfgewicht",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_181.jpg,"cat_grundnahrung,diet_lactose_free,tag_ultra_processed",bamberg,,,ref_000007,obs_0000031286|obs_0000032675|obs_0000006130|obs_0000019499|obs_0000024173|obs_0000020625|obs_0000022192|obs_0000023751|obs_0000025801|obs_0000010669|obs_0000022972|obs_0000021444|obs_0000031505|obs_0000002838|obs_0000003020|obs_0000013927|obs_0000013452|obs_0000015656|obs_0000014147,obs_0000031286|obs_0000032675|obs_0000006130,x,
Rote Pfeffersoße,Tabasco,"€ 1,99",,"1 l = 33,17","1 l = 33,17",je 60-ml-Fl.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_182.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000008,obs_0000008377,,x,
Altmeister Essig,Hengstenberg,"€ 1,11",,"1 l = 1,23","1 l = 1,23","Der Klassiker, je 900-ml-Fl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_183.jpg,"cat_grundnahrung,diet_gluten_free,diet_vegan,diet_vegetarian",bamberg,,,ref_000009,obs_0000005370|obs_0000013504|obs_0000014540|obs_0000015850,obs_0000013504|obs_0000014540|obs_0000005370,x,
Essig Essenz,Hengstenberg,"€ 1,11",,"1 kg = 1,46","1 kg = 1,46","naturvergoren, je 760-g-Fl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_185.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000010,obs_0000019760|obs_0000016432|obs_0000005370|obs_0000015850,,x,
Meishi Instantnudeln Chicken Flavour,Keine Marke,"€ 0,29",,"1 kg = 3,41","1 kg = 3,41",je 85-g-Pckg.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_186.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_gefluegel,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000011,obs_0000023578|obs_0000034512,,,
Butcher s Sauce,Keine Marke,"€ 1,19",,"1 l = 3,97","1 l = 3,97","versch. Sorten, je 300-ml-Fl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_188.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000012,obs_0000013386|obs_0000034889|obs_0000011915|obs_0000010474|obs_0000008982,,,
Schokolade,Ritter Sport,"€ 1,11",,"1 kg = 11,10","1 kg = 11,10","versch. Sorten, je 100-g-Tafel",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_189.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg,,BLS-S500000,ref_000013,obs_0000031849|obs_0000002336|obs_0000016691|obs_0000017857|obs_0000011765|obs_0000011783|obs_0000015893|obs_0000027700|obs_0000013879|obs_0000028232|obs_0000013394|obs_0000028244|obs_0000028249|obs_0000000091|obs_0000015454|obs_0000004705|obs_0000034408|obs_0000034411|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000025739|obs_0000008861|obs_0000015026|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000017605|obs_0000034013|obs_0000000230|obs_0000018155|obs_0000003326|obs_0000004873|obs_0000018698|obs_0000003851|obs_0000014104|obs_0000010522|obs_0000033056|obs_0000031011|obs_0000021291|obs_0000004446|obs_0000011112|obs_0000008595|obs_0000008610|obs_0000004019|obs_0000006579|obs_0000010166|obs_0000012219|obs_0000026556|obs_0000009149,obs_0000011783|obs_0000015893|obs_0000027700|obs_0000013879|obs_0000028232|obs_0000013394|obs_0000028244|obs_0000028249|obs_0000000091|obs_0000015454|obs_0000004705|obs_0000034408|obs_0000031849|obs_0000034411|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000025739|obs_0000008861|obs_0000015026|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000017605|obs_0000034013|obs_0000000230|obs_0000018155|obs_0000003326|obs_0000032007|obs_0000004873|obs_0000018698|obs_0000003851|obs_0000014104|obs_0000010522|obs_0000002336|obs_0000033056|obs_0000031011|obs_0000021291|obs_0000016691|obs_0000029001|obs_0000004446|obs_0000011112|obs_0000008595|obs_0000008610|obs_0000032690|obs_0000004019|obs_0000006579|obs_0000010166|obs_0000012219|obs_0000026556,,
Bueno,Kinder,"€ 2,99",,"1 kg = 13,91","1 kg = 13,91","je 10 x 21,5-g-Pckg.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_190.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,,ref_000014,obs_0000015458|obs_0000024693|obs_0000010946|obs_0000013542|obs_0000023306|obs_0000022888|obs_0000006582|obs_0000012221|obs_0000021588|obs_0000006233|obs_0000030306|obs_0000007287|obs_0000033011|obs_0000032006|obs_0000017164|obs_0000020769|obs_0000015141|obs_0000025406|obs_0000029007|obs_0000019282|obs_0000005472|obs_0000018371|obs_0000022487|obs_0000010212|obs_0000016368|obs_0000026264|obs_0000018796|obs_0000009131|obs_0000010193|obs_0000017407|obs_0000028142,obs_0000006233|obs_0000015458|obs_0000030306|obs_0000024693|obs_0000007287|obs_0000010946|obs_0000013542|obs_0000032006|obs_0000023306|obs_0000029007|obs_0000005472|obs_0000022888|obs_0000006582|obs_0000012221,,
extra zarte Heringsfilets,Hawesta,"€ 1,11",,"1 kg = 5,55","1 kg = 5,55","versch. Sorten, je 200-g-Dose",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_175.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000015,obs_0000032302|obs_0000006134|obs_0000012835|obs_0000011345|obs_0000013969|obs_0000014064|obs_0000028030|obs_0000008151|obs_0000015371|obs_0000002069|obs_0000014367|obs_0000011350|obs_0000034417|obs_0000015501|obs_0000012446|obs_0000002730|obs_0000027864|obs_0000034021|obs_0000015088|obs_0000008976|obs_0000013624|obs_0000019269|obs_0000011593|obs_0000013180|obs_0000012176,obs_0000032302|obs_0000006134,x,
Mars Snickers Minis,Snickers,"€ 2,99",,"1 kg = 13,17","1 kg = 13,17",je 227-g-Pckg.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_193.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000016,obs_0000030088|obs_0000005471|obs_0000019480|obs_0000015901|obs_0000025627|obs_0000019541|obs_0000012394|obs_0000029325|obs_0000032433|obs_0000025800|obs_0000032014|obs_0000024884|obs_0000016191|obs_0000011085|obs_0000026017|obs_0000022992|obs_0000013779|obs_0000013309|obs_0000022527,obs_0000030088,x,
Schogetten,Schogetten,"€ 1,11",,"1 kg = 11,10","1 kg = 11,10","versch. Sorten, je 100-g-Tafel",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_194.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,BLS-G485100,ref_000017,obs_0000022434|obs_0000018476|obs_0000006230|obs_0000017078|obs_0000016601,obs_0000022434|obs_0000018476|obs_0000006230|obs_0000017078|obs_0000016601,x,
Toffifee,Storck,"€ 3,99",,"1 kg = 9,98","1 kg = 9,98",je 400-g-Pckg.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_195.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg,,,ref_000018,obs_0000034826|obs_0000000800|obs_0000027056|obs_0000015039|obs_0000016098|obs_0000013931|obs_0000027374|obs_0000026224|obs_0000001528|obs_0000000139|obs_0000005659|obs_0000032171|obs_0000032691|obs_0000029004|obs_0000006738|obs_0000029689|obs_0000010170,obs_0000034826|obs_0000005659|obs_0000000800|obs_0000032171|obs_0000027056|obs_0000032691|obs_0000015039|obs_0000029004|obs_0000006738|obs_0000016098|obs_0000013931|obs_0000027374|obs_0000026224|obs_0000001528|obs_0000029689,,
Kit Kat,Nestlé,"€ 1,79",,"1 kg = 10,78","1 kg = 10,78","je 4 x 41,5-g-Pckg.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_196.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,,ref_000019,obs_0000032696|obs_0000029690,obs_0000028765|obs_0000017118|obs_0000016824|obs_0000032696|obs_0000029690,,x
Törtchen oder Schnittchen,Manner,"€ 2,49",,"1 kg = 6,23","1 kg = 6,23",je 400-g-Btl.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_197.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg,,,ref_000020,obs_0000012844|obs_0000017726,,x,
Soft Cake,Griesson,"€ 1,99",,"1 kg = 6,63","1 kg = 6,63","Orange, je 300-g-Pckg.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_198.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000021,obs_0000029324|obs_0000028910,obs_0000029324|obs_0000028910,x,
Peanuts,Treets,"€ 1,79",,"1 kg = 9,68","1 kg = 9,68","vegan, je 185-g-Pckg.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_199.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000022,obs_0000029996|obs_0000010730|obs_0000007693|obs_0000001247,obs_0000010730|obs_0000029996,x,
Nuss-Mix,Kluth,"€ 2,99",,"1 kg = 10,87","1 kg = 10,87","geröstet & gesalzen, je 275-g-Dose",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_200.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000023,obs_0000000720|obs_0000002629|obs_0000002128|obs_0000033416|obs_0000033561|obs_0000024700,,x,
Dinkel Milchbrötchen,Ibis,"€ 2,39",,"1 kg = 8,54","1 kg = 8,54",je 280-g-Pckg.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_201.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000024,obs_0000033743|obs_0000025849,,x,
Nacho Cheese,Doritos,"€ 1,11",,"1 kg = 10,09","1 kg = 10,09",je 110-g-Pckg.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_202.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000025,obs_0000032436|obs_0000004488|obs_0000009505|obs_0000003119|obs_0000004915|obs_0000004061|obs_0000000366|obs_0000009966,obs_0000009505|obs_0000032436|obs_0000009966,x,
Lovelies,Merci,"€ 2,49",,"1 kg = 13,46","1 kg = 13,46",je 185-g-Pckg.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_203.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,,ref_000026,obs_0000012392|obs_0000035097|obs_0000034393,obs_0000012392|obs_0000035097,,
Schoko-Bons,Kinder,"€ 2,99",,"1 kg = 14,95","1 kg = 14,95",je 200-g-Btl.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_204.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,,ref_000027,obs_0000024077|obs_0000024708|obs_0000024491|obs_0000022964|obs_0000028227|obs_0000006740|obs_0000021701|obs_0000021208|obs_0000018145|obs_0000014120|obs_0000017732|obs_0000020389|obs_0000019198,obs_0000024077|obs_0000006740|obs_0000024708|obs_0000024491|obs_0000022964,,
Bake Rolls,TUC,"€ 1,49",,"1 kg = 9,93","1 kg = 9,93","versch. Sorten, je 150-g-Btl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_205.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000028,obs_0000007916|obs_0000032702|obs_0000023731|obs_0000024157|obs_0000005658,obs_0000007916|obs_0000023731|obs_0000024157|obs_0000032702,x,
Saft,Hohes C,"€ 1,79",,"pro Einheit = 1,79","pro Einheit = 1,79","versch. Sorten, ausgenommen 100% Orangensäfte, je 1-l-Fl., zzgl. 0,25 € Pfand",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_206.jpg,cat_getraenke,bamberg,,BLS-F514600,ref_000029,obs_0000021042|obs_0000026785|obs_0000019142|obs_0000020223|obs_0000026383|obs_0000028431|obs_0000027982|obs_0000024985|obs_0000027142|obs_0000025618|obs_0000027674|obs_0000026144|obs_0000016953|obs_0000033872|obs_0000034438|obs_0000032918|obs_0000017106|obs_0000034047|obs_0000022436|obs_0000010200|obs_0000017915|obs_0000015913|obs_0000015914|obs_0000030300|obs_0000029845|obs_0000008343|obs_0000032472|obs_0000029417|obs_0000032021|obs_0000031005|obs_0000011568|obs_0000011569|obs_0000007474|obs_0000029012|obs_0000034650|obs_0000000868|obs_0000007095|obs_0000031164|obs_0000032190|obs_0000008148|obs_0000030841|obs_0000015054|obs_0000029441|obs_0000026036|obs_0000006726|obs_0000032384|obs_0000005825|obs_0000027407|obs_0000007092|obs_0000030171,obs_0000027142|obs_0000025618|obs_0000027674|obs_0000026144|obs_0000021042|obs_0000016953|obs_0000033872|obs_0000030300|obs_0000034438|obs_0000032918|obs_0000026785|obs_0000019142|obs_0000017106|obs_0000029417|obs_0000034047|obs_0000020223|obs_0000026383|obs_0000028431|obs_0000032021|obs_0000027982|obs_0000024985|obs_0000022436|obs_0000010200|obs_0000017915,,
Chips,LAY'S,"€ 1,11",,"1 kg = 7,40","1 kg = 7,40","gesalzen, je 150-g-Pckg.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_192.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,,ref_000030,obs_0000023296|obs_0000014595|obs_0000014349|obs_0000002584|obs_0000035109|obs_0000003161|obs_0000011110|obs_0000033655|obs_0000034193|obs_0000031705|obs_0000015889|obs_0000010270|obs_0000000033|obs_0000008236|obs_0000002126|obs_0000021584|obs_0000034402|obs_0000010390|obs_0000032432|obs_0000003763|obs_0000028868|obs_0000026827|obs_0000008911|obs_0000022229|obs_0000001764|obs_0000028950|obs_0000020765|obs_0000033679|obs_0000001941|obs_0000034206|obs_0000013222|obs_0000015272|obs_0000026589|obs_0000010725|obs_0000001536|obs_0000007686|obs_0000018514|obs_0000025700|obs_0000028803|obs_0000028815|obs_0000014102|obs_0000011548|obs_0000035085|obs_0000011109|obs_0000030104|obs_0000033689|obs_0000022996|obs_0000002551|obs_0000007684|obs_0000007688,obs_0000014349|obs_0000002584|obs_0000035109|obs_0000003161|obs_0000032432|obs_0000023296|obs_0000014595|obs_0000011110|obs_0000033655|obs_0000034193|obs_0000031705,,x
Pasta Pot,Knorr,"€ 0,99",,"1 kg = 15,71","1 kg = 15,71","Käse & Sahne, je 63-g-Becher",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_174.jpg,"cat_grundnahrung,diet_vegetarian,sub_nudeln,tag_ultra_processed",bamberg,,,ref_000031,obs_0000031331|obs_0000028668|obs_0000028551|obs_0000032422|obs_0000032003|obs_0000029040|obs_0000030716|obs_0000033817|obs_0000028496|obs_0000020003|obs_0000035104|obs_0000028733|obs_0000022097|obs_0000002663|obs_0000034419|obs_0000017082|obs_0000021187|obs_0000034026|obs_0000026899|obs_0000018196|obs_0000018708|obs_0000016662|obs_0000011092|obs_0000014165|obs_0000019293|obs_0000019845|obs_0000020368|obs_0000025518|obs_0000028607|obs_0000018893|obs_0000017359|obs_0000016866,obs_0000031331|obs_0000032422|obs_0000032003|obs_0000029040|obs_0000030716,,
Ravioli,Maggi,"€ 1,99",,"1 kg = 2,49","1 kg = 2,49","versch. Sorten, je 800-g-Dose",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_173.jpg,"cat_grundnahrung,sub_nudeln,tag_ultra_processed",bamberg,,BLS-X344260,ref_000032,obs_0000027414|obs_0000014375|obs_0000010082|obs_0000020915|obs_0000022225|obs_0000020096|obs_0000027669|obs_0000008638|obs_0000033999|obs_0000005934,obs_0000027414|obs_0000014375|obs_0000010082,,
Pasta Spaghetti,De Cecco,"€ 1,49",,"1 kg = 2,98","1 kg = 2,98",je 500-g-Pckg.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_172.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln",bamberg,,,ref_000033,obs_0000034026|obs_0000028496|obs_0000028607|obs_0000033820|obs_0000020003|obs_0000035104|obs_0000028733|obs_0000020035|obs_0000022097|obs_0000002663|obs_0000001650|obs_0000034419|obs_0000004761|obs_0000017082|obs_0000021187|obs_0000004334|obs_0000001286|obs_0000000270|obs_0000026899|obs_0000018196|obs_0000018708|obs_0000016662|obs_0000003907|obs_0000011092|obs_0000014165|obs_0000019293|obs_0000020854|obs_0000022908|obs_0000019845|obs_0000020368|obs_0000025518|obs_0000009155|obs_0000018893|obs_0000017359|obs_0000016866|obs_0000001508,,,
Chef Frites,McCain,"€ 1,59",,"1 kg = 1,57","1 kg = 1,57","tiefgefroren, je 1013-g-Btl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_141.jpg,"cat_tiefkuehl,sub_kartoffeln,tag_ultra_processed",bamberg,,BLS-V584100,ref_000034,obs_0000011342|obs_0000008955|obs_0000021782|obs_0000020548|obs_0000021367|obs_0000032217|obs_0000029168,obs_0000011342|obs_0000032217|obs_0000029168|obs_0000008955,,
Gemüse-Ideen Italienische Art,Iglo,"€ 2,39",,"1 kg = 4,98","1 kg = 4,98","tiefgefroren, je 480-g-Pckg.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_142.jpg,"cat_tiefkuehl,diet_vegan,diet_vegetarian,sub_tk_gemuese",bamberg,,,ref_000035,obs_0000028318|obs_0000018651|obs_0000025833|obs_0000021989|obs_0000011900|obs_0000014506|obs_0000012813|obs_0000017491|obs_0000033909|obs_0000011055|obs_0000018735|obs_0000016753|obs_0000010642|obs_0000015818|obs_0000014837|obs_0000025597|obs_0000018942,obs_0000032396,,
Tagliatelle Wildlachs,Frosta,"€ 2,79",,"1 kg = 6,20","1 kg = 6,20","tiefgefroren, je 450-g-Btl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_143.jpg,"cat_tiefkuehl,sub_nudeln,sub_tk_fertiggerichte",bamberg,,,ref_000036,obs_0000022985|obs_0000032386|obs_0000006469,obs_0000032386,,
Suprema Romano,Dr. Oetker,"€ 4,44",,"1 kg = 9,12","1 kg = 9,12","tiefgefroren, je 487-g-Pckg.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_144.jpg,"cat_tiefkuehl,tag_ultra_processed",bamberg,,,ref_000037,obs_0000029704,obs_0000029704,,x
Beyond Burger Chicken Style,Beyond Meat,"€ 2,99",,"1 kg = 16,61","1 kg = 16,61","tiefgefroren, je 180-g-Pckg.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_145.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegetarian,sub_gefluegel,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000038,obs_0000029707|obs_0000029701|obs_0000023609,obs_0000029707,x,
Rote Tafeläpfel,Keine Marke,"€ 1,29",,"pro Einheit = 1,29","pro Einheit = 1,29","Sorte: siehe Etikett, Kl. I, je 1-kg-Schale",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_146.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",bamberg,,,ref_000039,obs_0000029712|obs_0000031770|obs_0000030963|obs_0000031476|obs_0000029944|obs_0000029483|obs_0000030090|obs_0000029594|obs_0000031139|obs_0000031229|obs_0000029133|obs_0000030819|obs_0000030914|obs_0000028684|obs_0000032327|obs_0000005704|obs_0000028564,obs_0000029712|obs_0000031770|obs_0000030963|obs_0000031476|obs_0000029944|obs_0000029483|obs_0000030090|obs_0000029594|obs_0000031139|obs_0000031229|obs_0000029133,,
Das Pure,REWE Bio,"€ 1,75",,"1 kg = 5,83","1 kg = 5,83","ohne Mehl und Hefe, aus Bio-Hafer und Ölsaaten, je 300-g-Btl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_147.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,tag_whole_food",bamberg,,,ref_000040,obs_0000003646|obs_0000001685|obs_0000006260|obs_0000030936|obs_0000026195,obs_0000003646|obs_0000001685|obs_0000030936,,
Roter Traubensaft,REWE Bio,"€ 2,29",,"pro Einheit = 2,29","pro Einheit = 2,29","100% Direktsaft, je 1-l-Pckg.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_148.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",bamberg,,,ref_000041,obs_0000029411,obs_0000029411,,
