Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Champignons braun,EDEKA Herzstücke,"€ 2,49",,"1 kg = 8,30","aus Deutschland, Kl. I, 300 g Packung, (1 kg = 8,30 €)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-herzst-cke-champignons-braun.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_pilze,tag_whole_food",,BLS-K701162,ref_000011,obs_0000006419|obs_0000034111|obs_0000034307|obs_0000011411|obs_0000034734|obs_0000033885|obs_0000014978|obs_0000027283|obs_0000028450|obs_0000031799|obs_0000005321|obs_0000008021|obs_0000014046|obs_0000027747|obs_0000026991|obs_0000001277|obs_0000005123|obs_0000007133,obs_0000006419|obs_0000028055|obs_0000007575|obs_0000034111|obs_0000006080|obs_0000005321
Chiquita Bananen,Keine Marke,"€ 2,29",,"1 kg = 2,29","Herkunft siehe Auszeichnung, 1 kg",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/chiquita-bananen.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000012,obs_0000005880|obs_0000031875|obs_0000027051|obs_0000032185|obs_0000032060|obs_0000029136|obs_0000027736|obs_0000026329|obs_0000028769|obs_0000031472|obs_0000031729|obs_0000009078|obs_0000026492,obs_0000005880|obs_0000027736|obs_0000026329|obs_0000028769|obs_0000009078
XXL Basilikum,EDEKA Herzstücke,"€ 1,99",,"pro Einheit = 1,99","aus den Niederlanden/Deutschland, Kl. I Abbildung ähnlich., im 15 cm Ø Topf",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-herzst-cke-xxl-basilikum.jpg,"cat_obst_gemuese,tag_ultra_processed",,BLS-G061000,ref_000013,obs_0000008013|obs_0000012763|obs_0000013967,obs_0000008013
Zespri Kiwi grün,Keine Marke,"€ 0,39",,"pro Einheit = 0,39","aus Italien/Griechenland, Kl. I, Stück",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/zespri-kiwi-gr-n.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000014,obs_0000027156|obs_0000026390|obs_0000001072|obs_0000003522|obs_0000000503|obs_0000032057|obs_0000034118|obs_0000034917|obs_0000010274,obs_0000027156|obs_0000026390|obs_0000003522
Tafeltrauben Mix kernlos,Keine Marke,"€ 2,99",,"1 kg = 5,98","Sorte und Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 5,98 €)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/tafeltrauben-mix-kernlos.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000015,obs_0000029819|obs_0000028483|obs_0000028593|obs_0000006275|obs_0000006261|obs_0000007315|obs_0000034123|obs_0000008710|obs_0000028721|obs_0000008765|obs_0000010312|obs_0000008792|obs_0000031873|obs_0000028835|obs_0000028335|obs_0000014088|obs_0000008527|obs_0000024700|obs_0000009624|obs_0000010211,
Mini Wassermelone,Keine Marke,"€ 2,99",,"pro Einheit = 2,99","aus Costa Rica, Kl. I, Stück",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/mini-wassermelone.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,BLS-F535100,ref_000016,obs_0000006962|obs_0000006426|obs_0000012328|obs_0000006379|obs_0000031381|obs_0000010932|obs_0000017530|obs_0000026024|obs_0000018128|obs_0000016216,obs_0000006962
San Lucar Ananas,Keine Marke,"€ 2,99",,"pro Einheit = 2,99","aus Costa Rica, Kl. I, Stück",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/san-lucar-ananas.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,,ref_000017,obs_0000007311|obs_0000007127|obs_0000005512|obs_0000028967|obs_0000014138|obs_0000027077|obs_0000007137,obs_0000007731
Apeel Avocado Hass genussreif,EDEKA Herzstücke,"€ 2,49",,"pro Einheit = 2,49","aus Israel, Kl. I, Stück",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-herzst-cke-apeel-avocado-hass-genussreif.jpg,"cat_obst_gemuese,diet_lactose_free,diet_vegetarian,tag_ultra_processed",,,ref_000018,obs_0000006785|obs_0000007317|obs_0000006430|obs_0000007527|obs_0000029201|obs_0000008728|obs_0000000058|obs_0000020117|obs_0000000694|obs_0000027854|obs_0000034516|obs_0000014073|obs_0000017166|obs_0000001305|obs_0000034105|obs_0000018748|obs_0000030562|obs_0000027541|obs_0000029123|obs_0000020936,
Passionsfrucht,EDEKA Herzstücke,"€ 0,99",,"pro Einheit = 0,99","Herkunft siehe Etikett, Kl. I, Stück",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-herzst-cke-passionsfrucht.jpg,"cat_obst_gemuese,diet_vegetarian,tag_ultra_processed",,BLS-F508100,ref_000019,obs_0000008964|obs_0000030613|obs_0000013976|obs_0000027420|obs_0000003114|obs_0000033714|obs_0000028626|obs_0000028512|obs_0000013440|obs_0000006963|obs_0000006968|obs_0000011388,obs_0000008964|obs_0000030613|obs_0000013976|obs_0000027420|obs_0000003114|obs_0000033714|obs_0000006963|obs_0000006968|obs_0000028626|obs_0000028512
Mini-Rispentomaten,EDEKA Herzstücke,"€ 1,99",,"1 kg = 4,98","aus den Niederlanden, Kl. I, 400 g Packung, (1 kg = 4,98)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-herzst-cke-mini-rispentomaten.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000020,obs_0000006427|obs_0000006431|obs_0000029206|obs_0000031628|obs_0000030260|obs_0000030918|obs_0000030961|obs_0000031140|obs_0000029129|obs_0000029204|obs_0000031461|obs_0000029645|obs_0000030141|obs_0000032515|obs_0000030469|obs_0000030568|obs_0000030614|obs_0000012328|obs_0000008287|obs_0000006379|obs_0000030960|obs_0000006608|obs_0000027139|obs_0000029276|obs_0000010932|obs_0000027413|obs_0000031578|obs_0000000876|obs_0000029588|obs_0000029590|obs_0000007140|obs_0000029814|obs_0000017530|obs_0000007312|obs_0000007325|obs_0000027927|obs_0000005503|obs_0000005527|obs_0000026024|obs_0000026075|obs_0000013997|obs_0000018128|obs_0000005882|obs_0000016216,obs_0000006427|obs_0000006431|obs_0000031140|obs_0000006608|obs_0000029206|obs_0000031628|obs_0000007140|obs_0000007312|obs_0000007325|obs_0000005503|obs_0000005527|obs_0000030260|obs_0000005882|obs_0000032515|obs_0000030469
