Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Pointee Pasta,Keine Marke,"€ 0,99",,"1 kg = 1,98","1 kg = 1,98",,Nein,"Wochenangebote gültig von Montag, 20.04.26 - Samstag, 25.04.26",20.04.26,25.04.26,../images/netto/netto_offer_001.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,sub_nudeln,tag_ultra_processed,tag_whole_food",,,ref_000001,obs_0000020003|obs_0000035104|obs_0000028733|obs_0000022097|obs_0000002663|obs_0000034419|obs_0000017082|obs_0000021187|obs_0000034026|obs_0000026899|obs_0000018196|obs_0000018708|obs_0000016662|obs_0000028496|obs_0000011092|obs_0000014165|obs_0000019293|obs_0000019845|obs_0000020368|obs_0000025518|obs_0000028607|obs_0000018893|obs_0000017359|obs_0000016866,,,
Pink Lady Äpfel,Keine Marke,"€ 2,22","€ 2,69","pro Einheit = 2,22","pro Einheit = 2,22","Frankreich / Italien, Kl. I, Sorte: Cripps Pink",Nein,"Wochenangebote gültig von Montag, 20.04.26 - Samstag, 25.04.26",20.04.26,25.04.26,../images/netto/netto_offer_002.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000002,obs_0000028047|obs_0000002562|obs_0000016900|obs_0000021770|obs_0000033931|obs_0000002961|obs_0000026234|obs_0000027801|obs_0000024988|obs_0000003115|obs_0000027442|obs_0000001075|obs_0000026677|obs_0000027192|obs_0000022211|obs_0000016710|obs_0000027723|obs_0000018124|obs_0000027995|obs_0000034535,obs_0000028047|obs_0000022211|obs_0000027723|obs_0000018124,,
Weichkäse,President,"€ 2,49","€ 2,99","pro Einheit = 13,83","pro Einheit = 13,83","gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 20.04.26 - Samstag, 25.04.26",20.04.26,25.04.26,../images/netto/netto_offer_004.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte",,,ref_000004,obs_0000022418|obs_0000010262|obs_0000018456|obs_0000028718|obs_0000023373|obs_0000009810|obs_0000023007|obs_0000017509|obs_0000028005|obs_0000009341|obs_0000012800,,x,
Milchschnitte,Ferrero,"€ 2,22","€ 2,99","1 kg = 7,93","1 kg = 7,93","gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 20.04.26 - Samstag, 25.04.26",20.04.26,25.04.26,../images/netto/netto_offer_005.jpg,"cat_knabbern_naschen,diet_vegetarian,sub_milchprodukte,tag_ultra_processed",,,ref_000005,obs_0000031540|obs_0000023382|obs_0000019989|obs_0000020053|obs_0000018526|obs_0000025249|obs_0000018114|obs_0000022276|obs_0000018277|obs_0000020872|obs_0000019147|obs_0000017694|obs_0000032603|obs_0000028086,obs_0000003091|obs_0000021580|obs_0000004808|obs_0000020761|obs_0000004381|obs_0000000301|obs_0000031540|obs_0000021844|obs_0000023382|obs_0000003954|obs_0000002430|obs_0000028086,,
Großtafel,Milka,"€ 2,99","€ 4,99","pro Einheit = 11,96","pro Einheit = 11,96",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 20.04.26 - Samstag, 25.04.26",20.04.26,25.04.26,../images/netto/netto_offer_006.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000006,obs_0000027227|obs_0000026311|obs_0000024066|obs_0000024490,obs_0000027227,,
Gänseblümchen,Keine Marke,"€ 12,99","€ 14,99","pro Einheit = 12,99","pro Einheit = 12,99",,Nein,"Wochenangebote gültig von Montag, 20.04.26 - Samstag, 25.04.26",20.04.26,25.04.26,../images/netto/netto_offer_007.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000007,obs_0000030746|obs_0000031367,,,
Waschmittel,Persil,"€ 16,99","€ 27,99","pro Einheit = 0,22","pro Einheit = 0,22",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 20.04.26 - Samstag, 25.04.26",20.04.26,25.04.26,../images/netto/netto_offer_008.jpg,cat_drogerie,,,ref_000008,obs_0000018542|obs_0000019568|obs_0000012454|obs_0000025598|obs_0000018449|obs_0000034866|obs_0000027703|obs_0000012875|obs_0000016462|obs_0000023646|obs_0000024174|obs_0000013946|obs_0000025217|obs_0000026760|obs_0000021665|obs_0000033445|obs_0000002728|obs_0000023748|obs_0000023244|obs_0000025812|obs_0000018152|obs_0000017654|obs_0000015109|obs_0000033069|obs_0000022331|obs_0000022340|obs_0000018794|obs_0000020846|obs_0000019827|obs_0000022410|obs_0000012181|obs_0000003486|obs_0000019384|obs_0000017352|obs_0000026568|obs_0000022520|obs_0000032848|obs_0000034457|obs_0000033599|obs_0000033136|obs_0000034253|obs_0000005662|obs_0000029731|obs_0000033858|obs_0000033361|obs_0000033370|obs_0000001139|obs_0000024698|obs_0000007291|obs_0000033426,obs_0000018449|obs_0000034866|obs_0000027703|obs_0000012875|obs_0000016462|obs_0000023646|obs_0000018542|obs_0000024174|obs_0000019568|obs_0000013946|obs_0000025217|obs_0000026760|obs_0000021665|obs_0000033445|obs_0000012454|obs_0000002728|obs_0000023748|obs_0000023244|obs_0000025812|obs_0000018152|obs_0000017654|obs_0000015109|obs_0000033069|obs_0000022331|obs_0000033599|obs_0000022340|obs_0000018794|obs_0000020846|obs_0000019827|obs_0000022410|obs_0000012181|obs_0000003486|obs_0000019384|obs_0000017352|obs_0000026568|obs_0000022520|obs_0000025598,,
Pils,Krombacher,"€ 11,99","€ 17,99","1 l = 1,20","1 l = 1,20",,Nein,"Wochenangebote gültig von Montag, 20.04.26 - Samstag, 25.04.26",20.04.26,25.04.26,../images/netto/netto_offer_009.jpg,"cat_getraenke,diet_vegetarian",,,ref_000009,obs_0000030755|obs_0000032735|obs_0000010755|obs_0000013338|obs_0000033823|obs_0000026170|obs_0000015941|obs_0000012871|obs_0000028759|obs_0000024176|obs_0000028275|obs_0000034423|obs_0000012448|obs_0000030400|obs_0000027329|obs_0000016578|obs_0000019656|obs_0000023756|obs_0000028878|obs_0000035035|obs_0000028408|obs_0000028937|obs_0000008467|obs_0000027944|obs_0000004922|obs_0000028500|obs_0000030556|obs_0000017247|obs_0000000370|obs_0000014202|obs_0000010120|obs_0000004495|obs_0000034708|obs_0000010165|obs_0000028614|obs_0000026062|obs_0000031695|obs_0000032730|obs_0000003041|obs_0000004068|obs_0000013819|obs_0000031740,obs_0000030755|obs_0000026170|obs_0000015941|obs_0000012871|obs_0000027329|obs_0000004922|obs_0000000370|obs_0000004495|obs_0000034708|obs_0000010165|obs_0000031695|obs_0000032735|obs_0000003041|obs_0000004068,x,
Chips,Pringles,"€ 1,99","€ 2,49","pro Einheit = 12,06","pro Einheit = 12,06",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 20.04.26 - Samstag, 25.04.26",20.04.26,25.04.26,../images/netto/netto_offer_010.jpg,"cat_knabbern_naschen,tag_ultra_processed",,,ref_000010,obs_0000002584|obs_0000003161|obs_0000033655|obs_0000031705|obs_0000014349|obs_0000035109|obs_0000023296|obs_0000014595|obs_0000011110|obs_0000034193|obs_0000015889|obs_0000010270|obs_0000000033|obs_0000008236|obs_0000002126|obs_0000021584|obs_0000034402|obs_0000010390|obs_0000032432|obs_0000003763|obs_0000028868|obs_0000026827|obs_0000008911|obs_0000022229|obs_0000001764|obs_0000028950|obs_0000020765|obs_0000033679|obs_0000001941|obs_0000034206|obs_0000013222|obs_0000015272|obs_0000026589|obs_0000010725|obs_0000001536|obs_0000010237|obs_0000007686|obs_0000018514|obs_0000025700|obs_0000028803|obs_0000028815|obs_0000014102|obs_0000011548|obs_0000035085|obs_0000011109|obs_0000030104|obs_0000033689|obs_0000022996|obs_0000002551|obs_0000007684,obs_0000014349|obs_0000002584|obs_0000035109|obs_0000003161|obs_0000023296|obs_0000014595|obs_0000011110|obs_0000033655|obs_0000034193|obs_0000031705,,
Spargel weiß violett,Keine Marke,"€ 11,99","€ 14,99","1 kg = 7,99","1 kg = 7,99","Deutschland, Kl. II",Nein,"Wochenangebote gültig von Montag, 20.04.26 - Samstag, 25.04.26",20.04.26,25.04.26,../images/netto/netto_offer_011.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000011,obs_0000006414|obs_0000007314|obs_0000001516,obs_0000006414,,
