Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Vodka,Three Sixty,"€ 9,99","€ 13,99","1 l = 14,27","1 l = 14,27","37,5% Vol.",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_179.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000179,obs_0000032135|obs_0000030759|obs_0000007256|obs_0000032746|obs_0000030425|obs_0000034428|obs_0000035049|obs_0000008713|obs_0000020363|obs_0000012175|obs_0000012431|obs_0000009883|obs_0000034845|obs_0000013474|obs_0000019368|obs_0000015665|obs_0000021182|obs_0000009791|obs_0000028354|obs_0000011132|obs_0000008904|obs_0000009420|obs_0000002903|obs_0000024028|obs_0000026846|obs_0000009320|obs_0000022378|obs_0000034034|obs_0000024448,obs_0000035049|obs_0000032135|obs_0000012431|obs_0000013474|obs_0000030759|obs_0000007256|obs_0000032746,x,
Gourmet Gold oder Perle,Keine Marke,"€ 9,99","€ 14,49","1 kg = 4,90","1 kg = 4,90",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_180.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,tag_ultra_processed",,,ref_000180,obs_0000029741|obs_0000032151|obs_0000032286|obs_0000032457|obs_0000034007|obs_0000034669|obs_0000010523|obs_0000010721|obs_0000011104|obs_0000012629|obs_0000012669|obs_0000013227|obs_0000013668|obs_0000023259|obs_0000015117|obs_0000015276|obs_0000031712|obs_0000031776,,,
Geschirr-Reiniger Maxi Pack,finish,"€ 7,99",,"pro Einheit = 0,22","pro Einheit = 0,22",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_181.jpg,"cat_drogerie,tag_ultra_processed",,,ref_000181,obs_0000027111|obs_0000031762|obs_0000013848|obs_0000013362|obs_0000027202|obs_0000015954|obs_0000024166|obs_0000017601|obs_0000028357|obs_0000023750|obs_0000010953|obs_0000012011|obs_0000026432|obs_0000014189|obs_0000027513|obs_0000025004|obs_0000019901|obs_0000003536|obs_0000018411|obs_0000033271,,x,
Snacks Play Tubes,Felix,"€ 2,99",,"pro Einheit = 16,61","pro Einheit = 16,61",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_182.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",,,ref_000182,,,x,
Küchentücher,Glücksblatt,"€ 3,99","€ 5,69","pro Einheit = 3,99","pro Einheit = 3,99",3-lagig,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_183.jpg,"cat_obst_gemuese,diet_gluten_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000183,obs_0000017283|obs_0000026500|obs_0000028044|obs_0000023316|obs_0000034463|obs_0000027452|obs_0000013759|obs_0000020296|obs_0000025544|obs_0000034991|obs_0000002895|obs_0000014417|obs_0000027217|obs_0000010070|obs_0000011370|obs_0000016235|obs_0000022123|obs_0000019566|obs_0000022515|obs_0000014197|obs_0000021115|obs_0000018046,obs_0000026500|obs_0000027452|obs_0000002895,x,
Schweineohren,Pablo,"€ 4,99","€ 5,99","1 kg = 16,63","1 kg = 16,63",,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_184.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,sub_schwein,tag_whole_food",,,ref_000184,,,x,
Clever Clean Dampfbügelstation,Keine Marke,"€ 49,99","€ 89,99","pro Einheit = 49,99","pro Einheit = 49,99","starker, gleichmäßiger Dampfausstoß mit 3 bar, stufenlose Temperatureinstellung, auch für empfindliche Stoffe geeignet, kontinuierlicher Dauerdampf + vertikale Dampfstoß-Funktion",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_185.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000185,obs_0000022543|obs_0000023544,,,
Faltbarer Wäsche- und Universalkorb,Keine Marke,"€ 9,99","€ 14,99","pro Einheit = 9,99","pro Einheit = 9,99","25 Liter Füllvolumen, platzsparend zusammenfaltbar schnell griffbereit,ideal für Wäsche, u.v.m. Maße (entfaltet): ca. 52 x 30 x 39 cm Maße (gefaltet): ca. 64,5 x 40,5 x 2,8 cm",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_186.jpg,"cat_drogerie,diet_lactose_free,diet_vegetarian",,,ref_000186,,,,
Clever Clean Elektrische Reinigungsbürste,Keine Marke,"€ 14,99","€ 24,99","pro Einheit = 14,99","pro Einheit = 14,99","kompaktes Handgerät zum Putzen, Wischen und Polieren, inkl. 3 Aufsätze, kabelloser Akkubetrieb Maße: ca. 19,5 x 12 x 8 cm",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_187.jpg,"cat_drogerie,diet_vegetarian",,,ref_000187,obs_0000026781,,,
Waschmaschinen-Überbauregal,Keine Marke,"€ 19,99","€ 27,99","pro Einheit = 19,99","pro Einheit = 19,99","ideale Aufbewahrungslösung für mehr Stauraum, 3 Ablagen für Waschmittel, Reinigungsutensilien u.v.m., sehr leicht aufzubauen Maße: ca. 68 x 24 x 166 cm",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_188.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000188,obs_0000025882,obs_0000025882,,
Clever Clean 3in1 Kombi-Fensterwischer,Keine Marke,"€ 7,99","€ 12,99","pro Einheit = 7,99","pro Einheit = 7,99","Sprühflasche, Fensterwischer und Abzieher in einem, Kombi-Aufsatz Abzieher + Wischer lässt sich um 180° drehen, Wasserbehälter mit Sprühfunktion Maße: ca. 32 x 25 x 8,5 cm",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_189.jpg,"cat_getraenke,diet_gluten_free,diet_vegetarian",,,ref_000189,,,,
Clever Clean Azur-Glanztuch 2in1,Keine Marke,"€ 6,99","€ 14,99","pro Einheit = 6,99","pro Einheit = 6,99","universelles Reinigungstuch mit zwei Seiten, Reinigungsseite zum mühelosen Nassreinigen, Polierseite zum schlieren- und fusselfreien Nachtrocknen Maße: ca. 37 x 35 cm",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_190.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000190,,,,
Sleepy Bodenreinigungstücher,Keine Marke,"€ 4,99","€ 12,99","pro Einheit = 4,99","pro Einheit = 4,99","feuchte Bodenreinigungstücher, 8-lagige Gewebestruktur, für alle Oberflächen Maße: ca. 34,5 x 19 cm ideal für Click Flat Mop Bodenwischer",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_191.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000191,,,,
Clever Clean Click Flat Mop Bodenwischer,Keine Marke,"€ 14,99","€ 19,99","pro Einheit = 14,99","pro Einheit = 14,99","Superhygienisch! Kein direkter Hautkontakt beim Tuchwechsel, die Krokodilklemme hält die Mopptücher sicher fest, 360° drehbarer Kopf ideal für alle handelsüblichen Bodenreinigungstücher Maße: ca. 34 x 10,5 x 128 cm",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_192.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000192,,,,
Bettwäsche Mikrofaser,Keine Marke,"€ 14,99",,"pro Einheit = 14,99","pro Einheit = 14,99",mit Reißverschluss waschbar bei ca. 60°C und trocknergeeignet Maße Bettdeckenbezug: ca. 135 x 200 cm,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_193.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000193,obs_0000024310|obs_0000023887|obs_0000026412,,,
Wohndecke,Keine Marke,"€ 9,99",,"pro Einheit = 9,99","pro Einheit = 9,99",waschbar bei ca. 40°C Maße: ca. 150 x 200 cm,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_194.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000194,obs_0000023463|obs_0000018474|obs_0000022001|obs_0000026177|obs_0000026540|obs_0000030770|obs_0000002236,obs_0000023463|obs_0000018474|obs_0000022001,,
Bettwäsche Polycotton,Keine Marke,"€ 9,99",,"pro Einheit = 9,99","pro Einheit = 9,99",mit Reißverschluss waschbar bei ca. 60°C und trocknergeeignet Maße Bettdeckenbezug: ca. 135 x 200 cm Maße Kissenbezug: ca. 80 x 80 cm,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_195.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000195,obs_0000016431|obs_0000017238|obs_0000026412,,,
