Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Bio-Erdbeeren,Bio-Erdbeeren,"€ 2,99",,"1 kg = 9,97","1 kg = 9,97",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_049.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000049,obs_0000013414|obs_0000000875|obs_0000027419|obs_0000029494|obs_0000030564|obs_0000030617|obs_0000006265|obs_0000030915|obs_0000006408|obs_0000022919|obs_0000031261|obs_0000031462|obs_0000031576|obs_0000032512|obs_0000024529,,,
Äpfel,tegut,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_050.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F110100,ref_000050,obs_0000033931|obs_0000034535|obs_0000002562|obs_0000016900|obs_0000003115|obs_0000001075|obs_0000026677|obs_0000027192|obs_0000027723|obs_0000026234|obs_0000027801|obs_0000022211|obs_0000018124|obs_0000021770|obs_0000027442|obs_0000016710|obs_0000027995|obs_0000002961|obs_0000024988|obs_0000018328|obs_0000021066|obs_0000027213|obs_0000019091|obs_0000000697|obs_0000017162|obs_0000030477|obs_0000001303|obs_0000020247|obs_0000023327|obs_0000026979|obs_0000000881|obs_0000001905|obs_0000033718|obs_0000003523|obs_0000001514|obs_0000034314|obs_0000028717|obs_0000022521|obs_0000028047|obs_0000027059,obs_0000002562|obs_0000016900|obs_0000003115|obs_0000001075|obs_0000026677|obs_0000027192|obs_0000027723|obs_0000026234|obs_0000033931|obs_0000027801|obs_0000022211|obs_0000018124|obs_0000034535|obs_0000021770|obs_0000027442|obs_0000016710|obs_0000027995|obs_0000002961|obs_0000024988,,
Rhabarber,Rhabarber,"€ 0,49",,"pro Einheit = 0,49","pro Einheit = 0,49",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_051.jpg,"cat_non_food,tag_ultra_processed",,BLS-F081100,ref_000051,obs_0000029571,,,
Passionsfrucht,tegut,"€ 0,99",,"pro Einheit = 0,99","pro Einheit = 0,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_052.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,tag_ultra_processed",,BLS-F508100,ref_000052,obs_0000003114|obs_0000013976|obs_0000008964|obs_0000027420|obs_0000028512|obs_0000030613|obs_0000033714|obs_0000028626|obs_0000013440|obs_0000011388|obs_0000006963|obs_0000006968,obs_0000003114|obs_0000013976|obs_0000008964|obs_0000027420|obs_0000028512|obs_0000030613|obs_0000033714|obs_0000028626,,
Heidelbeeren,Heidelbeeren,"€ 3,33",,"1 kg = 11,10","1 kg = 11,10",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_053.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F304100,ref_000053,obs_0000033682|obs_0000000695|obs_0000034122|obs_0000000880|obs_0000033918|obs_0000002819|obs_0000026376|obs_0000032523|obs_0000027788|obs_0000003088|obs_0000025384|obs_0000025769|obs_0000031149|obs_0000007729|obs_0000000051|obs_0000030262|obs_0000003000|obs_0000016699|obs_0000032326|obs_0000019143|obs_0000026698|obs_0000029138|obs_0000030560|obs_0000028260|obs_0000001513|obs_0000027502|obs_0000034918|obs_0000006409|obs_0000030472|obs_0000034319|obs_0000030138|obs_0000030919|obs_0000022353|obs_0000005509|obs_0000005525|obs_0000005120|obs_0000006958|obs_0000005692|obs_0000007128|obs_0000007143|obs_0000005713|obs_0000005894,obs_0000002819|obs_0000026376|obs_0000032523|obs_0000027788|obs_0000003088|obs_0000033682|obs_0000025384|obs_0000025769|obs_0000031149|obs_0000007729|obs_0000000051|obs_0000030262|obs_0000000695|obs_0000003000|obs_0000016699|obs_0000032326|obs_0000019143|obs_0000026698|obs_0000034122|obs_0000029138|obs_0000030560|obs_0000028260|obs_0000001513|obs_0000027502|obs_0000000880|obs_0000033918|obs_0000034918,,
Saftorangen,Götterfrucht,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_054.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000054,obs_0000003139|obs_0000028871|obs_0000029595|obs_0000005869,obs_0000003139|obs_0000028871|obs_0000034743|obs_0000029595,,
Topfgerbera,Topfgerbera,"€ 3,99",,"pro Einheit = 3,99","pro Einheit = 3,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_055.jpg,cat_non_food,,,ref_000055,,,,
Spare Ribs,tegut LandPrimus,"€ 0,79",,"pro Einheit = 1,49","pro Einheit = 1,49",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,,"cat_fleisch_wurst,diet_vegetarian,sub_rind,tag_ultra_processed",,,ref_000056,obs_0000023589|obs_0000006708|obs_0000023242|obs_0000018051|obs_0000016961|obs_0000017346|obs_0000019179|obs_0000022390|obs_0000029859|obs_0000022858,obs_0000023589|obs_0000006708,,
Bio-Rindfleischburger,tegut... Bio,"€ 6,99",,"1 kg = 23,30","1 kg = 23,30",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_rind,tag_proteinreich,tag_whole_food",,,ref_000057,obs_0000034125,obs_0000034125,,x
Kalbsbraten,Kalbsbraten,"€ 2,49",,"pro Einheit = 2,99","pro Einheit = 2,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_058.jpg,"cat_fleisch_wurst,sub_rind",,BLS-X411563,ref_000058,obs_0000034925|obs_0000015751,,,
