Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Delikatess Hähnchenbrust,Dulano,"€ 1,59",,"1 kg = 15,90",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_218.jpg,"cat_fleisch_wurst,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_ultra_processed",,,ref_000215,obs_0000024652|obs_0000024225|obs_0000025321|obs_0000023799|obs_0000017968|obs_0000022638|obs_0000019628|obs_0000007426,obs_0000017968|obs_0000024652|obs_0000024225|obs_0000025321|obs_0000023799
Delikatess Lachsschinken,Dulano,"€ 2,39",,"1 kg = 15,93",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_219.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",,,ref_000216,obs_0000025663|obs_0000024691|obs_0000025853|obs_0000019345|obs_0000028711|obs_0000028268|obs_0000001769|obs_0000028588|obs_0000001023|obs_0000006858|obs_0000026709|obs_0000007419|obs_0000027441|obs_0000010598|obs_0000033776,obs_0000028711|obs_0000025663|obs_0000024654|obs_0000028268|obs_0000024691|obs_0000001769|obs_0000025853|obs_0000019345|obs_0000028588|obs_0000001023
Prosciutto Cotto,Dulano Selection,"€ 2,39",,"1 kg = 11,95",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_220.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_high_protein,tag_proteinreich,tag_ultra_processed",,,ref_000217,obs_0000027656|obs_0000015759|obs_0000000528|obs_0000026521|obs_0000012287|obs_0000024217|obs_0000023206|obs_0000000042|obs_0000003783|obs_0000024656|obs_0000003295|obs_0000002915|obs_0000002661|obs_0000023797|obs_0000002166|obs_0000007052|obs_0000005780|obs_0000030868|obs_0000032413|obs_0000029101|obs_0000022634|obs_0000007418|obs_0000032375|obs_0000007863,obs_0000027656|obs_0000015759|obs_0000000528|obs_0000024217|obs_0000026521|obs_0000024656|obs_0000023797|obs_0000012287
Delikatess Bacon,Dulano,"€ 2,59",,"1 kg = 10,36",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_221.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_schwein,sub_wurst,tag_ultra_processed",,,ref_000218,obs_0000024661|obs_0000025264|obs_0000019406|obs_0000024192|obs_0000023768|obs_0000025976|obs_0000026814|obs_0000011008|obs_0000014146|obs_0000012775|obs_0000001018|obs_0000001019|obs_0000007234,obs_0000024661|obs_0000024192|obs_0000025264|obs_0000023768|obs_0000025976|obs_0000019406
Cabanossi,Dulano,"€ 3,29",,"1 kg = 10,97",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",,BLS-W218100,ref_000219,obs_0000026511|obs_0000007215|obs_0000029651,obs_0000026511
Delikatess Leichte Schinkenwürfel,Dulano,"€ 2,39",,"1 kg = 15,93",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_223.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_schwein,sub_wurst,tag_proteinreich,tag_ultra_processed",,,ref_000220,obs_0000022618|obs_0000024215|obs_0000023793|obs_0000024660|obs_0000025973,obs_0000022618|obs_0000024215|obs_0000023793
Delikatess Wiener Würstchen,Dulano,"€ 6,79",,"pro Einheit = 6,79",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_224.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_wurst,tag_ultra_processed",,,ref_000221,obs_0000020658|obs_0000021477|obs_0000025857|obs_0000025858|obs_0000021769|obs_0000022620|obs_0000022639|obs_0000025257|obs_0000019218|obs_0000019624|obs_0000023787|obs_0000025855|obs_0000024212|obs_0000006186|obs_0000035106|obs_0000026784|obs_0000028948|obs_0000031274|obs_0000027189|obs_0000033778|obs_0000031737|obs_0000031889|obs_0000034174|obs_0000015758|obs_0000028076|obs_0000028276|obs_0000005789|obs_0000034466|obs_0000034490|obs_0000034811|obs_0000034981|obs_0000030926|obs_0000030949|obs_0000031934|obs_0000034160|obs_0000032355|obs_0000007858|obs_0000030483|obs_0000031788|obs_0000009369|obs_0000009557,obs_0000020658|obs_0000021477|obs_0000025857|obs_0000025858|obs_0000021769
Delikatess Schinkenfleischwurst,Dulano,"€ 3,29",,"1 kg = 5,06",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_225.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_proteinreich,tag_ultra_processed",,,ref_000222,obs_0000022612|obs_0000024210|obs_0000023786|obs_0000011006,obs_0000022612|obs_0000024210|obs_0000023786
Vakuumierer,SILVERCREST,"€ 17,99",,"pro Einheit = 17,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_227.jpg,cat_non_food,,,ref_000223,obs_0000023109|obs_0000025755|obs_0000027267|obs_0000027897|obs_0000023107|obs_0000018907|obs_0000008324|obs_0000015982|obs_0000025496|obs_0000011206|obs_0000011207|obs_0000011222|obs_0000007975|obs_0000016000,obs_0000023109|obs_0000027267|obs_0000025755|obs_0000027897
Geschirrset,SILVERCREST,"€ 49,99",,"pro Einheit = 49,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_228.jpg,cat_non_food,,,ref_000224,obs_0000022717|obs_0000016619|obs_0000025097|obs_0000021060|obs_0000025728|obs_0000020241|obs_0000019819,obs_0000022717
Sushi-Maker-Set,Silvercrest,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,,cat_non_food,,,ref_000225,obs_0000034507,
Frischhaltedosen-Set,SILVERCREST,"€ 5,99",,"pro Einheit = 5,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_230.jpg,cat_non_food,,,ref_000226,obs_0000023553|obs_0000000775|obs_0000016023|obs_0000016027|obs_0000016029|obs_0000012139|obs_0000012984|obs_0000013009|obs_0000019207|obs_0000026533|obs_0000012527|obs_0000012531|obs_0000012547|obs_0000012549|obs_0000013643|obs_0000016040|obs_0000012559|obs_0000010221,obs_0000019169|obs_0000000775|obs_0000023553|obs_0000016023|obs_0000016027|obs_0000016029|obs_0000012139|obs_0000026533
Schüssel-Set,SILVERCREST,"€ 8,99",,"pro Einheit = 8,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_231.jpg,cat_non_food,,,ref_000227,obs_0000023552|obs_0000023967|obs_0000024394|obs_0000010830|obs_0000012603|obs_0000027684,obs_0000023552
Frischhaltedosen-Set,SILVERCREST,"€ 1,59",,"pro Einheit = 1,59",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_232.jpg,cat_non_food,,,ref_000228,obs_0000023553|obs_0000000775|obs_0000016023|obs_0000016027|obs_0000016029|obs_0000012139|obs_0000012984|obs_0000013009|obs_0000019207|obs_0000026533|obs_0000012527|obs_0000012531|obs_0000012547|obs_0000012549|obs_0000013643|obs_0000016040|obs_0000012559|obs_0000010221,obs_0000019169|obs_0000000775|obs_0000023553|obs_0000016023|obs_0000016027|obs_0000016029|obs_0000012139|obs_0000026533
Quiche- und Obstkuchenform,SILVERCREST,"€ 2,99",,"pro Einheit = 2,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_233.jpg,cat_non_food,,,ref_000229,,
Reiskocher,SILVERCREST,"€ 17,99",,"pro Einheit = 17,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_234.jpg,cat_non_food,,BLS-X820162,ref_000230,obs_0000001416|obs_0000014359|obs_0000020602|obs_0000024956|obs_0000025352|obs_0000021421|obs_0000021714|obs_0000022177|obs_0000018213,obs_0000001416
Edelstahl-Küchensieb-Set,SILVERCREST,"€ 3,99",,"pro Einheit = 3,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_235.jpg,cat_non_food,,,ref_000231,obs_0000023963|obs_0000024389|obs_0000020718|obs_0000021537|obs_0000023967|obs_0000022070|obs_0000024394|obs_0000010830|obs_0000019207,obs_0000023963|obs_0000024389
Ramen-Set,SILVERCREST,"€ 6,99",,"pro Einheit = 6,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_236.jpg,cat_non_food,,,ref_000232,obs_0000008907,
Kühltasche mit Lunchboxen,Silvercrest,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_237.jpg,cat_non_food,,,ref_000233,obs_0000010848,obs_0000010848
Mikrowellendose-Set,Sistema,"€ 4,99",,"pro Einheit = 8,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_238.jpg,cat_non_food,,,ref_000234,obs_0000018641,obs_0000018641
Mikrowelle,SilverCrest,"€ 69,99",,"pro Einheit = 69,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,,cat_non_food,,BLS-F224100,ref_000235,obs_0000020757|obs_0000023320|obs_0000023559|obs_0000021576|obs_0000021712|obs_0000028799|obs_0000021013|obs_0000016925|obs_0000019036|obs_0000025258|obs_0000017215|obs_0000020194|obs_0000016312|obs_0000010370|obs_0000029728|obs_0000018627|obs_0000013056|obs_0000015155|obs_0000011633|obs_0000010545|obs_0000015550,
Stabmixer-Set,Silvercrest,"€ 9,99",,"pro Einheit = 19,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_240.jpg,cat_non_food,,,ref_000236,obs_0000002219|obs_0000025753|obs_0000013426|obs_0000013914|obs_0000017385|obs_0000016291|obs_0000023564|obs_0000010118|obs_0000015129,obs_0000002219|obs_0000025753
Blechkuchen-Springform,Zenker,"€ 7,99",,"pro Einheit = 23,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_241.jpg,"cat_non_food,tag_ultra_processed",,,ref_000237,obs_0000025516|obs_0000031045,
Brotkasten,SILVERCREST,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_242.jpg,"cat_non_food,diet_vegetarian",,,ref_000238,obs_0000020520|obs_0000023349|obs_0000021339|obs_0000022102,obs_0000020520|obs_0000023349|obs_0000021339|obs_0000022102
Doppelschlitz-Toaster,Silvercrest,"€ 12,99",,"pro Einheit = 19,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_243.jpg,"cat_non_food,tag_ultra_processed",,,ref_000239,obs_0000023134|obs_0000017676|obs_0000018134|obs_0000020716|obs_0000021535|obs_0000022382|obs_0000018855|obs_0000012908|obs_0000023565|obs_0000017566|obs_0000002036|obs_0000016617,obs_0000024755|obs_0000023134|obs_0000017676|obs_0000011635|obs_0000018134
