Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Puten-Schnitzel Wiener Art,Meine Metzgerei,"€ 7,49",,"1 kg = 9,36","1 kg = 9,36",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_155.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_schwein",,,ref_000155,obs_0000000827|obs_0000000159|obs_0000022802|obs_0000028973|obs_0000027620|obs_0000031913|obs_0000030221|obs_0000026235|obs_0000000700|obs_0000001521|obs_0000031788|obs_0000005251,obs_0000002052|obs_0000000827|obs_0000001310|obs_0000001522,,x
2-in-1-Haustierbett,ROMEO,"€ 6,99",,"pro Einheit = 6,99","pro Einheit = 6,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_156.jpg,cat_non_food,,,ref_000156,,,,
Faltbare Haustiermatte,ROMEO,"€ 4,99",,"pro Einheit = 4,99","pro Einheit = 4,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_157.jpg,"cat_non_food,diet_vegetarian,sub_milchprodukte",,,ref_000157,,,,
Helle Schokolade,Moser Roth,"€ 2,19",,"1 kg = 17,52","1 kg = 17,52",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_158.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,,ref_000158,obs_0000004665|obs_0000004238|obs_0000003024|obs_0000005092|obs_0000000493|obs_0000011783|obs_0000015893|obs_0000027700|obs_0000013879|obs_0000028232|obs_0000013394|obs_0000028244|obs_0000028249|obs_0000000091|obs_0000015454|obs_0000004705|obs_0000034408|obs_0000031849|obs_0000034411|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000025739|obs_0000008861|obs_0000015026|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000017605|obs_0000034013|obs_0000000230|obs_0000018155|obs_0000003326|obs_0000004873|obs_0000018698|obs_0000003851|obs_0000014104|obs_0000010522|obs_0000002336|obs_0000033056|obs_0000031011|obs_0000021291|obs_0000016691|obs_0000004446|obs_0000011112|obs_0000008595|obs_0000008610|obs_0000004019|obs_0000006579|obs_0000010166,obs_0000004665|obs_0000004238|obs_0000003024|obs_0000005092|obs_0000000493,,
Chocolat Cr ation,Moser Roth,"€ 2,59",,"1 kg = 20,72","1 kg = 20,72",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_159.jpg,"cat_knabbern_naschen,tag_ultra_processed",,,ref_000159,obs_0000004774|obs_0000002747|obs_0000004347|obs_0000000280|obs_0000003920|obs_0000001246,obs_0000004774|obs_0000002747|obs_0000004347|obs_0000000280|obs_0000003920,,
Edelbitter-Schokolade,Moser Roth,"€ 2,19",,"1 kg = 17,52","1 kg = 17,52",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_160.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,BLS-S570000,ref_000160,obs_0000001098|obs_0000004132|obs_0000004986|obs_0000000418|obs_0000004559|obs_0000011783|obs_0000015893|obs_0000027700|obs_0000013879|obs_0000028232|obs_0000013394|obs_0000028244|obs_0000028249|obs_0000000091|obs_0000015454|obs_0000004705|obs_0000034408|obs_0000031849|obs_0000034411|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000025739|obs_0000008861|obs_0000015026|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000017605|obs_0000034013|obs_0000000230|obs_0000018155|obs_0000003326|obs_0000004873|obs_0000018698|obs_0000003851|obs_0000014104|obs_0000010522|obs_0000002336|obs_0000033056|obs_0000031011|obs_0000021291|obs_0000016691|obs_0000004446|obs_0000011112|obs_0000008595|obs_0000008610|obs_0000004019|obs_0000006579|obs_0000010166,obs_0000004132|obs_0000001098|obs_0000004986|obs_0000000418|obs_0000004559,,
Frucht- Nuss-Schokolade Ingwer Limette,Moser Roth,"€ 2,19",,"1 kg = 17,52","1 kg = 17,52",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_161.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000161,obs_0000007992|obs_0000028059,,,
Edel Bitter 90 Cacao,Moser Roth,"€ 2,19",,"1 kg = 17,52","1 kg = 17,52",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_162.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,,ref_000162,obs_0000001095|obs_0000001242|obs_0000013043,obs_0000001095|obs_0000001242,,
Feine Genussmomente ohne Alkohol,Moser Roth,"€ 3,69",,"1 kg = 20,50","1 kg = 20,50",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_163.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000163,obs_0000001263,,,
Schokolade Mousse au Chocolat,Moser Roth,"€ 2,59",,"1 kg = 17,27","1 kg = 17,27",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_164.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,,ref_000164,obs_0000001096|obs_0000004880|obs_0000002857|obs_0000000346|obs_0000004453|obs_0000004026|obs_0000001241|obs_0000024622|obs_0000002144|obs_0000020652|obs_0000002317|obs_0000025433|obs_0000021471|obs_0000034905|obs_0000034878|obs_0000032489|obs_0000011783|obs_0000019981|obs_0000015380|obs_0000015893|obs_0000027700|obs_0000013879|obs_0000028232|obs_0000013394|obs_0000017492|obs_0000000091|obs_0000028244|obs_0000015454|obs_0000004705|obs_0000028249|obs_0000034408|obs_0000031849|obs_0000034411|obs_0000034013|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000025739|obs_0000008861|obs_0000015026|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000017605|obs_0000000230|obs_0000018155|obs_0000003326|obs_0000004873|obs_0000018698|obs_0000003851,obs_0000001096|obs_0000004880|obs_0000002857|obs_0000000346|obs_0000004453|obs_0000004026,,
