Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Weißbier,Paulaner,"€ 13,99",,"1 l = 1,40","1 l = 1,40",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_001.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000001,obs_0000031388|obs_0000028962|obs_0000028970|obs_0000031751|obs_0000031911|obs_0000034223|obs_0000027336|obs_0000028367|obs_0000028886|obs_0000035037|obs_0000012695|obs_0000010542|obs_0000013688|obs_0000008097|obs_0000011999|obs_0000010083|obs_0000028019|obs_0000032260|obs_0000015499|obs_0000005647|obs_0000031384|obs_0000029081|obs_0000012447|obs_0000034839|obs_0000027553|obs_0000013351|obs_0000006569|obs_0000030899|obs_0000035046|obs_0000005831|obs_0000032731|obs_0000007677|obs_0000000862|obs_0000030558|obs_0000031617|obs_0000011368|obs_0000015092|obs_0000030399|obs_0000029440|obs_0000029258|obs_0000007888,obs_0000032260|obs_0000031751|obs_0000029081|obs_0000031898|obs_0000031388|obs_0000028962|obs_0000031911|obs_0000028970|obs_0000034223|obs_0000005831|obs_0000027336|obs_0000028367|obs_0000028886|obs_0000007677|obs_0000028797|obs_0000035037,,
Saint Albray,Saint Albray,"€ 2,22",,"1 kg = 12,33","1 kg = 12,33",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_002.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000002,obs_0000033917|obs_0000034801|obs_0000029458|obs_0000030801|obs_0000005537|obs_0000007556|obs_0000032064|obs_0000030146,obs_0000029458|obs_0000033917|obs_0000030801|obs_0000034801,,
Schokolade,Alpia,"€ 0,99",,"pro Einheit = 1,69","pro Einheit = 1,69",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_003.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,BLS-S500000,ref_000003,obs_0000034411|obs_0000010522|obs_0000011783|obs_0000015893|obs_0000027700|obs_0000013879|obs_0000028232|obs_0000013394|obs_0000028244|obs_0000028249|obs_0000000091|obs_0000015454|obs_0000004705|obs_0000034408|obs_0000031849|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000025739|obs_0000008861|obs_0000015026|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000017605|obs_0000034013|obs_0000000230|obs_0000018155|obs_0000003326|obs_0000004873|obs_0000018698|obs_0000003851|obs_0000014104|obs_0000002336|obs_0000033056|obs_0000031011|obs_0000021291|obs_0000016691|obs_0000004446|obs_0000011112|obs_0000008595|obs_0000008610|obs_0000004019|obs_0000006579|obs_0000010166|obs_0000012219|obs_0000026556|obs_0000009149|obs_0000017857|obs_0000022979,obs_0000011783|obs_0000015893|obs_0000027700|obs_0000013879|obs_0000028232|obs_0000013394|obs_0000028244|obs_0000028249|obs_0000000091|obs_0000015454|obs_0000004705|obs_0000034408|obs_0000031849|obs_0000034411|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000025739|obs_0000008861|obs_0000015026|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000017605|obs_0000034013|obs_0000000230|obs_0000018155|obs_0000003326|obs_0000004873|obs_0000018698|obs_0000003851|obs_0000014104|obs_0000010522|obs_0000002336|obs_0000033056|obs_0000031011|obs_0000021291|obs_0000016691|obs_0000004446|obs_0000011112|obs_0000008595|obs_0000008610|obs_0000004019|obs_0000006579|obs_0000010166|obs_0000012219|obs_0000026556|obs_0000009149|obs_0000017857|obs_0000022979,,
Auslese,Melitta,"€ 5,99",,"pro Einheit = 9,29","pro Einheit = 9,29",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_004.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,BLS-D793100,ref_000004,obs_0000034106|obs_0000035115|obs_0000014215|obs_0000018585|obs_0000025626|obs_0000026267|obs_0000031774|obs_0000008737|obs_0000032948|obs_0000017488|obs_0000008547|obs_0000031843|obs_0000027254|obs_0000016511|obs_0000009364|obs_0000003613|obs_0000009825|obs_0000032646|obs_0000029713|obs_0000005795|obs_0000030782|obs_0000031174|obs_0000032103|obs_0000018576|obs_0000029238|obs_0000030139|obs_0000029249|obs_0000011953|obs_0000032388|obs_0000031251,obs_0000034106|obs_0000035115,,
Finesse,Herta,"€ 1,49",,"1 kg = 14,90","1 kg = 14,90",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_005.jpg,"cat_non_food,tag_ultra_processed",,,ref_000005,obs_0000002709|obs_0000020896|obs_0000023749|obs_0000021835|obs_0000023266|obs_0000024171|obs_0000020077|obs_0000031285|obs_0000001982|obs_0000015760|obs_0000014378|obs_0000010437|obs_0000016222|obs_0000019938|obs_0000000121|obs_0000012666|obs_0000024891|obs_0000031942|obs_0000030157|obs_0000032367,obs_0000002709|obs_0000020896|obs_0000031285|obs_0000001982|obs_0000023749|obs_0000021835|obs_0000023266|obs_0000024171|obs_0000020077,,
Balkan Fladenbrot,Balkan Fladenbrot,"€ 0,99",,"pro Einheit = 1,49","pro Einheit = 1,49",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_006.jpg,"cat_grundnahrung,diet_vegetarian,tag_whole_food",,,ref_000006,obs_0000034562|obs_0000023177|obs_0000011084|obs_0000031601|obs_0000009019,obs_0000034562,,
Seelachsfilet,Seelachsfilet,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_007.jpg,"cat_fisch_meeresfruechte,tag_high_protein,tag_proteinreich",,,ref_000007,obs_0000033683|obs_0000008774|obs_0000015372|obs_0000034936|obs_0000014038|obs_0000031739|obs_0000005403|obs_0000007212,obs_0000008774|obs_0000015372|obs_0000034936|obs_0000033683|obs_0000014038|obs_0000031739,,
Champignons weiß,tegut,"€ 0,99",,"1 kg = 3,96","1 kg = 3,96",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_008.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_pilze,tag_whole_food",,BLS-K701100,ref_000008,obs_0000000877|obs_0000031799|obs_0000027747|obs_0000014978|obs_0000027283|obs_0000014046|obs_0000001277|obs_0000028450|obs_0000008021|obs_0000026991|obs_0000005123|obs_0000007133,obs_0000000877,,
Hähnchenbrustfilet-Teilstücke,tegut,"€ 4,99",,"1 kg = 4,99","1 kg = 4,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_009.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_whole_food",,NUTR-0002,ref_000009,obs_0000034103|obs_0000001079|obs_0000011003|obs_0000015747|obs_0000012279|obs_0000008219|obs_0000009849|obs_0000009388|obs_0000027673|obs_0000026273|obs_0000010961|obs_0000005613|obs_0000002542,obs_0000008219|obs_0000001079|obs_0000009849|obs_0000009388|obs_0000011003|obs_0000034103|obs_0000015747|obs_0000012279,,
Nuss-Nougat oder Zartbitter Creme,tegut,"€ 2,69",,"1 kg = 6,73","1 kg = 6,73",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_010.jpg,"cat_knabbern_naschen,sub_milchprodukte,tag_ultra_processed",,,ref_000010,obs_0000009860|obs_0000018094|obs_0000011096|obs_0000027589|obs_0000030263|obs_0000002265|obs_0000027131|obs_0000003358|obs_0000033360|obs_0000013141,,,
Fl tes Torbellinos,tegut,"€ 1,69",,"1 kg = 11,27","1 kg = 11,27",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_011.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000011,,,,
Junge Erbsen Rosenkohl oder Rahmspinat,tegut,"€ 1,29",,"1 kg = 4,30","1 kg = 4,30",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_012.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_whole_food",,,ref_000012,obs_0000028213|obs_0000004704|obs_0000009857|obs_0000033924|obs_0000007320|obs_0000025776|obs_0000009396|obs_0000004277|obs_0000031935|obs_0000000707|obs_0000018116|obs_0000004817|obs_0000000229|obs_0000026369|obs_0000003850|obs_0000028443|obs_0000004390|obs_0000029489|obs_0000003388|obs_0000007999|obs_0000027981|obs_0000002424|obs_0000003963|obs_0000005516|obs_0000005524|obs_0000025001|obs_0000027571|obs_0000007130|obs_0000027103,,,
Tortilla Chips oder Erdnussflips,tegut,"€ 1,11",,"1 kg = 5,55","1 kg = 5,55",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_013.jpg,"cat_knabbern_naschen,sub_huelsenfruechte,tag_ultra_processed",,,ref_000013,obs_0000026827|obs_0000015272|obs_0000033655|obs_0000034193|obs_0000035109|obs_0000026957|obs_0000002584|obs_0000011110|obs_0000003161|obs_0000014349|obs_0000014595|obs_0000023296|obs_0000031705,,,
Mozzarella Gouda oder Emmentaler Reibekäse,tegut,"€ 1,79",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_014.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000014,obs_0000034980|obs_0000018479|obs_0000004167|obs_0000022609|obs_0000008365|obs_0000034978|obs_0000002340|obs_0000024894|obs_0000000437|obs_0000004594|obs_0000023202|obs_0000011043|obs_0000000816|obs_0000009063|obs_0000009077|obs_0000005021|obs_0000027551|obs_0000025531|obs_0000027613|obs_0000031831|obs_0000033882|obs_0000031880|obs_0000023806|obs_0000003383|obs_0000003417|obs_0000022007|obs_0000001559|obs_0000001647|obs_0000018031|obs_0000024234|obs_0000028379|obs_0000022237|obs_0000022241|obs_0000010030|obs_0000022394|obs_0000018366|obs_0000016326|obs_0000022485|obs_0000018426|obs_0000018430,,,
Delikatess Wiener,LandPrimus tegut,"€ 2,79",,"1 kg = 13,95","1 kg = 13,95",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_015.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_wurst,tag_ultra_processed",,,ref_000015,obs_0000034466|obs_0000034490|obs_0000033778|obs_0000022620|obs_0000022639|obs_0000024212|obs_0000019624|obs_0000025257|obs_0000020658|obs_0000023787|obs_0000025855|obs_0000025857|obs_0000025858|obs_0000021769|obs_0000019218|obs_0000034160|obs_0000021477|obs_0000031788|obs_0000024645|obs_0000024211|obs_0000023785|obs_0000025856|obs_0000024650,obs_0000034466|obs_0000034490|obs_0000033778,,
Fruchtaufstrich Erdbeere,tegut,"€ 2,49",,"pro Einheit = 2,79","pro Einheit = 2,79",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_016.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte",,BLS-S131100,ref_000016,obs_0000011341|obs_0000008800|obs_0000029311|obs_0000016747|obs_0000013209,,,
Gurken,tegut,"€ 1,59",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_017.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,BLS-G520100,ref_000017,obs_0000026810|obs_0000017251|obs_0000028052|obs_0000015409|obs_0000005701|obs_0000005710|obs_0000007373|obs_0000021205|obs_0000005373|obs_0000028423|obs_0000034112|obs_0000007007|obs_0000027526|obs_0000020386|obs_0000034736|obs_0000005122|obs_0000006420|obs_0000030313|obs_0000005323|obs_0000025866,obs_0000026810|obs_0000017251|obs_0000028052,,
Rivaner Dornfelder oder Spätburgunder Ros,tegut,"€ 2,99",,"1 l = 3,99","1 l = 3,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_018.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000018,obs_0000003683|obs_0000034426|obs_0000035025|obs_0000034628|obs_0000026142|obs_0000015924|obs_0000008300|obs_0000010349|obs_0000008303|obs_0000015078|obs_0000035051|obs_0000019755|obs_0000007981|obs_0000034629|obs_0000010748,,,
Bio-Tee Basics,tegut,"€ 1,49",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000019,obs_0000033693|obs_0000032968|obs_0000033499|obs_0000027244|obs_0000011596|obs_0000020481|obs_0000021300|obs_0000013530|obs_0000021786|obs_0000022871|obs_0000015022|obs_0000031795|obs_0000015944|obs_0000007996|obs_0000009037|obs_0000034399|obs_0000016641|obs_0000008687|obs_0000025412|obs_0000018054|obs_0000026894|obs_0000018960|obs_0000028312|obs_0000020428|obs_0000021247|obs_0000022129|obs_0000014277|obs_0000023245|obs_0000023661,,,
Cantuccini,tegut,"€ 2,22",,"pro Einheit = 2,99","pro Einheit = 2,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_020.jpg,"cat_grundnahrung,diet_gluten_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000020,obs_0000019589|obs_0000023173|obs_0000011541|obs_0000024553|obs_0000016826,obs_0000019589|obs_0000023173|obs_0000011541|obs_0000024553,,
Eiernudeln,tegut,"€ 1,69",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/tegut/tegut_offer_021.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kartoffeln,sub_nudeln,tag_whole_food",,BLS-C559000,ref_000021,obs_0000033697|obs_0000011936|obs_0000027849|obs_0000013631,obs_0000033697,,
Feinkostsalat,tegut,"€ 1,99",,"pro Einheit = 2,49","pro Einheit = 2,49",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,sub_wurst,tag_whole_food",,,ref_000022,obs_0000014526|obs_0000016105|obs_0000013183|obs_0000000908|obs_0000034765|obs_0000034340|obs_0000034940|obs_0000033951,obs_0000014526|obs_0000016105|obs_0000013183|obs_0000000908|obs_0000034765,,
Kartoffelpuffer,tegut,"€ 2,22",,"pro Einheit = 2,79","pro Einheit = 2,79",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,tag_ultra_processed,tag_whole_food",,BLS-W380300,ref_000023,obs_0000034186|obs_0000022806,obs_0000022806|obs_0000034186,,
