Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Doraden oder Wolfsbarsch Filets,Costa,"€ 5,99",,"pro Einheit = 5,99","pro Einheit = 5,99","mit Haut, praktisch grätenfrei, 2er, tiefgefroren",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/costa-doraden-oder-wolfsbarsch-filets.jpg,"cat_tiefkuehl,tag_ultra_processed",,,ref_000065,obs_0000006154|obs_0000020565|obs_0000021384|obs_0000022104|obs_0000006513,obs_0000006154,,
MSC Ofen Fisch,Costa,"€ 2,99",,"pro Einheit = 2,99","pro Einheit = 2,99","verschiedene Sorten oder Fischstäbchen, tiefgefroren",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/costa-msc-ofen-fisch.jpg,"cat_tiefkuehl,tag_ultra_processed",,,ref_000066,obs_0000003211|obs_0000004630|obs_0000005057|obs_0000026316|obs_0000002389|obs_0000004203|obs_0000007043|obs_0000005397|obs_0000006507,obs_0000007043|obs_0000005397|obs_0000006507,,
Mikrowellen-Pommes,Snack Master,"€ 0,99",,"1 kg = 7,07","1 kg = 7,07","verschiedene Sorten, tiefgefroren, 140 g Packung, (1 kg = 7,07 €)",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/snack-master-mikrowellen-pommes.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000067,obs_0000007044|obs_0000012339|obs_0000023607|obs_0000022180|obs_0000018282|obs_0000025802|obs_0000017698|obs_0000015693|obs_0000018804|obs_0000014824,obs_0000012339|obs_0000007044,x,
franui Raspberries in Chocolate,Keine Marke,"€ 3,99",,"1 kg = 26,60","1 kg = 26,60","verschiedene Sorten, tiefgefroren, 150 g Becher, (1 kg = 26,60 €)",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/franui-raspberries-in-chocolate.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000068,obs_0000011964,,,
Schlemmerhappen Gorch Fock,Keine Marke,"€ 1,19",,"1 kg = 11,90","1 kg = 11,90","Heringsfilethappen mit Paprika, Staudensellerie und Gewürzgurken, in einem pikanten Joghurt-Sahne-Dressing, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/schlemmerhappen-gorch-fock.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_tk_fertiggerichte,tag_ultra_processed,tag_whole_food",,,ref_000069,,,,
Riesengarnelen,Keine Marke,"€ 3,29",,"1 kg = 32,90","1 kg = 32,90","getaut, mit Schale, ohne Kopf, natur, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/riesengarnelen.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000070,obs_0000002733|obs_0000003374|obs_0000002517|obs_0000006678|obs_0000005591|obs_0000006328|obs_0000034138|obs_0000031899|obs_0000031682,obs_0000002733|obs_0000003374|obs_0000002517|obs_0000006678|obs_0000005591|obs_0000006328|obs_0000034138|obs_0000031899,,
Rotbarschfilet,Keine Marke,"€ 2,39",,"1 kg = 23,90","1 kg = 23,90","natur, ideal zum Braten und Dünsten, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/rotbarschfilet.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_high_protein,tag_proteinreich,tag_whole_food",,BLS-Y6A3010,ref_000071,obs_0000015370|obs_0000034704|obs_0000006676|obs_0000034486|obs_0000024046|obs_0000028719|obs_0000024467,obs_0000015370|obs_0000034704|obs_0000006676|obs_0000034486,,
Räucherlocken,Keine Marke,"€ 3,29",,"1 kg = 32,90","1 kg = 32,90","aus Tilapia, nach Art der Schillerlocke heißgeräuchert, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/r-ucherlocken.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000072,obs_0000007213,obs_0000007213,,
Dorade,Keine Marke,"€ 1,59",,"1 kg = 15,90","1 kg = 15,90","weißes, aromatisch festes und schmackhaftes Fleisch, natur oder grillfertig mariniert, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/dorade.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000073,obs_0000006853|obs_0000005405|obs_0000008996|obs_0000010182|obs_0000015374|obs_0000011023|obs_0000028219|obs_0000011870|obs_0000023721|obs_0000024139,obs_0000006853|obs_0000005405,,
Delikatess Hinterkochschinken,Gut & Günstig,"€ 1,29",,"1 kg = 6,45","1 kg = 6,45","200 g Packung, (1 kg = 6,45 €)",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/gut-g-nstig-delikatess-hinterkochschinken.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_schwein,sub_wurst,tag_ultra_processed",,,ref_000074,obs_0000034382|obs_0000033873,,,x
