Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Minis oder Kunterbunt Choco,Leibniz,"€ 1,49",,"1 kg = 11,92","1 kg = 11,92",je 125-g-Btl.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_190.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,,ref_000011,obs_0000011118|obs_0000012408|obs_0000013552|obs_0000015901|obs_0000024884|obs_0000025627|obs_0000025800|obs_0000011085|obs_0000019480|obs_0000019541|obs_0000012394|obs_0000013309|obs_0000013779|obs_0000022527|obs_0000022992|obs_0000016191,,,
Mint Kaubonbons,Mentos,"€ 1,29",,"1 kg = 11,32","1 kg = 11,32",je 3 x 38-g-Rollen-Pckg.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_191.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000012,obs_0000011555|obs_0000015899,,x,
Studentenfutter,Maryland,"€ 2,89",,"1 kg = 10,51","1 kg = 10,51","Berry, je 275-g-Becher",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_192.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,BLS-H810000,ref_000013,obs_0000014822|obs_0000012180|obs_0000013434,,x,
Schulte Alpengruss Prussien,Keine Marke,"€ 1,99",,"1 kg = 9,05","1 kg = 9,05",je 220-g-Pckg.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_193.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000014,,,,
Lollipops The Best of,Chupa Chups,"€ 1,29",,"1 kg = 10,75","1 kg = 10,75",je 120-g-Btl.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_194.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000015,,,x,
Hafer Cookies,REWE Bio,"€ 1,19",,"1 kg = 3,97","1 kg = 3,97",je 300-g-Pckg.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_196.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,BLS-C138000,ref_000016,obs_0000024042|obs_0000020132|obs_0000017610|obs_0000011117|obs_0000021920|obs_0000020951|obs_0000029228|obs_0000020539|obs_0000030857|obs_0000029995|obs_0000002400|obs_0000021358|obs_0000025068|obs_0000029319|obs_0000030203|obs_0000005093,obs_0000029228|obs_0000030857|obs_0000024042,,
Giotto,Giotto,"€ 2,69",,"1 kg = 17,38","1 kg = 17,38","Haselnuss, je 4 x 38,7-g-Pckg.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_197.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,,ref_000017,obs_0000030783|obs_0000001112,obs_0000030783|obs_0000001112,,
Saft,Valensina,"€ 1,79",,"pro Einheit = 1,79","pro Einheit = 1,79","versch. Sorten, aus Fruchtsaft- konzentrat, je 1-l-Fl., zzgl. 0,25 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_211.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000018,obs_0000031005|obs_0000029012|obs_0000032472|obs_0000027142|obs_0000034438|obs_0000026383|obs_0000028431|obs_0000025618|obs_0000028181|obs_0000024985|obs_0000027674|obs_0000032918|obs_0000034047|obs_0000026144|obs_0000026785|obs_0000022436|obs_0000021042|obs_0000016953|obs_0000019142|obs_0000027982|obs_0000033872|obs_0000017106|obs_0000010200|obs_0000022514|obs_0000017915|obs_0000020223,obs_0000025618|obs_0000031005|obs_0000022436|obs_0000016953|obs_0000017106|obs_0000029012|obs_0000032472|obs_0000017915,x,
Softdrink oder Mixer,Fever Tree,"€ 1,89",,"1 l = 3,78","1 l = 3,78","versch. Sorten, je 0,5-l-Fl., zzgl. 0,15 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_210.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg,,,ref_000019,obs_0000032721,,x,
Eistee,Rauch,"€ 1,29",,"1 l = 1,03","1 l = 1,03","versch. Sorten, je 1,25-l-Fl., zzgl. 0,25 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_209.jpg,"cat_getraenke,tag_ultra_processed",bamberg,,BLS-W291200,ref_000020,obs_0000013610|obs_0000024081|obs_0000011155|obs_0000023317|obs_0000008086|obs_0000012452|obs_0000002343|obs_0000024502|obs_0000019389|obs_0000017982|obs_0000027985|obs_0000026836|obs_0000003163|obs_0000014050|obs_0000017891|obs_0000027236|obs_0000009061|obs_0000015096|obs_0000022016|obs_0000008902|obs_0000032713|obs_0000023251|obs_0000000733|obs_0000030317|obs_0000006024|obs_0000007679|obs_0000031392|obs_0000030940|obs_0000007673,obs_0000024081|obs_0000011155|obs_0000023317|obs_0000008086|obs_0000012452|obs_0000002343|obs_0000013610|obs_0000024502|obs_0000019389|obs_0000017982|obs_0000032713|obs_0000027985|obs_0000026836|obs_0000003163|obs_0000014050|obs_0000017891|obs_0000027236|obs_0000009061|obs_0000015096|obs_0000022016,,
Frankenbrunnen Medium Lemon oder Brombeere,Franken Brunnen,"€ 0,59",,"1 l = 0,79","1 l = 0,79","je 0,75-l-Fl., zzgl. 0,25 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_208.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000021,obs_0000033835|obs_0000026334,,x,
Pure Tea,Pfanner,"€ 0,79",,"pro Einheit = 0,79","pro Einheit = 0,79","Bio grüner Tee, je 1-l-Fl., zzgl. 0,25 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_207.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000022,obs_0000017671|obs_0000018798,,x,
Energy Drink,Gönrgy,"€ 0,99",,"1 l = 1,98","1 l = 1,98","versch. Sorten, koffeinhaltig, je 0,5-l-Dose, zzgl. 0,25 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_206.jpg,"cat_getraenke,tag_ultra_processed",bamberg,,,ref_000023,obs_0000026684|obs_0000010758|obs_0000022027|obs_0000028180|obs_0000016414|obs_0000020512|obs_0000021058|obs_0000011333|obs_0000024154|obs_0000011355|obs_0000002158|obs_0000026742|obs_0000018063|obs_0000031887|obs_0000017046|obs_0000025242|obs_0000002214|obs_0000013993|obs_0000027310|obs_0000023733|obs_0000000193|obs_0000004816|obs_0000033497|obs_0000027877|obs_0000026353|obs_0000019186|obs_0000008960|obs_0000025348|obs_0000023301|obs_0000026886|obs_0000020239|obs_0000018194|obs_0000004389|obs_0000028455|obs_0000024876|obs_0000013614|obs_0000000304|obs_0000034110|obs_0000010050|obs_0000014658|obs_0000022864|obs_0000021331|obs_0000021846|obs_0000018775|obs_0000028526|obs_0000013175|obs_0000003962|obs_0000001917|obs_0000027531|obs_0000009616,obs_0000010758|obs_0000022027|obs_0000028180|obs_0000016414|obs_0000020512|obs_0000026684|obs_0000021058|obs_0000011333|obs_0000024154|obs_0000011355|obs_0000002158|obs_0000026742|obs_0000018063|obs_0000031887|obs_0000017046|obs_0000025242|obs_0000002214|obs_0000013993|obs_0000027310|obs_0000023733|obs_0000000193|obs_0000030404|obs_0000004816|obs_0000033497|obs_0000027877|obs_0000026353|obs_0000019186|obs_0000008960|obs_0000025348|obs_0000023301|obs_0000026886|obs_0000020239|obs_0000018194|obs_0000004389|obs_0000028455|obs_0000024876|obs_0000013614|obs_0000000304|obs_0000034110|obs_0000010050|obs_0000014658|obs_0000022864|obs_0000021331|obs_0000021846|obs_0000018775|obs_0000028526|obs_0000013175|obs_0000003962|obs_0000001917|obs_0000027531,,
Tomatenmark,REWE Bio,"€ 0,95",,"1 kg = 4,75","1 kg = 4,75",je 200-g-Tube,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_179.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",bamberg,,BLS-R160000,ref_000024,obs_0000013455|obs_0000000539|obs_0000008099|obs_0000011066|obs_0000011509|obs_0000000804|obs_0000031033|obs_0000001993|obs_0000007374|obs_0000015709|obs_0000032115|obs_0000011510,obs_0000013455|obs_0000000539|obs_0000008099|obs_0000011066,,
Mineralwasser,RhönSprudel,"€ 5,99",,"1 l = 0,50","1 l = 0,50","versch. Sorten, je 12 x 1-l-Fl.-Kasten, zzgl. 3,30 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_205.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg,,,ref_000025,obs_0000029415|obs_0000032710|obs_0000030684|obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332,obs_0000029415|obs_0000035059|obs_0000034653|obs_0000034238|obs_0000032710|obs_0000026570|obs_0000030684,x,
Energy Drink,Rockstar,"€ 0,99",,"1 l = 1,98","1 l = 1,98","versch. Sorten, koffeinhaltig, je 0,5-l-Dose, zzgl. 0,25 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_203.jpg,"cat_getraenke,diet_lactose_free,tag_ultra_processed",bamberg,,,ref_000026,obs_0000029725|obs_0000006216|obs_0000005274|obs_0000032707|obs_0000010758|obs_0000022027|obs_0000028180|obs_0000016414|obs_0000020512|obs_0000026684|obs_0000021058|obs_0000011333|obs_0000024154|obs_0000011355|obs_0000002158|obs_0000026742|obs_0000018063|obs_0000031887|obs_0000017046|obs_0000025242|obs_0000002214|obs_0000013993|obs_0000027310|obs_0000023733|obs_0000000193|obs_0000004816|obs_0000033497|obs_0000027877|obs_0000026353|obs_0000019186|obs_0000008960|obs_0000025348|obs_0000023301|obs_0000026886|obs_0000020239|obs_0000018194|obs_0000004389|obs_0000028455|obs_0000024876|obs_0000013614|obs_0000000304|obs_0000034110|obs_0000010050|obs_0000014658|obs_0000022864|obs_0000021331|obs_0000021846|obs_0000018775|obs_0000028526|obs_0000013175,obs_0000029725|obs_0000020512|obs_0000006216|obs_0000017046|obs_0000005274|obs_0000025348|obs_0000018194|obs_0000028455|obs_0000024876|obs_0000013614|obs_0000022864|obs_0000021331|obs_0000016807|obs_0000012204|obs_0000032707|obs_0000022523,x,
Fanta oder Sprite,Coca-Cola,"€ 0,69",,"1 l = 2,09","1 l = 2,09","versch. Sorten, teilw. koffeinhaltig, je 0,33-l-Dose, zzgl. 0,25 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_202.jpg,"cat_getraenke,tag_ultra_processed",bamberg,,,ref_000027,obs_0000031294|obs_0000031043|obs_0000013322|obs_0000015049|obs_0000034906|obs_0000028043|obs_0000029419|obs_0000030303|obs_0000032052|obs_0000029010|obs_0000029984|obs_0000030679|obs_0000032019|obs_0000032258|obs_0000032704|obs_0000005442|obs_0000006553|obs_0000007251|obs_0000007451,obs_0000029419|obs_0000030303|obs_0000031294|obs_0000032052,,
Fanta oder Sprite,Coca-Cola,"€ 1,29",,"1 l = 0,86","1 l = 0,86","versch. Sorten, teilw. koffeinhaltig, je 1,5-l-Fl., zzgl. 0,25 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_201.jpg,"cat_getraenke,tag_ultra_processed",bamberg,,,ref_000028,obs_0000031294|obs_0000031043|obs_0000013322|obs_0000015049|obs_0000034906|obs_0000028043|obs_0000029419|obs_0000030303|obs_0000032052|obs_0000029010|obs_0000029984|obs_0000030679|obs_0000032019|obs_0000032258|obs_0000032704|obs_0000005442|obs_0000006553|obs_0000007251|obs_0000007451,obs_0000029419|obs_0000030303|obs_0000031294|obs_0000032052,,
Fusion Peanuts,Ültje,"€ 1,69",,"1 kg = 11,27","1 kg = 11,27","Paprika Flamed Style, je 150-g-Btl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_200.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000029,obs_0000030677|obs_0000010730|obs_0000001247,obs_0000030677,x,
Pommels,Lorenz,"€ 1,19",,"1 kg = 15,87","1 kg = 15,87",je 75-g-Btl.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_199.jpg,"cat_knabbern_naschen,sub_kartoffeln,tag_ultra_processed",bamberg,,,ref_000030,obs_0000030993|obs_0000028435|obs_0000018257|obs_0000022263|obs_0000032009|obs_0000030309,obs_0000032009|obs_0000030993|obs_0000028435|obs_0000030309,,
Raffaello,Keine Marke,"€ 2,69",,"1 kg = 17,93","1 kg = 17,93",je 150-g-Pckg.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_198.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000031,obs_0000021458|obs_0000032693|obs_0000025051|obs_0000020639|obs_0000018983|obs_0000006737|obs_0000033213|obs_0000026462|obs_0000015291|obs_0000012387,obs_0000021458|obs_0000032693|obs_0000025051|obs_0000020639,,
Mineralwasser,Franken Brunnen,"€ 4,49",,"1 l = 0,53","1 l = 0,53","versch. Sorten, je 12 x 0,7-l-Fl.-Kasten, zzgl. 3,30 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_204.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000032,obs_0000006205|obs_0000005254|obs_0000029412|obs_0000007475|obs_0000007476|obs_0000029013|obs_0000032715|obs_0000006571|obs_0000005626|obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570,obs_0000031797|obs_0000006205|obs_0000026205|obs_0000005254|obs_0000008841|obs_0000031396|obs_0000029412|obs_0000008437|obs_0000009985|obs_0000014625|obs_0000007475|obs_0000007476|obs_0000029013|obs_0000011123|obs_0000032715,x,
Hühner Brühe,Maggi,"€ 1,59",,"pro Einheit = 1,59","pro Einheit = 1,59","ausreichend für 4,8 Liter, je 1-gl-as",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_178.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,BLS-X411243,ref_000033,obs_0000031783|obs_0000028449|obs_0000014561|obs_0000030022|obs_0000030663,obs_0000031783|obs_0000028449|obs_0000030022|obs_0000030663,,
Kidney-Bohnen,REWE Bio,"€ 0,69",,"1 kg = 2,71","1 kg = 2,71","je 400-g-Dose, 255 g Abtropfgewicht",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_177.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,sub_huelsenfruechte,tag_whole_food",bamberg,,BLS-H742100,ref_000034,obs_0000031037|obs_0000028216|obs_0000028278|obs_0000008897|obs_0000028471|obs_0000032313|obs_0000016102|obs_0000030020,obs_0000028216|obs_0000028278|obs_0000008897|obs_0000028471|obs_0000031037,,
