Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Rindfleisch-Tortelloni,Rewe Beste Wahl,"€ 1,59",,"1 kg = 6,36","1 kg = 6,36",je 250-g-Btl.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_001.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln,sub_rind,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000001,obs_0000000725|obs_0000012826|obs_0000008226|obs_0000008812|obs_0000004770|obs_0000004343|obs_0000000276|obs_0000011060|obs_0000003916|obs_0000010656|obs_0000003071,,,x
Fix Spaghetti Bolognese,Maggi,"€ 0,44",,"1 kg = 12,22","1 kg = 12,22",je 36-g-Btl.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_181.jpg,"cat_grundnahrung,diet_vegetarian,sub_nudeln,tag_ultra_processed",bamberg,,,ref_000002,obs_0000027095|obs_0000034217|obs_0000021014|obs_0000020195|obs_0000026433|obs_0000009155|obs_0000025048|obs_0000018941|obs_0000010238|obs_0000033820|obs_0000020035|obs_0000026187|obs_0000012367|obs_0000001650|obs_0000009872|obs_0000004761|obs_0000015001|obs_0000009412|obs_0000016596|obs_0000004334|obs_0000001286|obs_0000000270|obs_0000009999|obs_0000006464|obs_0000003907|obs_0000009537|obs_0000017240|obs_0000020854|obs_0000022908|obs_0000013189|obs_0000010701|obs_0000001508,obs_0000034217|obs_0000027095,,
Pasta Sauce,Barilla,"€ 1,99",,"1 kg = 4,98","1 kg = 4,98","Basilico, je 400-g-Glas",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_182.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_hackfleisch,sub_nudeln",bamberg,,,ref_000003,obs_0000018497|obs_0000010415|obs_0000014564|obs_0000011526|obs_0000016655|obs_0000000535|obs_0000015003|obs_0000011088|obs_0000018196|obs_0000019845|obs_0000025518|obs_0000016866|obs_0000001282|obs_0000032233|obs_0000020003|obs_0000035104|obs_0000028733|obs_0000013386|obs_0000022097|obs_0000034889|obs_0000002663|obs_0000034419|obs_0000011915|obs_0000017082|obs_0000021187|obs_0000010474|obs_0000034026|obs_0000018708|obs_0000008982|obs_0000016662|obs_0000026899|obs_0000006481|obs_0000011092|obs_0000014165|obs_0000028496|obs_0000019293|obs_0000020368|obs_0000028607|obs_0000018893|obs_0000017359|obs_0000007181|obs_0000005743|obs_0000007368,obs_0000000535|obs_0000018497|obs_0000015003|obs_0000010415|obs_0000014564|obs_0000011526|obs_0000016655|obs_0000011088|obs_0000032233,,
italienische Tomaten,Oro Di Parma,"€ 1,29",,"1 kg = 3,23","1 kg = 3,23","Stückig, je 400-g-Dose",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_183.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_tk_gemuese,tag_whole_food",bamberg,,,ref_000004,obs_0000032116|obs_0000031310|obs_0000032475|obs_0000008847|obs_0000008475|obs_0000014153|obs_0000016967|obs_0000007374|obs_0000032115|obs_0000001993|obs_0000026278|obs_0000034023|obs_0000026407|obs_0000019909,obs_0000032116,x,
Thunfisch,deutsche see,"€ 1,99",,"1 kg = 14,21","1 kg = 14,21","in Aufguss, je 185-g-Dose, 140 g Abtropfgewicht",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_184.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,,ref_000005,obs_0000030014|obs_0000031269|obs_0000030272|obs_0000029287|obs_0000030968|obs_0000030495|obs_0000030540|obs_0000029555|obs_0000030632|obs_0000013927|obs_0000013452|obs_0000015656|obs_0000014147,obs_0000013927|obs_0000015656|obs_0000030014,x,
Knoppers Nussriegel oder Knoppers,Storck,"€ 1,69",,"1 kg = 8,45","1 kg = 8,45",je 5 x 40 / 8 x 25-g-Pckg.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_185.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg,,,ref_000006,obs_0000000710|obs_0000031296|obs_0000029326|obs_0000030665|obs_0000032429|obs_0000031303|obs_0000031927|obs_0000005475|obs_0000028234,obs_0000032429,,
Crunchips,Lorenz,"€ 1,19",,"1 kg = 7,93","1 kg = 7,93","Paprika, je 150-g-Btl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_186.jpg,"cat_knabbern_naschen,sub_kartoffeln,tag_ultra_processed",bamberg,,,ref_000007,obs_0000030984|obs_0000000817|obs_0000013142|obs_0000017033|obs_0000005007|obs_0000017942|obs_0000000430|obs_0000006578|obs_0000034483|obs_0000004153|obs_0000016313|obs_0000020543|obs_0000003140|obs_0000004580|obs_0000025071|obs_0000021362|obs_0000032008|obs_0000030283|obs_0000002310|obs_0000007106,obs_0000030984|obs_0000032008|obs_0000000817|obs_0000030283|obs_0000013142,,
Erdnüsse,Ültje,"€ 1,69",,"1 kg = 9,39","1 kg = 9,39","geröstet & gesalzen, je 180-g-Dose",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_187.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000008,obs_0000007489|obs_0000030669|obs_0000006234|obs_0000000013|obs_0000003728|obs_0000011550|obs_0000008481|obs_0000019492|obs_0000001319|obs_0000026796|obs_0000013618|obs_0000032179|obs_0000027959|obs_0000031681|obs_0000026308|obs_0000019397|obs_0000027867|obs_0000010727,obs_0000000013|obs_0000003728|obs_0000011550|obs_0000008481|obs_0000001319|obs_0000013618|obs_0000027959|obs_0000007489|obs_0000019397|obs_0000030669|obs_0000006234,x,
Schokolade,Ritter Sport,"€ 1,99",,"1 kg = 19,90","1 kg = 19,90","Roasted Peanut, vegan, je 100-g-Tafel",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_188.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg,,BLS-S500000,ref_000009,obs_0000031849|obs_0000002336|obs_0000016691|obs_0000017857|obs_0000011765|obs_0000011783|obs_0000015893|obs_0000027700|obs_0000013879|obs_0000028232|obs_0000013394|obs_0000028244|obs_0000028249|obs_0000000091|obs_0000015454|obs_0000004705|obs_0000034408|obs_0000034411|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000025739|obs_0000008861|obs_0000015026|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000017605|obs_0000034013|obs_0000000230|obs_0000018155|obs_0000003326|obs_0000004873|obs_0000018698|obs_0000003851|obs_0000014104|obs_0000010522|obs_0000033056|obs_0000031011|obs_0000021291|obs_0000004446|obs_0000011112|obs_0000008595|obs_0000008610|obs_0000004019|obs_0000006579|obs_0000010166|obs_0000012219|obs_0000026556|obs_0000009149,obs_0000011783|obs_0000015893|obs_0000027700|obs_0000013879|obs_0000028232|obs_0000013394|obs_0000028244|obs_0000028249|obs_0000000091|obs_0000015454|obs_0000004705|obs_0000034408|obs_0000031849|obs_0000034411|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000025739|obs_0000008861|obs_0000015026|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000017605|obs_0000034013|obs_0000000230|obs_0000018155|obs_0000003326|obs_0000032007|obs_0000004873|obs_0000018698|obs_0000003851|obs_0000014104|obs_0000010522|obs_0000002336|obs_0000033056|obs_0000031011|obs_0000021291|obs_0000016691|obs_0000029001|obs_0000004446|obs_0000011112|obs_0000008595|obs_0000008610|obs_0000032690|obs_0000004019|obs_0000006579|obs_0000010166|obs_0000012219|obs_0000026556,,
Tony s Schokolade,Keine Marke,"€ 2,79",,"1 kg = 15,50","1 kg = 15,50","versch. Sorten, je 180-g-Tafel",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_189.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000010,obs_0000030279|obs_0000011783|obs_0000015893|obs_0000027700|obs_0000013879|obs_0000028232|obs_0000013394|obs_0000028244|obs_0000028249|obs_0000000091|obs_0000015454|obs_0000004705|obs_0000034408|obs_0000031849|obs_0000034411|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000025739|obs_0000008861|obs_0000015026|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000017605|obs_0000034013|obs_0000000230|obs_0000018155|obs_0000003326|obs_0000004873|obs_0000018698|obs_0000003851|obs_0000014104|obs_0000010522|obs_0000002336|obs_0000033056|obs_0000031011|obs_0000021291|obs_0000016691|obs_0000004446|obs_0000011112|obs_0000008595|obs_0000008610|obs_0000004019|obs_0000006579|obs_0000010166|obs_0000012219|obs_0000009149|obs_0000026556|obs_0000017857,obs_0000030279,,
