Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
K-BIO,Bio-Gewürze,"€ 0,99","€ 1,29","1 kg = 18,00 - 66,00","1 kg = 18,00 - 66,00",versch. Sorten,Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_171.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,BLS-G520100,ref_000044,obs_0000014539,,,
K-BIO,Bio-Linsen,"€ 1,11","€ 1,45","1 kg = 2,22","1 kg = 2,22","Rote, Grüne oder Berglinsen",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_196.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_whole_food",,,ref_000045,obs_0000010705|obs_0000028815|obs_0000008900|obs_0000011529|obs_0000035012,obs_0000010705|obs_0000011933,,
BIOREBE,Bio-Pinot-Grigio,"€ 3,99",,"1 l = 5,32","1 l = 5,32","Venetien, fruchtbetont, angenehme Frische, passt zu Fisch, Salaten und ital. Speisen",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_265.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000046,obs_0000034040|obs_0000034286|obs_0000014113|obs_0000023227|obs_0000033284|obs_0000000907|obs_0000028480|obs_0000029430|obs_0000031409|obs_0000031805|obs_0000005822,,,
K-BIO,Bio-Saft,"€ 1,39",,"pro Einheit = 1,00","pro Einheit = 1,00","Tomaten-, Tomaten-Gemüse- oder Frühstückssaft",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_240.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,BLS-G211100,ref_000047,obs_0000008343|obs_0000011569|obs_0000015914|obs_0000008148|obs_0000032918|obs_0000024985|obs_0000016953|obs_0000017106|obs_0000025618|obs_0000033872|obs_0000034047|obs_0000017915|obs_0000026144|obs_0000034438|obs_0000026383|obs_0000010200|obs_0000026785|obs_0000027142|obs_0000019142|obs_0000027407|obs_0000027674|obs_0000027982|obs_0000020223|obs_0000028431|obs_0000021042|obs_0000022436|obs_0000030205|obs_0000006217,obs_0000008343|obs_0000011569|obs_0000015914|obs_0000008148,,
LITTLE LUNCH,Bio-Suppe,"€ 2,99","€ 3,79","1 l = 8,55","1 l = 8,55","vegetarisch, versch. Sorten",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_167.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000048,obs_0000011512|obs_0000034391|obs_0000034285|obs_0000027223|obs_0000015871|obs_0000031163|obs_0000005196|obs_0000007029,obs_0000034391|obs_0000011512,,
K-BIO,Bio-Tomatenmark,"€ 0,79","€ 0,95","1 kg = 3,95","1 kg = 3,95",2-fach konzentriert,Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_164.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,BLS-G561100,ref_000049,obs_0000011509|obs_0000000539|obs_0000011066|obs_0000013455|obs_0000031033|obs_0000008099,obs_0000011509,,
K-BIO oder K-TAKE IT VEGGIE,Bio-Tomatensauce,"€ 1,19","€ 1,35","1 l = 3,40 - 3,67","1 l = 3,40 - 3,67",versch. Sorten,Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_192.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,BLS-G561100,ref_000050,obs_0000001692|obs_0000005366|obs_0000029000|obs_0000029913,obs_0000001692,,
K-BIO,Bio-Würzmittel Zitrone oder Limette,"€ 0,59",,"1 l = 2,95","1 l = 2,95",mit 20 % Zitronen- bzw. Limettensaft,Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_238.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000051,obs_0000011971|obs_0000008239|obs_0000015910|obs_0000029941|obs_0000030571|obs_0000030917|obs_0000032325|obs_0000029580|obs_0000031579|obs_0000032505,obs_0000011971,,
K-BIO,Bioland Apfel-Mehrfrucht- Mark,"€ 0,99",,"1 kg = 2,75","1 kg = 2,75","versch. Sorten, z. B. mit Mango, fein püriert",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_163.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000052,,,,
LABEL 5,Blended Scotch Whisky,"€ 12,99","€ 15,99","pro Einheit = 1,00","pro Einheit = 1,00","gut ausbalanciert mit rauchigen, fruchtigen und floralen Noten, 40 Vol. %",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_253.jpg,cat_getraenke,,,ref_000053,obs_0000015070|obs_0000010241|obs_0000015917|obs_0000013536|obs_0000022836|obs_0000012693|obs_0000019878|obs_0000001464|obs_0000021660|obs_0000019683|obs_0000022321|obs_0000025396|obs_0000020841|obs_0000017864|obs_0000018945|obs_0000019464|obs_0000030762|obs_0000015920|obs_0000027198|obs_0000019522|obs_0000016972|obs_0000008271|obs_0000009835|obs_0000021142|obs_0000009375|obs_0000005821|obs_0000008414|obs_0000021755|obs_0000007458|obs_0000011578|obs_0000019777|obs_0000020323|obs_0000019341|obs_0000007081|obs_0000025014|obs_0000010745|obs_0000016700|obs_0000019797|obs_0000018908|obs_0000032263|obs_0000006715|obs_0000025090|obs_0000024595|obs_0000022043|obs_0000021029|obs_0000018988|obs_0000021135|obs_0000020210|obs_0000022834|obs_0000020316,obs_0000010241|obs_0000015917|obs_0000015070|obs_0000013536|obs_0000022836|obs_0000012693|obs_0000019878|obs_0000001464,,
